27822,97,spec-4485-55836-0092,spec-4485-55836-0092
64,38,spec-9345-57713-0464,spec-9345-57713-0464
3094,51,spec-7694-57359-0006,spec-7694-57359-0006
6174,21,spec-4419-55867-0178,spec-4419-55867-0178
6860,46,spec-6199-56220-0264,spec-6199-56220-0264
10336,84,spec-7622-56987-0113,spec-7622-56987-0113
24616,55,spec-9312-57784-0360,spec-9312-57784-0360
27822,97,spec-4485-55836-0092,spec-4485-55836-0092
28763,42,spec-5494-55857-0549,spec-5494-55857-0549
37320,0,spec-10431-58137-0135,spec-10431-58137-0135
37324,82,spec-5288-55865-0958,spec-5288-55865-0958
38773,71,spec-5179-55957-0836,spec-5179-55957-0836
40644,17,spec-5809-56353-0704,spec-5809-56353-0704
41482,4,spec-5778-56328-0973,spec-5778-56328-0973
44295,90,spec-5712-56602-0074,spec-5712-56602-0074
45447,9,spec-5807-56329-0778,spec-5807-56329-0778
48603,57,spec-5320-55999-0336,spec-5320-55999-0336
51893,32,spec-5745-55998-0657,spec-5745-55998-0657
56587,80,spec-6456-56339-0894,spec-6456-56339-0894
57953,45,spec-7089-56661-0060,spec-7089-56661-0060
58550,87,spec-6447-56362-0854,spec-6447-56362-0854
61828,63,spec-6442-56369-0246,spec-6442-56369-0246
65736,76,spec-5374-55947-0608,spec-5374-55947-0608
68418,58,spec-6422-56328-0988,spec-6422-56328-0988
70144,79,spec-6402-56334-0966,spec-6402-56334-0966
71125,7,spec-5391-56000-0254,spec-5391-56000-0254
75054,11,spec-6674-56416-0693,spec-6674-56416-0693
75356,60,spec-8374-57783-0919,spec-8374-57783-0919
75390,48,spec-6670-56389-0168,spec-6670-56389-0168
76384,16,spec-6674-56416-0964,spec-6674-56416-0964
78266,5,spec-6621-56366-0502,spec-6621-56366-0502
78720,62,spec-5415-55982-0013,spec-5415-55982-0013
79811,88,spec-5421-55980-0918,spec-5421-55980-0918
84835,83,spec-5868-56045-0372,spec-5868-56045-0372
86593,52,spec-5896-56047-0658,spec-5896-56047-0658
87262,3,spec-5454-56015-0104,spec-5454-56015-0104
89761,56,spec-5465-55988-0798,spec-5465-55988-0798
91050,24,spec-6806-56419-0302,spec-6806-56419-0302
91554,59,spec-5476-55986-0599,spec-5476-55986-0599
91599,61,spec-5174-56047-0344,spec-5174-56047-0344
92837,86,spec-8396-57837-0736,spec-8396-57837-0736
100205,25,spec-6976-56448-0440,spec-6976-56448-0440
101450,91,spec-6045-56072-0455,spec-6045-56072-0455
101468,10,spec-5212-56016-0348,spec-5212-56016-0348
101668,39,spec-6313-56460-0295,spec-6313-56460-0295
102618,18,spec-8524-57656-0969,spec-8524-57656-0969
104160,1,spec-5187-56074-0092,spec-5187-56074-0092
106323,72,spec-5144-55829-0475,spec-5144-55829-0475
113335,85,spec-6122-56246-0696,spec-6122-56246-0696
115104,43,spec-7701-57356-0794,spec-7701-57356-0794
116310,66,spec-7667-57580-0430,spec-7667-57580-0430
116617,27,spec-6138-56598-0754,spec-6138-56598-0754
