000015.17+004833.2,4216,55477,718,3.03535,1232.1429890639117,34.833954048672794,1.2409678877816055,True,False,0.0,0.0,0.0,0.0,0.6426974075668404,11.4463501,9.120006489058513,46.82532864870473,-0.39403563714387957,9.220277155654948,0.050054649895468546,0.0,46.724457655498064,0.0,-0.6356985865581227,0.0,0.0,0.0,-999.0
000027.01+030715.5,4296,55499,630,2.3557,978.0486627916845,20.879701308124297,0.47945855522773567,True,False,0.0,0.0,0.0,0.0,0.704871089480068,21.9420929,9.628083029583467,46.98921726633486,-0.7382235600387048,9.684478879989326,0.028604067116156665,0.0,47.02573925367876,0.0,-0.7986187127118073,0.0,0.0,0.0,-999.0
000050.59+010959.1,4216,55477,746,2.37317,855.9549560243968,32.13410556077302,1.0217336546742546,True,False,0.0,0.0,0.0,0.0,0.6180507861527174,15.1747646,9.502720798746623,46.862403927589845,-0.739674667946872,9.696601129910725,0.08221948169081256,0.0,46.81063859713316,0.0,-1.0258416191788007,0.0,0.0,0.0,-999.0
000118.13-005114.7,4216,55477,210,3.05483,2173.1539553760067,22.7307003897173,0.13595779955007758,True,False,0.0,0.0,0.0,0.0,0.8099665098610762,10.4196377,9.22097338094585,46.77414285018086,-0.5461883275550861,9.826177449124033,0.15558630584102398,0.0,46.73398220416337,0.0,-1.232074331361904,0.0,0.0,0.0,-999.0
000120.27+030731.9,4277,55506,98,2.15527,3337.9407314998525,19.386750342541127,0.019006046212426044,True,False,0.0,0.0,0.0,0.0,0.967129126419961,14.0257521,9.267765944138372,46.81621596166383,-0.5509077792646409,9.812391283865628,0.04677870949320166,10.0,46.80255990085611,0.0,-1.1497104694107565,10.0,0.0,0.0,-999.0
000121.86-000327.1,4217,55478,519,2.89286,1531.4285495850977,28.390846334816345,0.6451186100992693,True,False,0.0,0.0,0.0,0.0,0.7068839936708707,22.1473236,9.497814179588163,47.21792288755512,-0.3792490888231441,9.616966641605792,0.040034087147770465,0.0,47.20232706829906,0.0,-0.5545186597079682,0.0,0.0,0.0,-999.0
000123.00+030211.1,4296,55499,664,3.02638,316.60914439907407,75.70476887454674,3.495869379173067,True,False,0.0,0.0,0.0,0.0,0.3704368095070498,12.917448,9.117838213730561,46.885635029787856,-0.33156098073280305,9.12060970471305,0.025435106192652636,0.0,46.814477582063176,0.0,-0.44601120905111297,0.0,0.0,0.0,-999.0
000146.74+003958.6,4216,55477,844,2.90114,891.9061086797989,31.861251892247935,0.9376798302783979,False,True,0.0,0.0,0.0,0.0,0.6231317237046957,16.8525124,9.505986896831883,46.9851950806915,-0.6201496129304829,9.545839945855672,0.052746239907176376,0.0,46.950033332175884,0.0,-0.7356857000810264,0.0,0.0,0.0,-999.0
000146.95+001428.9,4216,55477,860,2.15671,203.75912344131376,44.87032481847601,2.3674990710198625,True,False,0.0,0.0,0.0,0.0,0.49982559920001807,10.3866634,8.911271453221543,46.47351717470214,-0.5371120753095013,8.761313900912315,0.058494406548796035,0.0,46.512287438313734,0.0,-0.3889055489998193,0.0,0.0,0.0,-999.0
000154.90-004956.4,4216,55477,166,2.82863,3502.4405528059265,21.111662029114182,-999.0,True,False,0.0,0.0,0.0,0.0,0.9772064437946126,21.5087433,9.450105662739906,47.1595824070146,-0.38988105251540617,9.544511820341189,0.04358740557804632,0.0,47.08698196087692,0.0,-0.5974089458655083,0.0,0.0,0.0,-999.0
000210.48-010126.5,4216,55477,173,2.639637,1058.6524791169431,37.68014292184973,0.6962052717339094,True,False,4704.485790503572,9651.155742312842,3027.531186170948,0.983146347771306,0.6122762271903918,13.353899,9.415147183504624,46.894338423371444,-0.6201665569232802,8.828872960132612,0.12516079255716892,-999.0,46.82099614889616,0.0,-0.14775589763769412,-999.0,4284.0713,594633540.0,-999.0
000221.12+002149.3,4216,55477,856,3.07082,2041.127427366113,17.567568034625943,0.5320508002530839,False,True,0.0,0.0,0.0,0.0,0.8343845880190043,18.8629112,9.133139904211395,47.16615311907911,-0.06634458192237958,9.381175864665838,0.03134490249097593,0.0,47.12936041563978,0.0,-0.3916945354272966,0.0,0.0,0.0,0.0
000253.61+012621.8,4296,55499,212,2.81271,561.3302188932896,38.32084292644268,1.7739552772951999,True,False,0.0,0.0,0.0,0.0,0.5593180164178301,15.6910791,9.441284400661042,47.03246832127384,-0.5081738761773025,9.25841800772362,0.05747991490233707,0.0,46.85599861429506,0.0,-0.5422984798297978,0.0,0.0,0.0,-999.0
