spec-10431-58137-0135-dered.dr16,10431,58137,135,1.914,
spec-5187-56074-0092-dered.dr16,5187,56074,92,1.945,
spec-7597-56973-0699-dered.dr16,7597,56973,699,1.969,
spec-5454-56015-0104-dered.dr16,5454,56015,104,2,
spec-5778-56328-0973-dered.dr16,5778,56328,973,2.015,
spec-6621-56366-0502-dered.dr16,6621,56366,502,2.028,
spec-11634-58484-0334-dered.dr16,11634,58484,334,2.0461,
spec-5391-56000-0254-dered.dr16,5391,56000,254,2.079,
spec-7861-57281-0472-dered.dr16,7861,57281,472,2.0838,
spec-5807-56329-0778-dered.dr16,5807,56329,778,2.089,
spec-5212-56016-0348-dered.dr16,5212,56016,348,2.138,
spec-6674-56416-0693-dered.dr16,6674,56416,693,2.145,
spec-5372-55978-0916-dered.dr16,5372,55978,916,2.16,
spec-5356-55979-0586-dered.dr16,5356,55979,586,2.231,
spec-7148-56591-0664-dered.dr16,7148,56591,664,2.248,
spec-7678-57282-0598-dered.dr16,7678,57282,598,2.2507,
spec-6674-56416-0964-dered.dr16,6674,56416,964,2.295,
spec-5809-56353-0704-dered.dr16,5809,56353,704,2.308,
spec-8524-57656-0969-dered.dr16,8524,57656,969,2.314,
spec-4538-55860-0660-dered.dr16,4538,55860,660,2.323,
spec-4663-55893-0248-dered.dr16,4663,55893,248,2.361,
spec-4419-55867-0178-dered.dr16,4419,55867,178,2.362,
spec-6318-56186-0342-dered.dr16,6318,56186,342,2.369,
spec-6257-56274-0490-dered.dr16,6257,56274,490,2.37,
spec-6806-56419-0302-dered.dr16,6806,56419,302,2.37,
spec-6976-56448-0440-dered.dr16,6976,56448,440,2.385,
spec-6729-56419-0322-dered.dr16,6729,56419,322,2.394,
spec-6138-56598-0754-dered.dr16,6138,56598,754,2.395,
spec-6754-56414-0240-dered.dr16,6754,56414,240,2.395,
spec-5039-56220-0625-dered.dr16,5039,56220,625,2.408,
spec-5486-56030-0078-dered.dr16,5486,56030,78,2.419,
spec-5427-56001-0204-dered.dr16,5427,56001,204,2.444,
spec-5745-55998-0657-dered.dr16,5745,55998,657,2.466,
spec-5998-56087-0294-dered.dr16,5998,56087,294,2.545,
