071843.50+391720.3,3655,55240,388,2.6303,1155.186616,39.3734527,1.133875956,TRUE,FALSE,0,0,0,0,0.6147956338,20.0458221,9.498293895,46.99456573,-0.6030859568,9.236235954,0.1032901947,0,46.99888194,0,-0.3772331009,0,0,0,-999,-38815.9793,,,-43492.5284,,
092125.97-023411.9,3766,55213,46,2.791618,1562.975042,48.01099531,1.660090768,FALSE,TRUE,0,0,0,0,0.6231893513,14.6886797,8.90057334,46.74600219,-0.253928949,8.702048155,0.09652516803,0,46.72185277,0,-0.1200744727,0,0,0,-999,-35879.5974,,,-42398.0395,,
083304.73+415331.3,3808,55513,892,2.35019,5708.549104,7.809153859,-999,TRUE,FALSE,0,0,0,0,1.319700537,12.3759327,9.08057185,46.77455394,-0.4053757115,9.485997872,0.1804413635,10,46.58363209,0,-1.04224487,10,0,0,0,-46683.9349,,,-59993.3305,,
085825.71+005006.7,3815,55537,910,2.86171,1317.373843,39.57260538,1.031165367,FALSE,TRUE,0,0,0,0,0.6302345884,14.2673941,9.542825672,47.08245378,-0.5597296849,9.56975866,0.04144721634,0,47.0324538,0,-0.6771839439,0,0,0,0,-35712.7284,,,-38025.934,,
094258.03+005359.5,3826,55563,860,2.46644,1984.124065,26.43123684,0.06542797604,TRUE,FALSE,0,0,0,0,0.7647105638,16.3180256,9.374553065,46.79577401,-0.6781368534,9.508660798,0.03678081945,0,46.92593626,0,-0.7226036234,0,0,0,-999,-35374.9952,,,-39115.5318,,
120609.69+004522.6,3844,55321,920,2.708162,4661.038755,11.40821838,0.02282897945,TRUE,FALSE,0,0,0,0,1.180927111,29.7529774,9.484419762,47.52068607,-0.06309149129,9.857788646,0.1668102198,-999,47.50318829,0,-0.4944794377,-999,0,0,1,-32903.1079,-39912.9309,-55062.3467,-57528.181,-35425.8465,-49234.4428
135203.03+333938.3,3861,55274,582,3.08246,2236.497027,14.48970857,0.3686978413,TRUE,FALSE,0,0,0,0,0.87914084,13.5268831,9.45178001,46.93276438,-0.6183734312,9.474793586,0.3052473236,0,46.81339124,0,-0.801281433,0,0,0,0,-36626.491,,,-41651.0697,,
150339.76+183423.9,3957,55664,568,2.1845,4218.40553,16.56883479,-999,FALSE,TRUE,0,0,0,0,1.122059839,23.3491211,9.322360538,47.35466088,-0.06705745531,9.635250991,0.04583989426,10,47.10591968,0,-0.6692104026,10,0,0,0,-37523.927,-47742.8322,-57050.8863,-59111.9448,-39562.0438,-48953.963
133752.36-011924.7,4046,55605,85,2.821769,2895.068747,21.30619281,0.08260076329,TRUE,FALSE,1172.5912,24989.99739,21009.91031,0.5652992166,0.904084007,13.458786,9.560583969,46.93788658,-0.722055187,9.90816605,0.085735422,-999,46.86733107,0,-1.18071407,-999,762.081,19.169685,1,-38423.4239,,,-42221.7875,,
162747.14+192639.7,4060,55359,940,2.45294,1045.650039,38.5325151,0.901422859,TRUE,FALSE,0,0,0,0,0.6072813383,14.1330204,9.43924716,46.92156813,-0.6170368221,9.372435721,0.02322578313,0,46.89857325,0,-0.6137415521,0,0,0,-999,-39662.2692,,,-41357.7405,,
164653.72+243942.2,4181,55685,543,3.03803,2469.568759,21.5904254,0.05578537477,TRUE,FALSE,0,0,0,0,0.8511201902,20.7618961,9.522000591,47.24496876,-0.3763896278,9.499582039,0.05191928724,-999,47.1797307,0,-0.4597304246,-999,0,0,1,-36454.6359,,,-48972.9964,,
222559.52-004157.5,4202,55445,258,2.77272,1760.624679,55.65773238,1.647408483,TRUE,FALSE,0,0,0,0,0.618887328,40.8832741,9.34678969,47.43756085,-0.008586634508,9.485059477,0.02566720852,0,47.40508037,0,-0.2198581933,0,0,0,0,-38484.4967,,,-39706.799,,
