NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,MAX DEPTH,AVERAGE DEPTH,VCENTRAL
spec-1589-52972-0430norm.dr16,0,[],[],[],[],[],[],[]
spec-10431-58137-0135norm.dr16,36.03,[36.03],[-37190.96072],[-40381.02541],[448.7],[0.25],[0.1406505897395477],[-38674.01920246]
spec-5187-56074-0092norm.dr16,627.69,[627.69],[-36295.95398],[-45508.38933],[1669.94],[0.26],[0.18122457495824115],[-40616.76216113]
spec-10720-58250-0895norm.dr16,791.82,[791.82],[-35547.48361],[-43145.18427],[1665.12],[0.36],[0.21916097983491428],[-39333.31369793]
spec-2745-54231-0564norm.dr16,69.1,[28.81],[-39254.83091 -56004.40875],[-41965.25794],[597.13],[0.81],[0.22025676124384477],[-40396.98508126]
spec-5454-56015-0104norm.dr16,109.94,[109.94],[-38032.85982],[-41355.96903],[765.15],[0.45],[0.23022706454648723],[-39592.20684159]
spec-5778-56328-0973norm.dr16,139.62,"[41.98, 97.64]",[-37998.58878 -45714.03705],[-40779.92626 -49213.53761],"[316.72, 507.54]","[0.25, 0.27]","[0.11388961046028961, 0.14504879564072834]",[-39582.77738566 -47507.00193233]
spec-9602-58131-0454norm.dr16,0.0,[],[],[],[],[],[],[]
spec-1374-53083-0381norm.dr16,0,[],[],[],[],[],[],[]
spec-6621-56366-0502norm.dr16,77.32,[77.32],[-34775.08032],[-38311.36582],[495.76],[0.26],[0.14020938307821812],[-36599.59561533]
spec-1793-53883-0520norm.dr16,3106.56,[3106.56],[-32336.97213],[-43880.78458],[4267.1],[0.65],[0.36950915220070363],[-37714.25136072]
spec-5415-55982-0013norm.dr16,1875.62,[1875.62],[-32609.89484],[-41513.78659],[2848.66],[0.58],[0.31984465543091256],[-36753.80670693]
spec-1229-52723-0245norm.dr16,0,[],[],[],[],[],[],[]
spec-5391-56000-0254norm.dr16,173.42,[173.42],[-32470.21563],[-38052.13114],[712.29],[0.23],[0.1276282632024296],[-35447.84425556]
spec-5807-56329-0778norm.dr16,15.15,[15.15],[-40967.14476],[-43402.88252],[335.36],[0.17],[0.13768148535733732],[-42238.54223712]
spec-10429-58145-0655norm.dr16,298.64,[298.64],[-38254.0523],[-43470.58505],[848.04],[0.26],[0.16260187576331225],[-41053.597781]
spec-11377-58434-0650norm.dr16,533.37,[533.37],[-36487.16699],[-43470.58505],[1345.45],[0.28],[0.19268297620673888],[-40027.45199558]
spec-6442-56369-0246norm.dr16,626.94,[626.94],[-35255.74385],[-41840.68523],[1313.24],[0.41],[0.19944630096478697],[-38592.82690212]
spec-10479-58159-0770norm.dr16,1433.57,[1433.57],[-34710.93222],[-43396.24587],[2361.6],[0.47],[0.271894147581376],[-38994.40774266]
spec-1732-53501-0445norm.dr16,0,[],[],[],[],[],[],[]
spec-5212-56016-0348norm.dr16,113.62,[113.62],[-36149.16344],[-38934.88925],[675.4],[0.36],[0.24246909304915082],[-37639.54401325]
