NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,MAX DEPTH,AVERAGE DEPTH,VCENTRAL
spec-5745-56050-0657norm.dr16,727.61,"[7.46, 124.2, 34.58, 471.21, 5.29, 84.88]","[-31085.6576  -32859.98113 -35176.78722 -36401.65448 -42303.47102
 -44871.07527]","[-31836.66182 -34700.12643 -36061.38481 -40814.12076 -42912.25803
 -46422.01142]","[62.96, 287.95, 117.32, 833.04, 53.15, 198.68]","[0.2, 0.52, 0.32, 0.56, 0.18, 0.44]","[0.08385072312600014, 0.1564957821735447, 0.1326081215342218, 0.1887793041892857, 0.08733949777238362, 0.12807472849786775]","[-31352.91835729 -33863.52685333 -35651.15443883 -38343.79039112
 -42631.4569495  -45785.52578898]"
spec-6460-56334-0396norm.dr16,485.2,"[146.89, 336.77, 1.53]",[-32382.44807 -34972.56457 -45478.30539],[-34631.93872 -39661.61764 -46017.73502],"[346.42, 762.01, 40.49]","[0.27, 0.4, 0.2]","[0.1540218162688659, 0.16249898627882128, 0.07506502502153921]",[-33723.33244915 -37214.1533595  -45759.7416722 ]
spec-1933-53381-0566norm.dr16,464.72,"[437.5, 27.22]",[-38818.07864 -43356.10018],[-43018.15562 -44504.4073 ],"[801.28, 127.29]","[0.32, 0.26]","[0.1908143532342788, 0.11086191564882054]",[-41072.37798618 -43969.61970169]
spec-5179-55957-0836norm.dr16,108.92,"[106.4, 2.51]",[-45786.19964 -56974.07846],[-48277.43352 -57506.27373],"[350.18, 51.16]","[0.22, 0.13]","[0.1405665425427618, 0.09619834075588637]",[-46986.91487986 -57284.30239805]
spec-9609-58136-0331norm.dr16,459.84,[459.84],[-37799.59271],[-42341.71906],[898.61],[0.35],[0.19787525780649445],[-40189.30021177]
spec-1521-52945-0532norm.dr16,5306.14,"[4337.35, 968.79]",[-29961.89382 -54306.94165],[-45987.40244 -60027.4512 ],"[5630.12, 1439.25]","[0.62, 0.41]","[0.3511057239535129, 0.2516413214226954]",[-37253.8867554  -57270.20475745]
spec-5143-55828-0900norm.dr16,3028.68,"[2682.79, 345.89]",[-29961.83413 -54907.63109],[-44908.33809 -59364.54174],"[4006.71, 750.27]","[0.48, 0.23]","[0.26798557069259954, 0.16838619170891164]",[-37061.24573361 -57269.17695655]
spec-5144-55829-0475norm.dr16,2273.21,"[2167.46, 105.75]",[-29961.89382 -56040.90149],[-43625.39701 -58833.69925],"[3403.25, 390.95]","[0.43, 0.22]","[0.24903329829289028, 0.13998334792396602]",[-36556.2641749  -57388.43890484]
spec-9162-58040-0112norm.dr16,2548.74,"[2494.65, 54.09]",[-29961.89382 -55907.80092],[-43355.02507 -58103.38631],"[3689.67, 268.42]","[0.46, 0.18]","[0.2754251678692697, 0.12226951853024737]",[-36364.15868804 -57125.17658865]
spec-9227-57932-0572norm.dr16,2908.94,"[2753.34, 140.96, 14.63]",[-29961.89382 -55707.74535 -59099.17449],[-43828.02909 -58634.56232 -59762.42082],"[3968.02, 431.98, 90.79]","[0.46, 0.22, 0.18]","[0.28605016019554635, 0.14761420920652657, 0.13692593031516515]",[-36379.97958351 -57272.68675992 -59449.13314291]
spec-4354-55810-0356norm.dr16,3.37,[3.37],[-53587.9674],[-54255.91158],[90.36],[0.35],[0.1353066508757307],[-53869.07405142]
spec-9345-57713-0464norm.dr16,281.11,"[184.62, 5.42, 91.07]",[-41747.61577 -46138.02227 -52317.34618],[-44721.72271 -46677.11056 -54189.16625],"[485.36, 83.48, 242.15]","[0.25, 0.4, 0.38]","[0.16320914612635015, 0.15491540773194196, 0.12941709413139715]",[-43263.78615868 -46537.11331229 -53380.94792983]
spec-2884-54526-0579norm.dr16,79.5,"[58.1, 21.4]",[-45423.52111 -49662.90395],[-46165.1853  -50266.96916],"[135.49, 121.96]","[0.39, 0.58]","[0.1826922520393123, 0.20194702965662126]",[-45867.82913365 -50092.10430101]
spec-6313-56460-0295norm.dr16,316.4,"[2.24, 86.95, 164.52, 62.69]",[-38656.63729 -45423.52111 -46636.81496 -49595.86449],[-39199.43747 -46367.30039 -49125.77042 -50266.96916],"[106.25, 191.85, 406.84, 155.2]","[0.45, 0.48, 0.26, 0.55]","[0.19574336650819543, 0.20330420822001719, 0.16348066700019914, 0.23127872270167643]",[-39020.42176758 -45934.07691951 -47978.41929633 -50047.47938003]
spec-2945-54505-0067norm.dr16,215.64,"[19.77, 195.87]",[-39688.10342 -58026.11959],[-41449.97415 -59154.90445],"[183.06, 398.42]","[0.18, 0.59]","[0.1039077227586077, 0.3529913544337405]",[-40581.10525501 -58596.37485685]
spec-5494-55857-0549norm.dr16,380.63,"[188.06, 192.57]",[-37651.61786 -58026.11959],[-40433.90802 -59088.4713 ],"[454.89, 392.2]","[0.26, 0.6]","[0.16351199826680887, 0.3691964972635234]",[-39079.96038465 -58584.30442722]
spec-6587-56537-0015norm.dr16,4492.85,[4492.85],[-31003.36306],[-49368.10217],[5870.2],[0.74],[0.31954948904340486],[-39929.11060218]
spec-7701-57356-0794norm.dr16,3773.37,[3773.37],[-32027.28916],[-50240.59287],[5209.38],[0.78],[0.28593197322523906],[-40885.20147525]
spec-0948-52428-0370norm.dr16,201.47,"[4.38, 0.26, 9.63, 187.18]",[-33918.88878 -35893.49609 -37933.01561 -39562.18504],[-34463.846   -36437.81212 -38612.18605 -41865.79517],"[72.01, 67.58, 90.67, 421.05]","[0.29, 0.22, 0.26, 0.44]","[0.13209268276517344, 0.12420705554720801, 0.13352646641314048, 0.18279323237270853]",[-34224.79059272 -36245.96318099 -38230.50007038 -40865.58689255]
spec-7089-56661-0060norm.dr16,1238.53,"[1127.92, 110.6]",[-34123.27995 -45918.75773],[-43759.15575 -46862.04476],"[1985.23, 200.01]","[0.48, 0.46]","[0.2059767883631945, 0.21209663108123042]",[-38668.81778233 -46500.13734685]
spec-6199-56220-0264norm.dr16,2408.6,"[2396.67, 11.93]",[-31958.11356 -48426.18968],[-43167.8001  -49031.09799],"[3287.44, 279.26]","[0.44, 0.88]","[0.2932612407550858, 0.4616680462604514]",[-37553.3546333  -48609.85963627]
spec-7618-56898-0268norm.dr16,1764.09,"[1452.54, 311.55]",[-34072.02277 -45868.02682],[-43100.07668 -49769.86389],"[2237.81, 603.44]","[0.38, 0.9]","[0.24781171623374623, 0.15470090197951697]",[-38310.42898233 -48069.22018565]
spec-1455-53089-0381norm.dr16,379.26,"[201.11, 0.58, 172.67, 4.9]",[-32000.97406 -37449.18671 -46584.3673  -56164.66494],[-34251.0981  -37992.60004 -47863.31176 -56963.53102],"[403.56, 38.15, 351.09, 102.65]","[0.37, 0.15, 0.64, 0.2]","[0.17937837833494136, 0.07014355099849037, 0.27451181981855893, 0.12850587868001384]",[-33220.406346   -37653.63002763 -47255.55602448 -56572.81630398]
spec-6670-56389-0168norm.dr16,710.94,"[563.29, 147.65]",[-32000.97406 -46651.65683],[-35749.13032 -47661.53212],"[912.33, 280.57]","[0.4, 0.55]","[0.24341321727533882, 0.2778695045810821]",[-33836.6898432  -47250.88314556]
spec-6280-56570-0623norm.dr16,245.21,"[174.86, 67.04, 3.31]",[-33964.69785 -37503.31413 -48118.65698],[-37231.44029 -39200.66435 -48723.71231],"[496.95, 236.6, 79.03]","[0.28, 0.22, 0.14]","[0.15214451263607123, 0.13939803333185416, 0.13064302937274255]",[-35642.29903683 -38449.75878228 -48361.97821571]
spec-7694-57359-0006norm.dr16,233.95,[233.95],[-33896.64973],[-37299.34916],[567.79],[0.33],[0.16686569022149655],[-35641.26436867]
spec-2785-54537-0175norm.dr16,854.02,"[811.46, 36.95, 5.6]",[-35749.41997 -45573.7146  -47460.02641],[-44899.01091 -46719.3447  -47998.16142],"[1512.28, 143.31, 92.63]","[0.43, 0.28, 0.25]","[0.16527341048536467, 0.12514814051385284, 0.1721190804383357]",[-40238.02341071 -46164.33624186 -47688.09740505]
spec-5896-56047-0658norm.dr16,1477.24,[1477.24],[-33774.56095],[-44156.38343],[2359.45],[0.39],[0.2272079042534015],[-38685.18955377]
spec-4341-55538-0324norm.dr16,1034.07,"[728.14, 305.93]",[-32748.27764 -53893.76107],[-43409.99255 -58821.33412],"[1701.29, 770.11]","[0.41, 0.3]","[0.15951689444284678, 0.15630633086810172]",[-37672.02771514 -56428.92079011]
spec-9312-57784-0360norm.dr16,2893.47,"[1958.0, 19.58, 915.89]",[-29948.98694 -46648.47529 -54361.22219],[-40906.35536 -47994.74076 -59219.35944],"[2920.8, 156.66, 1327.47]","[0.51, 0.21, 0.45]","[0.2664274190530635, 0.11634582342484945, 0.27332409388044987]",[-34754.81392567 -47278.2280527  -57013.74637461]
spec-1709-53533-0576norm.dr16,3099.14,"[2859.61, 239.53]",[-32898.15995 -46055.34614],[-44301.40281 -49620.79442],"[3752.87, 582.0]","[0.68, 0.33]","[0.3288877865392721, 0.16323090114398392]",[-37839.26550879 -47728.40908482]
spec-5465-55988-0798norm.dr16,2540.11,"[2417.75, 1.37, 120.98]",[-32488.87269 -48814.77508 -55841.66536],[-43287.94635 -49553.70292 -58236.67454],"[3264.11, 92.32, 359.56]","[0.64, 0.26, 0.28]","[0.3021033535626043, 0.12493847038619267, 0.15013638409165547]",[-37314.57775536 -49132.04232875 -57076.16334416]
spec-2582-54139-0485norm.dr16,488.06,[488.06],[-44825.1379],[-49738.76097],[971.09],[0.33],[0.19761719968956035],[-47220.46015918]
spec-5320-55999-0336norm.dr16,188.43,"[66.53, 121.9]",[-44960.12669 -47251.69285],[-46376.12698 -49738.76097],"[220.12, 361.78]","[0.22, 0.22]","[0.15546699575528167, 0.14547070378586385]",[-45690.20119111 -48574.13466446]
spec-9587-57784-0340norm.dr16,33.67,"[26.03, 7.64]",[-45297.43569 -49134.55199],[-46241.33732 -49940.27698],"[149.64, 110.68]","[0.19, 0.19]","[0.15851906659416562, 0.137369706640814]",[-45788.32832118 -49516.96208349]
spec-1618-53116-0538norm.dr16,109.9,"[13.06, 6.41, 88.97, 1.47]",[-31902.39036 -34901.95186 -35786.92443 -38912.9988 ],[-33062.23162 -35446.70383 -37282.96974 -39455.73968],"[120.67, 70.17, 191.41, 36.19]","[0.21, 0.19, 1.07, 0.19]","[0.10408983995004967, 0.12885129336711643, 0.1278737960671352, 0.06665599919120974]",[-32496.22075842 -35178.13925336 -36704.5793129  -39200.20592669]
spec-5374-55947-0608norm.dr16,353.96,[353.96],[-32925.78295],[-38845.03544],[885.61],[0.5],[0.14960507153697636],[-35846.10555948]
spec-2511-53882-0552norm.dr16,694.38,"[6.36, 685.74, 2.28]",[-31802.99995 -32690.02802 -56038.18976],[-32349.01033 -40780.7092  -56837.11627],"[72.8, 1440.3, 86.68]","[0.18, 0.31, 0.15]","[0.13339050495864047, 0.17803289063720382, 0.10848544237617198]",[-32073.47454806 -36825.28898426 -56401.63653425]
spec-6422-56328-0988norm.dr16,1403.92,"[1299.27, 104.65]",[-29959.04622 -55171.57151],[-40983.90523 -58366.20417],"[2309.45, 406.91]","[0.45, 0.32]","[0.20942346447916918, 0.12741890236320624]",[-35159.1808589 -56977.6510905]
spec-2225-53729-0182norm.dr16,3.17,[3.17],[-52797.53912],[-53332.55796],[52.17],[0.27],[0.097480625961547],[-53063.55177873]
spec-6402-56334-0966norm.dr16,558.26,"[35.59, 522.67]",[-35310.49923 -44396.15746],[-36127.06992 -51257.64561],"[137.26, 1127.38]","[0.31, 0.44]","[0.1680849197910735, 0.16429502268287086]",[-35741.27579457 -47751.4258393 ]
spec-1713-53827-0211norm.dr16,706.06,"[540.0, 140.77, 14.84, 10.45]",[-33641.54573 -39014.70388 -48673.93664 -55702.03736],[-38743.31498 -41251.82445 -49278.65353 -56434.84753],"[927.46, 353.02, 76.32, 65.69]","[0.47, 0.39, 0.25, 0.23]","[0.18184913923914864, 0.15777513082752204, 0.12620653896114142, 0.08961857260745135]",[-36414.16887833 -40063.79622981 -49027.6204014  -56120.5643449 ]
spec-5476-55986-0599norm.dr16,942.38,"[888.54, 47.52, 6.32]",[-34050.5568  -42605.42833 -46587.978  ],[-42131.91778 -43281.54174 -47194.06804],"[1650.57, 129.87, 102.35]","[0.37, 0.44, 0.28]","[0.204229362601108, 0.19209283067085842, 0.16887011190654516]",[-37997.50000512 -42984.84912043 -46957.28817985]
spec-6456-56339-0894norm.dr16,861.9,"[137.9, 228.23, 36.79, 458.98]",[-29980.64188 -33188.97369 -37952.90186 -39988.78643],[-32234.06762 -35164.88204 -38767.80778 -47218.34651],"[414.71, 465.95, 115.57, 1126.2]","[0.36, 0.34, 0.25, 0.32]","[0.1840167439862626, 0.23583121599526502, 0.14186004413794737, 0.1557806311348209]",[-30975.08345377 -34187.01040902 -38443.73255825 -43593.53890364]
spec-10464-58155-0575norm.dr16,822.52,"[88.46, 125.58, 1.24, 106.29, 500.94]",[-29980.64188 -33325.36045 -36185.56025 -37409.45186 -39717.66287],[-31346.83991 -34960.50831 -36729.72214 -39039.16289 -48160.25507],"[239.11, 308.12, 51.5, 261.77, 1252.15]","[0.28, 0.27, 0.13, 0.33, 0.28]","[0.1750282497539443, 0.18843665682454658, 0.09465525184454839, 0.16063216021583737, 0.14836985723944543]","[-30682.78232532 -34179.83237518 -36417.99419479 -38329.57107923
 -44265.97757738]"
spec-2430-53815-0471norm.dr16,325.08,"[51.85, 0.34, 266.72, 6.17]",[-34441.43401 -35803.13571 -37367.19401 -45761.6825 ],[-35326.7507  -36347.3037  -39810.99993 -46435.78455],"[236.67, 40.3, 495.71, 136.08]","[0.78, 0.2, 0.47, 0.97]","[0.2674196766214393, 0.07404239736091921, 0.20283639280695948, 0.20179878343557736]",[-34914.18726779 -36150.98137665 -38635.11350426 -45988.19740801]
spec-5288-55865-0958norm.dr16,276.37,"[2.13, 274.24]",[-35803.13571 -36755.40283],[-36347.3037  -39810.99993],"[53.31, 563.36]","[0.14, 0.34]","[0.09793104290927118, 0.18439518605314636]",[-36135.88328117 -38479.25759558]
spec-5290-55862-0164norm.dr16,263.14,"[253.22, 9.92]",[-36823.29827 -45761.6825 ],[-40082.27081 -46435.78455],"[565.68, 315.58]","[0.34, 0.92]","[0.17359108820008107, 0.468121157541323]",[-38474.19714663 -45856.38635482]
