NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-0885-52379-0063norm.dr16,9.75,"[8.83, 0.92]",[-39340.75513 -54221.39599],[-39951.22747 -54755.35122],"[13.87, 19.65]","[0.17, 0.15]"
,,,,,,
spec-6674-56416-0964norm.dr16,407.77,"[400.35, 7.42]",[-35671.57013 -48257.46725],[-40290.12036 -49265.46027],"[422.05, 48.34]","[0.32, 0.24]"
,,,,,,
spec-1272-52989-0064norm.dr16,222.54,"[40.59, 101.11, 33.49, 0.68, 46.66]",[-37989.9648  -39618.88469 -47726.15684 -53092.18473 -55095.62583],[-39279.7227  -41922.53459 -48802.0356  -53626.99069 -56894.45479],"[73.26, 140.16, 45.79, 21.53, 61.92]","[0.23, 0.41, 0.3, 0.25, 0.28]"
,,,,,,
spec-5809-56353-0704norm.dr16,230.03,"[228.01, 2.01]",[-37921.96837 -55362.42827],[-40839.09867 -56095.53561],"[240.6, 6.19]","[0.35, 0.14]"
,,,,,,
spec-0628-52083-0304norm.dr16,29.65,"[5.19, 24.46]",[-37165.73583 -55087.04088],[-37709.44252 -56486.46969],"[30.82, 38.54]","[0.3, 0.2]"
,,,,,,
spec-6036-56093-0310norm.dr16,605.28,"[602.32, 0.9, 2.07]",[-37845.32347 -55420.46789 -56819.27226],[-42590.35772 -56086.82222 -57550.96389],"[632.14, 11.14, 4.38]","[0.43, 0.15, 0.13]"
,,,,,,
spec-8524-57656-0969norm.dr16,367.56,"[310.58, 56.98]",[-36825.8292  -47582.86831],[-41304.49228 -48591.61027],"[327.55, 63.31]","[0.28, 0.26]"
,,,,,,
spec-6305-56563-0032norm.dr16,707.35,"[27.67, 646.84, 12.06, 20.77]",[-33752.77221 -45147.53897 -56143.80969 -57674.29828],[-34774.72907 -50462.0435  -56809.72867 -58538.07208],"[170.21, 661.07, 32.76, 27.84]","[0.5, 0.47, 0.24, 0.22]"
,,,,,,
spec-7667-57580-0430norm.dr16,268.59,"[2.06, 266.06, 0.46]",[-33752.77221 -46428.47809 -57208.86605],[-34297.96749 -50193.72642 -57807.25663],"[110.32, 301.02, 7.13]","[0.46, 0.31, 0.16]"
,,,,,,
spec-4419-55867-0178norm.dr16,861.66,"[74.2, 533.63, 12.54, 5.0, 236.3]",[-33384.39952 -35632.2675  -39979.75225 -47209.37377 -55117.12592],[-34134.13844 -39572.99625 -40657.68843 -47747.87787 -56516.52292],"[119.37, 550.22, 33.07, 16.38, 241.45]","[0.48, 0.4, 0.2, 0.17, 0.49]"
,,,,,,
spec-9446-58082-0782norm.dr16,202.94,"[52.47, 26.17, 123.48, 0.82]",[-44917.89783 -46199.12112 -55650.64836 -56982.38361],[-45727.28646 -47613.2377  -56516.52292 -57514.55837],"[58.47, 87.68, 188.96, 6.4]","[0.38, 0.48, 0.47, 0.13]"
,,,,,,
spec-0790-52441-0583norm.dr16,315.38,"[267.04, 27.84, 1.21, 19.28]",[-46220.89161 -51796.92329 -53536.28998 -56071.84219],[-49718.42756 -52533.28043 -54070.8354  -56870.76839],"[321.39, 47.55, 12.14, 31.95]","[0.7, 0.29, 0.24, 0.19]"
,,,,,,
spec-6806-56419-0302norm.dr16,958.62,[958.62],[-43589.06983],[-51328.03256],[964.35],[0.52]
,,,,,,
spec-6786-56448-0829norm.dr16,483.11,[483.11],[-34924.88545],[-38596.49498],[497.21],[0.58]
,,,,,,
spec-6976-56448-0440norm.dr16,407.77,[407.77],[-34993.046],[-38392.71574],[417.54],[0.53]
,,,,,,
spec-6138-56236-0746norm.dr16,329.68,"[7.19, 69.34, 96.79, 156.36]",[-38990.93175 -41228.09129 -46092.65256 -55745.22047],[-39533.57533 -42108.20422 -48179.64727 -56611.03197],"[11.91, 139.27, 150.7, 244.92]","[0.2, 0.37, 0.5, 0.68]"
,,,,,,
spec-6138-56598-0754norm.dr16,413.37,"[152.93, 36.03, 224.41]",[-39804.91756 -46092.65256 -55545.32128],[-42040.43076 -46766.39597 -56611.03197],"[178.29, 70.71, 309.69]","[0.49, 0.35, 0.75]"
,,,,,,
spec-5745-55998-0657norm.dr16,371.84,"[51.4, 320.44]",[-32859.98113 -34768.20243],[-34495.84697 -39118.95992],"[64.6, 343.89]","[0.26, 0.36]"
,,,,,,
