SDSS name,Spec Files,Redshift,OG EHVO Obs,Tmin From EHVO,Tmin (restframe),Done,2000 BI LIMIT,500 BI LIMIT,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL 500,DEPTH,,Variable?,Variable between EHVO and Tmin epochs?,,,,,,
J090833.41+325434.6,spec-1272-52989-0064,2.308,0,1016.928658,1016.928658,TRUE,First 2?,,222.54,"[40.59, 101.11]",[-37989.9648 -39618.88469],[-39279.7227 -41922.53459],"[73.26, 140.16]","[0.23, 0.41]",,TRUE,TRUE,222.54,"[40.59, 101.11, 33.49, 0.68, 46.66]",[-37989.9648 -39618.88469 -47726.15684 -53092.18473 -55095.62583],[-39279.7227 -41922.53459 -48802.0356 -53626.99069 -56894.45479],"[73.26, 140.16, 45.79, 21.53, 61.92]","[0.23, 0.41, 0.3, 0.25, 0.28]"
J090833.41+325434.6,spec-5809-56353-0704,2.308,1,1016.928658,1016.928658,TRUE,,,230.03,[228.01],[-37921.96837 ],[-40839.09867 ],[240.6],[0.35],,TRUE,TRUE,,,,,,
J163514.75+415230.2,spec-6036-56093-0310,2.314,0,471.6354858,471.6354858,TRUE,,,605.28,[602.32],[-37845.32347],[-42590.35772 ],[632.14],[0.43],,TRUE,TRUE,Tmin,,,,,
J163514.75+415230.2,spec-8524-57656-0969,2.314,1,471.6354858,471.6354858,TRUE,Weird line at 47k,,367.56,[310.58],[-36825.8292 ],[-41304.49228],[327.55],[0.28],Deleting second line for now,TRUE,TRUE,367.56,"[310.58, 56.98]",[-36825.8292 -47582.86831],[-41304.49228 -48591.61027],"[327.55, 63.31]","[0.28, 0.26]"
J234150.71+244411.1,spec-6305-56563-0032,2.32,0,306.3253012,306.3253012,TRUE,2nd,,707.35,[ 646.84],[ -45147.53897 ],[ -50462.0435 ],[661.07],[ 0.47],,TRUE,TRUE,,,,,,
J234150.71+244411.1,spec-7667-57580-0430,2.32,1,306.3253012,306.3253012,TRUE,2nd,,268.59,[266.06],[ -46428.47809],[-50193.72642],[301.02],[0.31],,TRUE,TRUE,,,,,,
J004300.26+045718.6,spec-4419-55867-0178,2.362,1,658.8340274,658.8340274,TRUE,2nd and 3rd troughs.,,861.66,"[533.63, 12.54]",[-35632.2675 -39979.75225 ],[-34134.13844 -39572.99625 -40657.68843 -47747.87787 -56516.52292],"[550.22, 33.07]","[0.4, 0.2]",,TRUE,TRUE,,,,,,
J004300.26+045718.6,spec-9446-58082-0782,2.362,0,658.8340274,658.8340274,TRUE,0,,0,0,,,0,0,,TRUE,TRUE,,,,,,
J144412.36+582636.9,spec-0790-52441-0583,2.37,0,1180.41543,1180.41543,TRUE,,,315.38,[267.04],[-46220.89161],[-49718.42756 ],[321.39],[0.7],,TRUE,TRUE,,,,,,
J144412.36+582636.9,spec-6806-56419-0302,2.37,1,1180.41543,1180.41543,TRUE,,,958.62,[958.62],[-43589.06983],[-51328.03256],[964.35],[0.52],,TRUE,TRUE,,,,,,
J160852.73+584513.5,spec-6786-56448-0829,2.385,0,0,0,TRUE,"This is a good litmus test for the error in our absorption code. Both of these observations were taken on the same day, yet their EW differ by nearly 20%",,483.11,[483.11],[-34924.88545],[-38596.49498],[497.21],[0.58],,FALSE,FALSE,No variability,,,,,
J160852.73+584513.5,spec-6976-56448-0440,2.385,1,0,0,TRUE,,,407.77,[407.77],[-34993.046],[-38392.71574],[417.54],[0.53],,FALSE,FALSE,,,,,,
J234448.62+165312.2,spec-6138-56236-0746,2.395,0,106.6273932,106.6273932,TRUE,2nd (1st doesnt start before vmin of other epoch),,329.68,[69.34],[-38990.93175 -41228.09129 -46092.65256 -55745.22047],[-42108.20422 ],[139.27],[0.37],,TRUE,TRUE,,,,,,
J234448.62+165312.2,spec-6138-56598-0754,2.395,1,106.6273932,106.6273932,TRUE,1,,443,[171.3],[-39804.91756 ],[-42040.43076 ],[204.18],[0.5],,TRUE,TRUE,,,,,,
J100614.42+340856.6,spec-5745-55998-0657,2.466,1,15.0029,15.0029,TRUE,2nd,,371.84,"[51.4, 320.44]",[-34768.20243],[-39118.95992],[343.89],[0.36],,FALSE,FALSE,No variability,,,,,
J100614.42+340856.6,spec-5745-56050-0657,2.466,0,15.0029,15.0029,TRUE,"3,4",,727.61,"[34.58, 471.21]",[ -35176.78722 -36401.65448 ],[ -36061.38481 -40814.12076 ],"[ 63.49, 538.33]","[0.32, 0.56]",,FALSE,FALSE,,,,,,
J085824.80+265903.0,spec-5179-55957-0836,2.495,1,623.462,623.462,TRUE,1st,,108.85,[106.34],[-46367.17191],[-48856.84528 ],[127.14],[0.22],,TRUE,TRUE,,,,,,
J085824.80+265903.0,spec-9609-58136-0331,2.495,0,623.462,623.462,TRUE,,,459.59,[459.59],[-38385.01427],[-42924.71372],[504.94],[0.35],,TRUE,TRUE,,,,,,
J213054.48+011500.5,spec-5143-55828-0900,2.548,0,0.281849,0.281849,TRUE,1st,,3028.68,[2682.79],[-29961.83413 ],[-44908.33809 ],[2804.19],[0.48],,TRUE,FALSE,,,,,,
J213054.48+011500.5,spec-5144-55829-0475,2.548,1,0.281849,0.281849,TRUE,1st,,2273.21,[2167.46],[-29961.89382],[-43625.39701,[2275.14],[0.43],,TRUE,FALSE,No variability between Tmin and EHVO epoch,,,,,
J000022.93-022716.4,spec-4354-55810-0356,2.61,0,527.1468144,527.1468144,TRUE,Nothing,,0,0,,,0,0,,TRUE,TRUE,,,,,,
J000022.93-022716.4,spec-9345-57713-0464,2.61,1,527.1468144,527.1468144,TRUE,1st,,281.11,[184.62],[-41747.61577],[-44721.72271],[209.54],[0.25],,TRUE,TRUE,,,,,,
J162349.61+505501.1,spec-2884-54526-0579,2.615,0,534.9930844,534.9930844,TRUE,both,,79.49,"[58.09, 21.4]",[-45532.11036 -49770.99415],[-46273.69045 -50374.98463],"[87.35, 88.1]","[0.39, 0.58]",,TRUE,TRUE,,,,,,
J162349.61+505501.1,spec-6313-56460-0295,2.615,1,534.9930844,534.9930844,TRUE,Last 3,,316.37,"[86.94, 164.5, 62.68]",[ -45532.11036 -46745.26592 -49703.96293],[-46475.78239 -49233.92631 -50374.98463],"[123.19, 179.87, 113.3]","[0.48, 0.26, 0.55]",,TRUE,TRUE,,,,,,
J075916.12+092743.0,spec-2945-54505-0067,2.635,0,371.9394773,371.9394773,TRUE,First,,215.71,[ 195.93],[--57784.85376],[-58914.00676],[317.41],[0.59],,TRUE,TRUE,,,,,,
J075916.12+092743.0,spec-5494-55857-0549,2.635,1,371.9394773,371.9394773,TRUE,First,,380.74,[188.1],[-37404.92935],[-40187.82348],[203.24],[0.26],,TRUE,TRUE,,,,,,
J232919.28+271959.3,spec-6587-56537-0015,2.6636,0,223.550606,223.550606,TRUE,Pretty sure this whole thing is CIV,,4492.85,[4492.85],[-31003.36306],[-49368.10217],[4496.56],[0.74],,TRUE,TRUE,Right side absorption feature disappears,,,,,
J232919.28+271959.3,spec-7701-57356-0794,2.6636,1,223.550606,223.550606,TRUE,,,3773.37,[3773.37],[-32027.28916],[-50240.59287],[3783.66],[0.78],,TRUE,TRUE,,,,,,
J103800.50+582343.0,spec-0948-52428-0370,2.702,0,1143.435981,1143.435981,TRUE,all 4,,201.43,"[4.38, 0.26, 9.63, 187.15]",[-34092.40786 -36066.7449 -38105.96926 -39734.89123],[-34637.29201 -36610.98374 -38785.03779 -42038.13374],"[33.53, 22.19, 38.8, 221.76]","[0.29, 0.22, 0.26, 0.44]",,TRUE,TRUE,,,,,,
J103800.50+582343.0,spec-7089-56661-0060,2.702,1,1143.435981,1143.435981,TRUE,1st,,1238.34,[1127.75],[-34296.77175 -46090.39913],[-43931.17663 ],[1148.07],[0.48],,TRUE,TRUE,,,,,,
J004659.89+180739.6,spec-6199-56220-0264,2.762,1,180.2232855,180.2232855,TRUE,,,2409.13,[2397.2],[-31693.4921 ],[-42905.6779 ],[2408.15],[0.44],,TRUE,TRUE,,,,,,
J004659.89+180739.6,spec-7618-56898-0268,2.762,0,180.2232855,180.2232855,TRUE,Prob 1st,,1764.51,[1452.87],[-33807.81533 ],[-42837.93713 ],[1493.37],[0.38],,TRUE,TRUE,1764.51,"[1452.87, 311.64]",[-33807.81533 -45606.61853],[-42837.93713 -49509.56396],"[1493.37, 314.88]","[0.38, 0.9]"
J123830.71+480003.4,spec-1455-53089-0381,2.846,0,858.0343214,858.0343214,TRUE, First,,379.64,[201.27],[-30867.57694 ],[-33119.57013 ],[209.57],[0.37],,TRUE,TRUE,379.64,"[201.27, 0.58, 172.87, 4.91]",[-30867.57694 -36320.5378 -45465.38102 -55058.10241],[-33119.57013 -36864.46629 -46745.84839 -55858.11041],"[209.57, 6.48, 253.94, 29.67]","[0.37, 0.15, 0.64, 0.2]"
J123830.71+480003.4,spec-6670-56389-0168,2.846,1,858.0343214,858.0343214,TRUE,First,,711.6,[563.77],[-30867.57694 ],[-34618.91843],[598.21],[0.4],,TRUE,TRUE,711.6,"[563.77, 147.83]",[-30867.57694 -45532.74964],[-34618.91843 -46543.82571],"[598.21, 199.8]","[0.4, 0.55]"
J002238.35+273533.2,spec-6280-56570-0623,2.86,0,204.4041451,204.4041451,TRUE,first,,245.21,[174.85],[-33990.76638],[-37257.44046 ],[213.73],[0.28],,TRUE,TRUE,245.21,"[174.85, 67.04, 3.31]",[-33990.76638 -37529.30833 -48144.38405],[-37257.44046 -39226.62029 -48749.42215],"[213.73, 84.04, 15.96]","[0.28, 0.22, 0.14]"
J002238.35+273533.2,spec-7694-57359-0006,2.86,1,204.4041451,204.4041451,TRUE,,,233.94,[233.94],[-33922.71962],[-37325.34785],[264.83],[0.33],,TRUE,TRUE,,,,,,
