,60_1,60_2,59_1,59_2,59_3,57_1,57_2
v0,-83904.80796741266,-75417.45536605736,-83109.03611269758,-88564.3840924785,-94908.83441821324,-90058.04354409252,-83285.5008869857
tau0,0.568220687874476,0.10846989662121331,0.5350636052563766,0.22604737252889118,0.14280760799485798,0.11734208735390557,0.15673339857202215
b,4972.406385131062,1969.5993483143104,1818.864051032723,2621.3949990516808,1321.4462754364745,2639.5566317488174,2934.4250331043445
