,60_1,60_2,59_1,59_2,59_3,57_1,57_2
v0,-83895.5931017472,-75506.86369648298,-83107.15167376022,-88533.27211482309,-94921.15809146412,-90052.53270042864,-83311.57117040356
tau0,0.5621333146425559,0.10342191236975076,0.5331228336976334,0.21422990165302347,0.14330756708282055,0.11718260158809082,0.15804906499539242
b,4872.617842888022,1857.2370262315198,1794.4744502850178,2706.236947316954,1321.9652588743809,2675.987676737284,2821.9603874515715
