,60_1,60_2,59_1,59_2,59_3,57_1,57_2
v0,-83569.71671604727,-75625.81757125682,-83234.38660539719,-88558.87028399226,-94132.73655588683,-90058.21895601501,-83119.72491905147
tau0,0.48952405817554984,0.11115640873149182,0.575123845258882,0.21899133926531578,0.122535181426992,0.08401920786831246,0.1456736532887093
b,4004.7121691022558,1419.4789378659227,1779.5935133286027,1842.1897183867502,1933.0044933058016,2249.3440709985657,2369.2071320272184
