,60_1,60_2,59_1,59_2,59_3,57_1,57_2
v0,-83592.20916858388,-75570.32848015243,-83228.20337901833,-88559.33542570053,-94121.43001044284,-90059.89857328463,-83088.79690470852
tau0,0.5069793617774894,0.12431280523617236,0.5784706527162734,0.22350466807006517,0.12527293822230715,0.08611207842701066,0.14806872988369715
b,4180.418968356062,1606.5969335063712,1803.790161533774,1860.4561693441162,1955.0824238837943,2305.1450106026837,2461.3511695191937
