#wavelengths flux error
3.566974365234375000e+03 4.310380172729492188e+01 0.000000000000000000e+00
3.567794921875000000e+03 9.077419281005859375e+01 0.000000000000000000e+00
3.568617675781250000e+03 1.338265228271484375e+02 0.000000000000000000e+00
3.569438476562500000e+03 4.079942321777343750e+01 0.000000000000000000e+00
3.570261718750000000e+03 1.868825912475585938e+01 0.000000000000000000e+00
3.571083007812500000e+03 9.294066429138183594e+00 0.000000000000000000e+00
3.571906494140625000e+03 6.133458018302917480e-01 0.000000000000000000e+00
3.572728271484375000e+03 1.077501201629638672e+01 0.000000000000000000e+00
3.573550048828125000e+03 3.828539657592773438e+01 0.000000000000000000e+00
3.574374023437500000e+03 5.443402481079101562e+01 0.000000000000000000e+00
3.575196289062500000e+03 6.974097442626953125e+01 0.000000000000000000e+00
3.576020751953125000e+03 3.955031204223632812e+01 0.000000000000000000e+00
3.576843505859375000e+03 4.559310150146484375e+01 0.000000000000000000e+00
3.577668212890625000e+03 4.231802368164062500e+01 0.000000000000000000e+00
3.578491455078125000e+03 -6.535384804010391235e-02 0.000000000000000000e+00
3.579314453125000000e+03 3.397562789916992188e+01 0.000000000000000000e+00
3.580139892578125000e+03 7.386994171142578125e+01 0.000000000000000000e+00
3.580963623046875000e+03 6.677513122558593750e+01 0.000000000000000000e+00
3.581789306640625000e+03 4.246424102783203125e+01 0.000000000000000000e+00
3.582613281250000000e+03 4.519342422485351562e+01 0.000000000000000000e+00
3.583439453125000000e+03 6.341774368286132812e+01 0.000000000000000000e+00
3.584263916015625000e+03 3.925030899047851562e+01 0.000000000000000000e+00
3.585088378906250000e+03 4.453933715820312500e+01 0.000000000000000000e+00
3.585915039062500000e+03 7.443083190917968750e+01 0.000000000000000000e+00
3.586739990234375000e+03 8.438602447509765625e+01 0.000000000000000000e+00
3.587567138671875000e+03 6.569066619873046875e+01 0.000000000000000000e+00
3.588392333984375000e+03 5.433306503295898438e+01 0.000000000000000000e+00
3.589219970703125000e+03 7.694361114501953125e+01 0.000000000000000000e+00
3.590045654296875000e+03 4.520245742797851562e+01 0.000000000000000000e+00
3.590871582031250000e+03 4.462127685546875000e+01 0.000000000000000000e+00
3.591699462890625000e+03 6.475925445556640625e+01 0.000000000000000000e+00
3.592525878906250000e+03 1.027692489624023438e+02 0.000000000000000000e+00
3.593354248046875000e+03 1.270348587036132812e+02 0.000000000000000000e+00
3.594180908203125000e+03 7.535575103759765625e+01 0.000000000000000000e+00
3.595009765625000000e+03 9.027837371826171875e+01 0.000000000000000000e+00
3.595836669921875000e+03 6.152056121826171875e+01 0.000000000000000000e+00
3.596663818359375000e+03 8.068241119384765625e+01 0.000000000000000000e+00
3.597493408203125000e+03 7.691835784912109375e+01 0.000000000000000000e+00
3.598320800781250000e+03 1.408886814117431641e+01 0.000000000000000000e+00
3.599150634765625000e+03 7.386392211914062500e+01 0.000000000000000000e+00
3.599978759765625000e+03 9.016130065917968750e+01 0.000000000000000000e+00
3.600808837890625000e+03 6.195678710937500000e+01 0.000000000000000000e+00
3.601637207031250000e+03 4.807304763793945312e+01 0.000000000000000000e+00
3.602467773437500000e+03 5.800776290893554688e+01 0.000000000000000000e+00
3.603296386718750000e+03 6.063498306274414062e+01 0.000000000000000000e+00
3.604125244140625000e+03 3.735364913940429688e+01 0.000000000000000000e+00
3.604956542968750000e+03 2.094815254211425781e+01 0.000000000000000000e+00
