,objectName,spec1,spec2,I01,I02,I1,I2
196,130939.70+543424.9,"Spectra(plate='6760', mjd='56425', fiber='0276')","Spectra(plate='8218', mjd='57519', fiber='0920')",8.202931,7.7115693,1.1773403,1.1331093
197,131147.06+280415.7,"Spectra(plate='6486', mjd='56328', fiber='0414')","Spectra(plate='5994', mjd='56101', fiber='0909')",2.972012,3.3725057,1.2268844,1.2068436
198,131616.04+272300.5,"Spectra(plate='5997', mjd='56309', fiber='0648')","Spectra(plate='2243', mjd='53794', fiber='0492')",6.504216,6.608655,6.395226,6.454328
199,132031.46+264247.2,"Spectra(plate='5997', mjd='56309', fiber='0196')","Spectra(plate='2243', mjd='53794', fiber='0079')",6.4988194,9.077505,7.129881,7.1910067
200,132420.83+422554.6,"Spectra(plate='6622', mjd='56365', fiber='0620')","Spectra(plate='1462', mjd='53112', fiber='0532')",4.877712,6.1198106,3.2123682,3.204409
201,132433.98+273332.5,"Spectra(plate='6000', mjd='56102', fiber='0572')","Spectra(plate='5997', mjd='56309', fiber='0990')",7.4195337,5.7312098,0.89045715,0.9729691
202,132646.81+101742.4,"Spectra(plate='5430', mjd='56000', fiber='0780')","Spectra(plate='1800', mjd='53884', fiber='0450')",7.641477,9.6363125,2.7659166,3.0193677
203,133422.74+131831.0,"Spectra(plate='5432', mjd='56008', fiber='0966')","Spectra(plate='1775', mjd='53847', fiber='0094')",15.255142,16.533789,14.42691,14.203913
204,134027.41+660348.2,"Spectra(plate='6825', mjd='56717', fiber='0272')","Spectra(plate='0497', mjd='51989', fiber='0192')",7.756132,5.4782176,4.555409,4.797109
205,134133.71+414934.1,"Spectra(plate='6626', mjd='56330', fiber='0260')","Spectra(plate='1377', mjd='53050', fiber='0327')",10.320407,11.947245,7.903989,8.098064
206,134210.95+301521.4,"Spectra(plate='6496', mjd='56363', fiber='0164')","Spectra(plate='2094', mjd='53851', fiber='0491')",7.0656853,5.4053507,5.4972243,5.914923
207,134233.24+170247.0,"Spectra(plate='5439', mjd='56045', fiber='0850')","Spectra(plate='2607', mjd='54184', fiber='0586')",9.548035,13.19043,8.802957,9.121027
208,134345.51+121647.0,"Spectra(plate='5438', mjd='56002', fiber='0072')","Spectra(plate='1701', mjd='53142', fiber='0386')",12.568262,14.20093,11.3476305,11.7993965
209,135206.67+502218.9,"Spectra(plate='8209', mjd='57427', fiber='0121')","Spectra(plate='7430', mjd='57105', fiber='0955')",21.682165,20.161251,15.840988,16.177305
210,135224.06+352416.3,"Spectra(plate='8878', mjd='57785', fiber='0367')","Spectra(plate='2033', mjd='53476', fiber='0205')",8.8168125,6.8274765,7.878503,8.0266485
211,135320.06+584236.3,"Spectra(plate='8199', mjd='57428', fiber='0740')","Spectra(plate='1158', mjd='52668', fiber='0458')",2.4348948,3.778452,1.5399941,1.6242768
212,135326.24+393314.4,"Spectra(plate='6630', mjd='56358', fiber='0454')","Spectra(plate='4709', mjd='55720', fiber='0060')",8.123417,5.107439,6.7391076,6.100653
213,135514.70+480145.0,"Spectra(plate='6749', mjd='56370', fiber='0946')","Spectra(plate='1284', mjd='52736', fiber='0635')",4.4323316,7.267443,5.1773605,5.6059117
214,135649.07+441014.1,"Spectra(plate='6629', mjd='56365', fiber='0296')","Spectra(plate='1466', mjd='53083', fiber='0005')",10.2457695,8.779234,9.640022,9.391265
215,135910.77+400218.6,"Spectra(plate='6630', mjd='56358', fiber='0304')","Spectra(plate='1378', mjd='53061', fiber='0596')",8.032878,12.136328,7.3119507,7.0237865
216,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.9567795,2.1557918,2.166474
217,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,3.3718562,1.5621184,1.5715791
218,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.7746935,1.514379,1.773894
219,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.5017786,2.1557918,2.2521448
220,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.5979643,2.1557918,2.073334
221,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,3.6364973,1.3926286,1.4373484
222,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.3518887,2.0865755,2.0201945
223,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.351132,1.9936479,1.8718965
224,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.9439716,2.1557918,2.0836568
225,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.293288,1.514379,1.6266938
226,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,3.7325068,1.514379,1.5044503
227,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.0904875,1.514379,1.5702814
228,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.198196,1.3926286,1.3946434
229,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.945527,2.1557918,1.8737998
230,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.846838,2.0865755,2.2011395
231,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.0509553,2.0865755,2.056933
232,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.492604,1.6473463,1.6095095
233,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,5.397659,2.1557918,2.3274617
234,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.8702626,1.6473463,1.481048
235,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.903038,1.9936479,2.0560248
236,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.161525,1.9936479,1.9651778
237,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,5.1589823,2.1557918,2.0036752
238,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.2514863,2.1557918,2.3476336
239,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.1763043,1.514379,1.4860978
240,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.8092613,2.1557918,2.1442869
241,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.959055,2.1557918,2.4096937
242,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.082463,1.3744612,1.3875185
243,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.8671227,1.9936479,2.1299574
244,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.705499,2.0865755,2.2585206
245,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.7175813,2.1557918,2.206045
246,140554.87+530323.5,"Spectra(plate='7339', mjd='56683', fiber='0520')","Spectra(plate='7339', mjd='57901', fiber='0520')",3.432001,4.075276,1.9936479,1.9956317
247,140600.95+072518.4,"Spectra(plate='5452', mjd='55957', fiber='0402')","Spectra(plate='1824', mjd='53491', fiber='0403')",11.316146,9.857477,8.819999,8.721431
248,140832.92+204613.8,"Spectra(plate='5896', mjd='56047', fiber='0448')","Spectra(plate='2771', mjd='54527', fiber='0506')",5.1803484,7.0966644,2.2859955,2.2133307
