Unnamed: 0,objectName,spec1,spec2,I01,I02,I1,I2,alpha,minOpt,minCov1,minCov2,Spec_Cf1,Spec_Cf2,Spec_Cf2Cf1,save_fig
38,024304.68+000005.4,"Spectra(plate='7822', mjd='57041', fiber='0529')","Spectra(plate='3651', mjd='55247', fiber='0320')",12.946732,14.52211,1.2701198,1.2583303,0.89,2.44,0.9019,0.9125,"[9.47746458 4.97547166 3.47979708 2.73568347 2.29217351 1.9989434
 1.7915647  1.63781993 1.5198077  1.42678479 1.35191262 1.29063041
 1.23977927 1.19710163 1.16094094 1.13005396 1.10348932 1.08050653
 1.0605206  1.04306326 1.02775524 1.0142861  1.00239941 0.99188146
 0.98255285 0.97426192 0.96687964 0.96029564 0.95441499 0.94915568
 0.94444656 0.94022567 0.93643883 0.93303855 0.92998305 0.92723553
 0.92476341 0.92253788 0.92053335 0.91872707 0.91709878 0.91563041
 0.91430581 0.91311057 0.91203176 0.9110578  0.91017832 0.909384
 0.90866646]","[9.5888529  5.0339482  3.52069502 2.76783586 2.31911335 2.02243691
 1.8126209  1.65706918 1.53766995 1.44355375 1.3678016  1.30579914
 1.25435035 1.21117112 1.17458544 1.14333545 1.11645859 1.09320568
 1.07298486 1.05532235 1.03983441 1.02620697 1.01418057 1.003539
 0.99410076 0.98571239 0.97824335 0.97158196 0.96563219 0.96031107
 0.95554661 0.95127611 0.94744476 0.94400452 0.94091311 0.93813329
 0.93563213 0.93338044 0.93135235 0.92952484 0.92787741 0.92639178
 0.92505162 0.92384233 0.92275084 0.92176543 0.92087562 0.92007196
 0.91934599]",1.01,yes
39,024304.68+000005.4,"Spectra(plate='7822', mjd='57041', fiber='0529')","Spectra(plate='3651', mjd='55247', fiber='0320')",12.946732,13.964763,2.8863406,2.8650577,0.93,1.58,0.7776,0.7938,"[8.17127892 4.28975137 3.0002109  2.35865114 1.9762658  1.7234487
 1.54465097 1.41209533 1.31034756 1.23014509 1.16559181 1.11275552
 1.06891269 1.03211689 1.00093987 0.97430974 0.95140625 0.93159095
 0.91435949 0.89930812 0.88610985 0.87449703 0.86424856 0.8551802
 0.84713726 0.83998899 0.83362414 0.82794754 0.82287736 0.81834289
 0.81428279 0.81064362 0.80737868 0.80444703 0.80181264 0.79944378
 0.79731237 0.79539357 0.7936653  0.79210796 0.79070408 0.78943808
 0.78829604 0.78726553 0.7863354  0.78549567 0.7847374  0.78405255
 0.78343391]","[8.3415139  4.37912119 3.0627153  2.40778971 2.017438   1.75935388
 1.5768312  1.44151399 1.33764647 1.25577311 1.18987497 1.13593793
 1.09118171 1.05361933 1.02179279 0.99460786 0.97122721 0.95099909
 0.93340864 0.9180437  0.90457047 0.89271572 0.88225374 0.87299645
 0.86478595 0.85748876 0.85099131 0.84519645 0.84002064 0.8353917
 0.83124702 0.82753203 0.82419907 0.82120634 0.81851707 0.81609886
 0.81392305 0.81196427 0.8102     0.80861021 0.80717708 0.80588471
 0.80471888 0.80366689 0.80271738 0.80186017 0.8010861  0.80038698
 0.79975545]",1.02,yes
40,024914.90-005824.8,"Spectra(plate='9311', mjd='57743', fiber='0839')","Spectra(plate='4241', mjd='55450', fiber='0248')",4.169499,2.758366,1.7873838,1.7868463,0.66,0.43,0.5707,0.3511,"[5.99710504 3.14835533 2.20192948 1.7310728  1.45043067 1.26488191
 1.13365781 1.03637192 0.9616967  0.90283411 0.85545685 0.81667898
 0.78450164 0.75749628 0.73461469 0.71507018 0.69826073 0.68371779
 0.67107119 0.66002462 0.65033808 0.64181515 0.63429354 0.62763804
 0.62173513 0.61648883 0.61181751 0.60765131 0.60393018 0.60060222
 0.59762241 0.59495154 0.59255532 0.5904037  0.58847026 0.58673169
 0.5851674  0.58375914 0.58249073 0.58134776 0.58031741 0.57938826
 0.57855009 0.57779377 0.57711113 0.57649483 0.57593832 0.57543569
 0.57498165]","[3.68947535 1.93689777 1.3546477  1.06497224 0.89231857 0.77816723
 0.69743693 0.63758574 0.59164484 0.55543202 0.52628509 0.50242858
 0.48263278 0.46601883 0.45194186 0.43991789 0.42957656 0.42062961
 0.4128493  0.40605334 0.40009409 0.39485071 0.39022334 0.38612882
 0.38249729 0.37926972 0.37639588 0.3738328  0.37154352 0.36949613
 0.36766292 0.36601977 0.3645456  0.3632219  0.36203243 0.36096285
 0.36000048 0.35913411 0.35835377 0.3576506  0.35701672 0.3564451
 0.35592945 0.35546415 0.35504418 0.35466503 0.35432266 0.35401344
 0.35373411]",0.62,yes
41,024914.90-005824.8,"Spectra(plate='9311', mjd='57743', fiber='0839')","Spectra(plate='4241', mjd='55450', fiber='0248')",4.169499,3.6436014,1.6913526,1.7247034,0.87,0.76,0.5899,0.5307,"[6.19886501 3.25427512 2.27600876 1.7893111  1.49922736 1.3074362
 1.17179734 1.07123847 0.99405096 0.93320806 0.88423689 0.84415443
 0.81089454 0.78298065 0.75932926 0.73912721 0.72175224 0.70672004
 0.69364797 0.68222976 0.67221733 0.66340766 0.65563301 0.6487536
 0.6426521  0.6372293  0.63240082 0.62809446 0.62424814 0.62080822
 0.61772816 0.61496743 0.61249059 0.61026659 0.60826811 0.60647105
 0.60485413 0.60339849 0.6020874  0.60090598 0.59984097 0.59888056
 0.59801419 0.59723243 0.59652681 0.59588979 0.59531455 0.59479501
 0.5943257 ]","[5.57677176 2.92768911 2.04759764 1.60974301 1.34877091 1.17622714
 1.05420045 0.96373327 0.89429199 0.83955504 0.79549842 0.75943847
 0.72951642 0.70440385 0.68312602 0.66495137 0.64932008 0.63579645
 0.62403624 0.61376391 0.6047563  0.59683073 0.58983631 0.58364729
 0.57815811 0.57327952 0.56893561 0.56506142 0.5616011  0.5585064
 0.55573544 0.55325176 0.55102349 0.54902268 0.54722476 0.54560804
 0.54415339 0.54284384 0.54166432 0.54060146 0.53964333 0.53877931
 0.53799988 0.53729657 0.53666177 0.53608868 0.53557117 0.53510377
 0.53468155]",0.9,yes
42,025103.50-075555.9,"Spectra(plate='7058', mjd='56593', fiber='0200')","Spectra(plate='0457', mjd='51901', fiber='0276')",8.529581,8.802967,8.181525,8.135594,0.97,0.08,0.0433,0.073,"[0.45501077 0.23887119 0.16706421 0.1313395  0.11004669 0.09596879
 0.08601259 0.07863134 0.0729656  0.06849959 0.064905   0.06196285
 0.0595215  0.05747256 0.05573649 0.05425362 0.05297825 0.05187486
 0.05091534 0.05007721 0.04934228 0.04869563 0.04812495 0.04761999
 0.04717212 0.04677408 0.04641966 0.04610356 0.04582123 0.04556873
 0.04534265 0.04514001 0.0449582  0.04479495 0.04464826 0.04451635
 0.04439767 0.04429082 0.04419458 0.04410786 0.04402969 0.04395919
 0.0438956  0.04383822 0.04378642 0.04373966 0.04369744 0.04365931
 0.04362486]","[0.76710823 0.40271586 0.2816556  0.22142687 0.18552907 0.16179495
 0.14500967 0.13256553 0.1230136  0.1154843  0.10942413 0.10446393
 0.10034803 0.09689369 0.09396683 0.09146684 0.08931669 0.08745645
 0.08583879 0.08442579 0.08318675 0.08209656 0.08113445 0.08028312
 0.07952806 0.07885699 0.07825947 0.07772656 0.07725058 0.07682489
 0.07644373 0.07610209 0.07579558 0.07552036 0.07527305 0.07505066
 0.07485057 0.07467044 0.07450819 0.07436199 0.07423019 0.07411134
 0.07400413 0.07390739 0.07382007 0.07374123 0.07367005 0.07360576
 0.07354768]",1.69,yes
43,025329.82-044421.7,"Spectra(plate='7056', mjd='56577', fiber='0628')","Spectra(plate='7054', mjd='56575', fiber='0232')",4.759516,3.5204625,3.2339382,3.1520207,0.74,0.1,0.3298,0.0939,"[3.46564788 1.81939301 1.27246599 1.00036413 0.83818475 0.73095857
 0.65512589 0.59890566 0.55575183 0.52173592 0.49435723 0.47194801
 0.45335315 0.43774711 0.42452414 0.41322962 0.40351566 0.39511149
 0.38780319 0.38141952 0.37582179 0.3708965  0.36654987 0.36270374
 0.35929253 0.35626076 0.35356127 0.35115368 0.34900328 0.3470801
 0.34535811 0.34381464 0.3424299  0.34118651 0.3400692  0.3390645
 0.33816052 0.33734671 0.3366137  0.3359532  0.33535778 0.33482083
 0.33433646 0.3338994  0.3335049  0.33314876 0.33282716 0.33253669
 0.33227431]","[0.98673237 0.51801396 0.36229399 0.28482169 0.23864629 0.20811707
 0.18652614 0.17051923 0.15823256 0.14854761 0.14075241 0.1343721
 0.12907781 0.12463449 0.12086967 0.11765392 0.11488818 0.11249536
 0.11041455 0.10859701 0.10700323 0.10560091 0.10436335 0.10326829
 0.10229705 0.10143386 0.10066526 0.09997978 0.09936752 0.09881996
 0.09832967 0.09789022 0.09749596 0.09714194 0.09682383 0.09653777
 0.09628039 0.09604868 0.09583998 0.09565193 0.0954824  0.09532952
 0.09519161 0.09506717 0.09495485 0.09485345 0.09476189 0.09467919
 0.09460448]",0.28,yes
44,025625.62-011911.6,"Spectra(plate='9372', mjd='58074', fiber='0211')","Spectra(plate='7820', mjd='56984', fiber='0250')",9.907515,8.044837,6.335659,6.0616717,0.81,0.26,0.3742,0.2293,"[3.93221781 2.06433251 1.44377433 1.1350402  0.95102709 0.82936536
 0.74332355 0.67953456 0.63057106 0.59197568 0.56091108 0.53548498
 0.51438674 0.49667971 0.48167657 0.46886151 0.45783979 0.44830418
 0.44001199 0.4327689  0.42641757 0.42082921 0.41589739 0.41153347
 0.40766302 0.4042231  0.40116018 0.39842846 0.39598857 0.39380647
 0.39185265 0.39010139 0.38853023 0.38711944 0.38585171 0.38471176
 0.38368607 0.3827627  0.38193101 0.38118158 0.380506   0.37989677
 0.37934719 0.37885129 0.37840369 0.37799959 0.37763469 0.37730513
 0.37700742]","[2.40956051 1.26496912 0.88470725 0.69552303 0.58276459 0.50821346
 0.45548928 0.41640105 0.3863975  0.36274726 0.34371168 0.32813123
 0.31520278 0.30435237 0.29515884 0.2873061  0.28055228 0.27470911
 0.26962787 0.2651895  0.26129757 0.25787316 0.25485107 0.25217698
 0.24980526 0.24769737 0.24582049 0.24414657 0.24265146 0.24131433
 0.24011708 0.23904396 0.23808119 0.2372167  0.23643987 0.23574133
 0.23511282 0.234547   0.23403736 0.23357813 0.23316415 0.23279083
 0.23245407 0.23215019 0.23187591 0.23162829 0.23140469 0.23120274
 0.23102031]",0.61,yes
45,025630.38-021844.1,"Spectra(plate='9312', mjd='57784', fiber='0818')","Spectra(plate='7823', mjd='56978', fiber='0938')",10.393228,8.452457,2.508594,2.4419127,0.81,1.23,0.7623,0.7078,"[8.01050144 4.20534654 2.94117897 2.3122425  1.93738094 1.68953825
 1.51425853 1.38431105 1.28456526 1.20594084 1.14265771 1.09086103
 1.04788085 1.01180904 0.98124546 0.9551393  0.93268645 0.91326103
 0.89636862 0.8816134  0.86867482 0.85729049 0.84724367 0.83835373
 0.83046905 0.82346143 0.81722181 0.81165691 0.80668649 0.80224124
 0.79826102 0.79469346 0.79149276 0.78861879 0.78603624 0.78371398
 0.78162451 0.77974346 0.7780492  0.77652251 0.77514625 0.77390515
 0.77278559 0.77177535 0.77086352 0.77004032 0.76929697 0.76862559
 0.76801912]","[7.43779735 3.90468881 2.73090185 2.14693066 1.79886951 1.56874613
 1.40599789 1.28534089 1.19272634 1.11972311 1.06096435 1.01287083
 0.97296348 0.9394706  0.91109213 0.88685241 0.86600481 0.8479682
 0.83228349 0.81858319 0.80656964 0.79599923 0.78667069 0.77841634
 0.77109536 0.76458874 0.75879522 0.75362818 0.74901311 0.74488567
 0.74119002 0.73787751 0.73490565 0.73223715 0.72983924 0.72768301
 0.72574292 0.72399636 0.72242323 0.72100568 0.71972782 0.71857545
 0.71753593 0.71659792 0.71575128 0.71498693 0.71429673 0.71367335
 0.71311023]",0.93,yes
46,075830.75+430146.8,"Spectra(plate='6376', mjd='56269', fiber='0091')","Spectra(plate='3676', mjd='55186', fiber='0060')",3.7643218,4.008021,2.8799107,2.8761852,0.94,0.33,0.2349,0.2814,"[2.46840717 1.29586239 0.90631371 0.7125092  0.59699696 0.52062513
 0.46661331 0.42657047 0.39583416 0.37160633 0.35210586 0.3361449
 0.32290071 0.31178531 0.30236725 0.29432274 0.28740397 0.2814181
 0.27621276 0.27166599 0.26767902 0.26417098 0.26107509 0.25833568
 0.25590605 0.25374667 0.25182396 0.25010915 0.24857754 0.24720775
 0.24598126 0.24488193 0.24389564 0.24301004 0.24221424 0.24149864
 0.24085478 0.24027514 0.23975306 0.23928261 0.23885852 0.23847609
 0.2381311  0.23781979 0.23753882 0.23728515 0.23705609 0.23684921
 0.23666233]","[2.95704461 1.55238688 1.08572447 0.85355508 0.71517643 0.6236863
 0.55898249 0.51101289 0.47419213 0.44516825 0.42180753 0.40268699
 0.38682103 0.37350526 0.36222284 0.35258586 0.34429748 0.33712666
 0.33089089 0.32544406 0.32066784 0.31646536 0.31275662 0.30947493
 0.30656433 0.3039775  0.30167417 0.29961991 0.29778509 0.29614415
 0.29467487 0.29335792 0.29217639 0.29111548 0.29016214 0.28930489
 0.28853357 0.28783918 0.28721376 0.28665018 0.28614214 0.285684
 0.28527071 0.28489779 0.28456119 0.28425731 0.2839829  0.28373507
 0.28351119]",1.2,yes
47,080621.45+191441.0,"Spectra(plate='4487', mjd='55866', fiber='0852')","Spectra(plate='1923', mjd='53319', fiber='0563')",4.6053705,6.652309,2.846898,2.9017608,0.69,0.84,0.3746,0.5671,"[3.93642115 2.06653918 1.44531765 1.1362535  0.95204368 0.83025191
 0.74411813 0.68026095 0.63124511 0.59260847 0.56151066 0.53605738
 0.51493659 0.49721063 0.48219146 0.46936269 0.45832919 0.4487834
 0.44048233 0.43323151 0.42687339 0.42127905 0.41634196 0.41197338
 0.40809879 0.40465519 0.40158899 0.39885436 0.39641186 0.39422743
 0.39227152 0.39051839 0.38894554 0.38753325 0.38626417 0.38512299
 0.38409621 0.38317185 0.38233928 0.38158905 0.38091274 0.38030286
 0.3797527  0.37925626 0.37880818 0.37840365 0.37803836 0.37770844
 0.37741042]","[5.95927505 3.12849537 2.18803961 1.72015312 1.44128129 1.25690298
 1.12650664 1.02983444 0.95563028 0.89713899 0.85006059 0.81152734
 0.77955297 0.75271796 0.72998071 0.71055949 0.69385607 0.67940487
 0.66683805 0.65586116 0.64623572 0.63776655 0.63029239 0.62367887
 0.6178132  0.61259999 0.60795814 0.60381822 0.60012057 0.5968136
 0.59385259 0.59119856 0.58881745 0.58667941 0.58475817 0.58303057
 0.58147614 0.58007676 0.57881635 0.57768059 0.57665675 0.57573346
 0.57490057 0.57414902 0.57347068 0.57285828 0.57230528 0.57180582
 0.57135464]",1.51,yes
48,080931.57+471824.6,"Spectra(plate='7378', mjd='56715', fiber='0444')","Spectra(plate='0438', mjd='51884', fiber='0598')",8.263742,11.742729,0.6955065,0.6933102,0.7,2.83,0.9165,0.9412,"[9.63088623 5.05601483 3.5361282  2.77996884 2.32927933 2.03130239
 1.82056664 1.66433304 1.54441042 1.44988165 1.37379744 1.3115232
 1.25984887 1.21648036 1.1797343  1.14834733 1.12135265 1.09799782
 1.07768836 1.05994842 1.04439259 1.03070542 1.01862629 1.00793808
 0.99845846 0.99003332 0.98253154 0.97584095 0.9698651  0.96452066
 0.95973531 0.95544609 0.95159795 0.94814262 0.94503766 0.94224566
 0.93973353 0.93747197 0.93543499 0.93359947 0.93194482 0.93045267
 0.92910664 0.92789205 0.92679577 0.92580605 0.92491233 0.92410515
 0.923376  ]","[9.89044203 5.19227622 3.63142811 2.85488999 2.39205423 2.08604671
 1.86963155 1.70918741 1.58603283 1.48895648 1.41082177 1.34686921
 1.29380225 1.24926494 1.21152856 1.17929569 1.15157351 1.12758925
 1.10673244 1.08851441 1.07253934 1.05848329 1.04607863 1.03510237
 1.02536727 1.01671507 1.00901111 1.00214021 0.99600331 0.99051483
 0.98560052 0.9811957  0.97724385 0.9736954  0.97050676 0.96763951
 0.96505968 0.96273717 0.9606453  0.95876031 0.95706106 0.9555287
 0.95414639 0.95289907 0.95177325 0.95075685 0.94983905 0.94901011
 0.94826131]",1.03,yes
49,080931.57+471824.6,"Spectra(plate='7378', mjd='56715', fiber='0444')","Spectra(plate='0438', mjd='51884', fiber='0598')",8.263742,8.368977,0.6955065,0.5598004,0.99,2.59,0.9238,0.9247,"[9.70759705 5.09628641 3.56429376 2.80211153 2.34783223 2.04748188
 1.8350676  1.67758959 1.55671178 1.46143008 1.38473986 1.32196959
 1.26988367 1.22616973 1.18913099 1.15749401 1.13028432 1.10674346
 1.08627224 1.068391   1.05271126 1.03891507 1.02673974 1.01596639
 1.00641127 0.99791902 0.99035748 0.9836136  0.97759016 0.97220314
 0.96737968 0.9630563  0.9591775  0.95569466 0.95256497 0.94975073
 0.94721858 0.94493902 0.94288581 0.94103567 0.93936784 0.93786381
 0.93650705 0.93528278 0.93417778 0.93318017 0.93227934 0.93146573
 0.93073076]","[9.71705455 5.1012514  3.56776623 2.80484145 2.35011958 2.04947661
 1.83685539 1.67922396 1.55822838 1.46285386 1.38608892 1.3232575
 1.27112084 1.22736431 1.19028948 1.15862168 1.13138549 1.10782169
 1.08733053 1.06943186 1.05373685 1.03992722 1.02774003 1.01695618
 1.00739175 0.99889123 0.99132233 0.98457188 0.97854256 0.9731503
 0.96832214 0.96399454 0.96011197 0.95662573 0.95349299 0.95067601
 0.9481414  0.94585961 0.94380441 0.94195246 0.94028301 0.93877751
 0.93741943 0.93619397 0.93508789 0.93408931 0.9331876  0.9323732
 0.93163752]",1.0,yes
50,081822.63+434633.8,"Spectra(plate='8278', mjd='56990', fiber='0076')","Spectra(plate='8279', mjd='57063', fiber='0494')",10.836155,9.509502,7.1573973,6.935233,0.88,0.3,0.3494,0.2586,"[3.67161118 1.92751945 1.34808859 1.05981573 0.88799803 0.7743994
 0.69405999 0.6344986  0.58878014 0.55274266 0.52373685 0.49999586
 0.4802959  0.4637624  0.44975359 0.43778784 0.42749658 0.41859295
 0.41085031 0.40408726 0.39815687 0.39293887 0.38833391 0.38425921
 0.38064527 0.37743332 0.3745734  0.37202273 0.36974453 0.36770706
 0.36588272 0.36424753 0.36278049 0.36146321 0.3602795  0.35921509
 0.35825739 0.35739521 0.35661864 0.35591888 0.35528807 0.35471922
 0.35420607 0.35374302 0.35332509 0.35294777 0.35260706 0.35229933
 0.35202136]","[2.71745464 1.42660713 0.99775532 0.7843971  0.65723037 0.57315308
 0.5136918  0.46960886 0.43577145 0.40909918 0.38763123 0.3700599
 0.35547945 0.34324258 0.33287429 0.32401813 0.31640131 0.3098115
 0.30408097 0.29907546 0.29468622 0.29082424 0.287416   0.2844002
 0.28172543 0.27934819 0.27723148 0.27534367 0.27365752 0.27214953
 0.27079929 0.26958904 0.26850325 0.26752829 0.2666522  0.26586441
 0.26515558 0.26451746 0.2639427  0.26342479 0.26295792 0.26253689
 0.26215709 0.26181438 0.26150506 0.2612258  0.26097363 0.26074587
 0.26054013]",0.74,yes
51,081941.18+285904.2,"Spectra(plate='10657', mjd='58157', fiber='0566')","Spectra(plate='1207', mjd='52672', fiber='0268')",13.250235,15.486765,6.226036,6.2718377,0.86,0.91,0.5283,0.5964,"[5.55155177 2.91444914 2.03833773 1.60246322 1.34267132 1.17090786
 1.04943301 0.95937495 0.89024771 0.83575829 0.79190092 0.75600404
 0.7262173  0.70121831 0.6800367  0.66194424 0.64638364 0.63292116
 0.62121414 0.61098827 0.60202139 0.59413166 0.58716887 0.58100784
 0.57554349 0.57068696 0.5663627  0.56250603 0.55906136 0.55598065
 0.55322222 0.55074977 0.54853158 0.54653982 0.54475003 0.54314062
 0.54169255 0.54038892 0.53921474 0.53815668 0.53720289 0.53634277
 0.53556687 0.53486674 0.53423481 0.53366431 0.53314914 0.53268385
 0.53226354]","[6.26716917 3.29013338 2.30108768 1.80902719 1.51574707 1.3218426
 1.18470916 1.08304225 1.00500423 0.94349091 0.89398014 0.85345601
 0.81982964 0.79160817 0.76769617 0.74727152 0.7297051  0.71450725
 0.70129115 0.68974712 0.67962437 0.67071763 0.66285731 0.6559021
 0.64973336 0.64425081 0.63936913 0.63501532 0.63112662 0.62764879
 0.62453479 0.62174364 0.61923951 0.61699101 0.6149705  0.61315364
 0.6115189  0.61004723 0.60872169 0.60752725 0.60645051 0.60547951
 0.6046036  0.60381322 0.60309983 0.60245579 0.60187421 0.60134895
 0.60087446]",1.13,yes
52,082035.23+361442.6,"Spectra(plate='8857', mjd='57449', fiber='0410')","Spectra(plate='0826', mjd='52295', fiber='0407')",10.614393,7.942075,6.9714975,7.2080054,0.75,0.11,0.332,0.1073,"[3.48876621 1.83152965 1.28095424 1.00703727 0.84377604 0.73583458
 0.65949604 0.60290079 0.55945909 0.52521627 0.49765494 0.47509624
 0.45637733 0.44066719 0.42735602 0.41598616 0.4062074  0.39774716
 0.39039011 0.38396386 0.37832879 0.37337065 0.36899501 0.36512323
 0.36168926 0.35863727 0.35591977 0.35349612 0.35133138 0.34939537
 0.34766189 0.34610813 0.34471415 0.34346247 0.3423377  0.34132631
 0.34041629 0.33959705 0.33885916 0.33819424 0.33759485 0.33705432
 0.33656673 0.33612674 0.33572962 0.3353711  0.33504735 0.33475495
 0.33449081]","[1.12754402 0.59193714 0.41399515 0.32546717 0.27270232 0.23781642
 0.21314435 0.19485318 0.18081313 0.1697461  0.16083848 0.15354767
 0.14749785 0.14242045 0.13811838 0.13444372 0.13128329 0.12854901
 0.12617126 0.12409434 0.12227313 0.12067069 0.11925652 0.11800519
 0.11689536 0.11590897 0.1150307  0.11424739 0.11354776 0.11292206
 0.11236181 0.11185965 0.11140912 0.11100459 0.11064107 0.11031419
 0.11002008 0.10975531 0.10951683 0.10930193 0.10910822 0.10893352
 0.10877593 0.10863373 0.10850539 0.10838951 0.10828488 0.10819038
 0.10810501]",0.32,yes
53,082625.22+261252.7,"Spectra(plate='4461', mjd='55888', fiber='0929')","Spectra(plate='1586', mjd='52945', fiber='0379')",13.779378,19.915981,5.0057526,4.8148127,0.69,1.4,0.6437,0.7535,"[6.76421327 3.55107119 2.48358508 1.95249967 1.63595974 1.42667686
 1.27866748 1.16893746 1.0847103  1.01831841 0.96488098 0.92114291
 0.88484967 0.85438997 0.82858153 0.80653701 0.78757742 0.77117425
 0.75690998 0.74445041 0.73352483 0.7239117  0.71542798 0.70792116
 0.70126319 0.69534582 0.69007698 0.68537787 0.68118076 0.67742711
 0.67406614 0.67105362 0.6683509  0.66592406 0.66374331 0.66178236
 0.66001797 0.65842958 0.65699891 0.65570974 0.6545476  0.6534996
 0.65255422 0.65170116 0.65093119 0.65023607 0.64960837 0.64904145
 0.64852933]","[7.91802812 4.15679997 2.90722597 2.28554994 1.91501579 1.6700342
 1.49677792 1.36833055 1.26973622 1.19201945 1.12946686 1.07826812
 1.0357841  1.0001287  0.96991795 0.94411316 0.9219195  0.90271834
 0.88602093 0.87143604 0.85864682 0.84739392 0.83746308 0.82867577
 0.82088211 0.81395538 0.80778779 0.80228713 0.79737409 0.79298016
 0.78904589 0.78551951 0.78235576 0.77951496 0.77696223 0.77466678
 0.77260143 0.7707421  0.76906739 0.76755832 0.76619795 0.76497118
 0.76386454 0.76286596 0.76196466 0.76115096 0.7604162  0.75975257
 0.7591531 ]",1.17,yes
54,082734.23+582444.5,"Spectra(plate='5152', mjd='56010', fiber='0772')","Spectra(plate='1873', mjd='54437', fiber='0553')",12.933278,11.968327,7.2967978,7.276309,0.93,0.5,0.4363,0.3909,"[4.58478523 2.40691682 1.68337451 1.3234047  1.10885387 0.96700189
 0.86668109 0.79230606 0.73521687 0.69021644 0.65399654 0.62435087
 0.5997513  0.57910571 0.56161274 0.54667096 0.53382015 0.52270207
 0.51303375 0.50458865 0.49718329 0.49066751 0.48491724 0.47982912
 0.47531634 0.47130555 0.46773433 0.46454927 0.46170447 0.45916024
 0.45688218 0.45484029 0.45300838 0.45136348 0.44988536 0.44855623
 0.44736032 0.44628371 0.44531401 0.44444021 0.44365251 0.44294217
 0.44230139 0.44172319 0.4412013  0.44073015 0.44030469 0.43992043
 0.43957332]","[4.10770696 2.15646066 1.50820787 1.18569539 0.99347004 0.86637873
 0.776497   0.7098612  0.65871253 0.61839469 0.58594372 0.55938289
 0.53734307 0.5188458  0.50317309 0.48978611 0.47827251 0.46831134
 0.45964908 0.45208275 0.44544797 0.4396102  0.43445829 0.42989961
 0.42585642 0.42226298 0.41906337 0.41620974 0.41366096 0.41138148
 0.40934046 0.40751105 0.40586976 0.40439602 0.40307171 0.40188088
 0.40080942 0.39984484 0.39897604 0.39819316 0.39748743 0.39685101
 0.39627691 0.39575887 0.39529129 0.39486916 0.39448798 0.3941437
 0.39383271]",0.9,yes
55,082804.54+445256.8,"Spectra(plate='8279', mjd='57063', fiber='0827')","Spectra(plate='0548', mjd='51986', fiber='0157')",15.704687,16.664513,4.7604995,4.949761,0.94,1.23,0.6905,0.7084,"[7.25600321 3.80925067 2.66415333 2.09445552 1.75490166 1.53040294
 1.37163258 1.25392468 1.16357381 1.09235492 1.03503234 0.98811431
 0.94918237 0.91650812 0.88882328 0.86517603 0.84483798 0.82724222
 0.81194088 0.79857543 0.78685552 0.77654347 0.76744294 0.75939034
 0.7522483  0.74590072 0.7402488  0.73520805 0.73070579 0.72667923
 0.7230739  0.71984236 0.71694313 0.71433986 0.71200055 0.70989703
 0.70800436 0.70630049 0.70476581 0.70338291 0.70213628 0.70101208
 0.69999796 0.69908288 0.69825693 0.69751127 0.69683793 0.6962298
 0.69568044]","[7.44410235 3.9079988  2.73321683 2.1487506  1.80039441 1.57007595
 1.40718975 1.28643047 1.19373741 1.1206723  1.06186373 1.01372944
 0.97378826 0.94026698 0.91186446 0.8876042  0.86673892 0.84868702
 0.83298902 0.8192771  0.80725336 0.79667399 0.78733755 0.7790762
 0.77174902 0.76523688 0.75943845 0.75426703 0.74964805 0.74551711
 0.74181832 0.73850301 0.73552863 0.73285786 0.73045792 0.72829986
 0.72635813 0.72461009 0.72303562 0.72161687 0.72033793 0.71918459
 0.71814418 0.71720537 0.71635802 0.71559302 0.71490223 0.71427833
 0.71371474]",1.03,yes
56,082804.54+445256.8,"Spectra(plate='8279', mjd='57063', fiber='0827')","Spectra(plate='0548', mjd='51986', fiber='0157')",15.704687,13.830805,2.4103007,2.4103198,0.88,1.75,0.8465,0.8258,"[8.89530299 4.66984894 3.26604749 2.56764171 2.15137474 1.87615654
 1.68151627 1.53721541 1.42645218 1.33914328 1.2688702  1.2113523
 1.16362474 1.12356861 1.08962912 1.0606394  1.03570652 1.01413546
 0.99537719 0.97899218 0.96462447 0.95198269 0.94082614 0.93095427
 0.92219868 0.91441702 0.90748821 0.90130863 0.89578921 0.89085296
 0.8864331  0.88247148 0.87891725 0.87572583 0.87285803 0.87027927
 0.86795901 0.86587018 0.86398878 0.86229346 0.86076518 0.859387
 0.85814377 0.85702195 0.85600941 0.85509528 0.85426982 0.85352429
 0.85285082]","[8.67778052 4.55565417 3.18618077 2.50485354 2.09876581 1.8302777
 1.64039708 1.49962491 1.39157024 1.30639636 1.23784171 1.18173034
 1.13516988 1.09609327 1.06298373 1.03470292 1.01037973 0.98933617
 0.9710366  0.95505227 0.94103589 0.92870325 0.91781952 0.90818905
 0.89964757 0.89205621 0.88529683 0.87926836 0.87388391 0.86906837
 0.86475659 0.86089185 0.85742453 0.85431116 0.85151348 0.84899778
 0.84673426 0.84469651 0.84286112 0.84120725 0.83971635 0.83837187
 0.83715904 0.83606465 0.83507687 0.83418509 0.83337982 0.83265252
 0.83199552]",0.98,yes
