Spec File Name,mjd,plate,fiber,HeII EW,CIV Distance
spec-3655-55240-0388norm.dr,55240,3655,388,1.133875956,0.6147956338
spec-3766-55213-0046norm.dr,55213,3766,46,1.660090768,0.6231893513
spec-3808-55513-0892norm.dr,55513,3808,892,-999.0,1.319700537
spec-3815-55537-0910norm.dr,55537,3815,910,1.031165367,0.6302345884
spec-3826-55563-0860norm.dr,55563,3826,860,0.06542797604,0.7647105638
spec-3844-55321-0920norm.dr,55321,3844,920,0.02282897945,1.180927111
spec-3861-55274-0582norm.dr,55274,3861,582,0.3686978413,0.87914084
spec-3957-55664-0568norm.dr,55664,3957,568,-999.0,1.122059839
spec-4046-55605-0085norm.dr,55605,4046,85,0.08260076329,0.904084007
spec-4060-55359-0940norm.dr,55359,4060,940,0.901422859,0.6072813383
spec-4181-55685-0543norm.dr,55685,4181,543,0.05578537477,0.8511201902
spec-4202-55445-0258norm.dr,55445,4202,258,1.647408483,0.618887328
spec-4216-55477-0166norm.dr,55477,4216,166,-999.0,0.9772064438
spec-4217-55478-0020norm.dr,55478,4217,20,0.1238813722,0.9354569778
spec-4456-55537-0704norm.dr,55537,4456,704,0.4322432526,0.8414332398
spec-4498-55615-0502norm.dr,55615,4498,502,0.3382787496,0.7452983547
spec-4506-55568-0824norm.dr,55568,4506,824,0.006292396827,1.10979654
spec-4511-55602-0415norm.dr,55602,4511,415,0.1635669153,0.9092023414
spec-4567-55589-0454norm.dr,55589,4567,454,0.007873060291,1.155163393
spec-4570-55623-0296norm.dr,55623,4570,296,1.161728763,0.6579492743
spec-4571-55629-0730norm.dr,55629,4571,730,0.007426201267,1.069182648
spec-4573-55587-0698norm.dr,55587,4573,698,0.01336231899,0.9634530162
spec-4622-55629-0678norm.dr,55629,4622,678,0.003757900745,1.228740053
spec-4708-55704-0418norm.dr,55704,4708,418,-999.0,1.119054024
spec-4741-55704-0786norm.dr,55704,4741,786,0.1290410551,0.8227661911
spec-4743-55645-0118norm.dr,55645,4743,118,0.3637857091,0.8367588947
spec-4772-55654-0106norm.dr,55654,4772,106,0.2107521006,0.8234926769
spec-4776-55652-0216norm.dr,55652,4776,216,1.097244108,0.6439992967
spec-4840-55690-0576norm.dr,55690,4840,576,0.02269038874,0.9216693192
spec-4858-55686-0392norm.dr,55686,4858,392,1.50245073,0.6763912932
spec-4998-55722-0306norm.dr,55722,4998,306,0.01037943985,1.139859685
spec-4419-55867-0178norm.dr,55867,4419,178,0.102600544,0.754830495
spec-4538-55860-0660norm.dr,55860,4538,660,0.07270201,0.774615135
spec-4663-55893-0248norm.dr,55893,4663,248,-999.0,0.753987159
spec-4663-55893-0854norm.dr,55893,4663,854,0.06049445,0.866828617
spec-5039-56220-0625norm.dr,56220,5039,625,0.026129214,1.06556339
spec-5179-55957-0836norm.dr,55957,5179,836,-999.0,1.220924762
spec-5187-56074-0092norm.dr,56074,5187,92,0.0,1.280980671
spec-5212-56016-0348norm.dr,56016,5212,348,0.013943411,0.747762952
spec-5288-55865-0958norm.dr,55865,5288,958,0.157632026,0.748408034
spec-5320-55999-0336norm.dr,55999,5320,336,0.003317855,0.916337177
spec-5338-56002-0157norm.dr,56002,5338,157,-999.0,1.308438197
spec-5356-55979-0586norm.dr,55979,5356,586,0.455452757,0.693570249
spec-5372-55978-0916norm.dr,55978,5372,916,0.0,1.223896356
spec-5372-55978-0742norm.dr,55978,5372,742,0.007326399,0.962996598
spec-5374-55947-0608norm.dr,55947,5374,608,0.518154063,0.851864648
spec-5391-56000-0254norm.dr,56000,5391,254,0.266082524,0.991077929
spec-5394-56001-0990norm.dr,56001,5394,990,0.600454989,0.682813164
spec-5415-55982-0013norm.dr,55982,5415,13,0.007716328,1.014138911
spec-5427-56001-0204norm.dr,56001,5427,204,0.12958402,0.74923574
spec-5430-56000-0964norm.dr,56000,5430,964,0.004894483,1.213792937
spec-5454-56015-0104norm.dr,56015,5454,104,0.011667812,0.950625906
spec-5465-55988-0798norm.dr,55988,5465,798,0.03797062,0.867626381
spec-5476-55986-0599norm.dr,55986,5476,599,0.8586901,0.69084581
spec-5483-56017-0061norm.dr,56017,5483,61,-999.0,1.16045283
spec-5486-56030-0078norm.dr,56030,5486,78,0.181985006,0.760641857
spec-5494-55857-0549norm.dr,55857,5494,549,0.334454553,0.717410944
spec-5712-56602-0074norm.dr,56602,5712,74,0.160921842,0.763728665
spec-5778-56328-0973norm.dr,56328,5778,973,0.002580008,1.12336734
spec-5807-56329-0778norm.dr,56329,5807,778,0.119187308,1.084760629
spec-5809-56353-0704norm.dr,56353,5809,704,1.228335467,0.608004545
spec-5868-56045-0372norm.dr,56045,5868,372,0.146900405,0.890839665
spec-5896-56047-0658norm.dr,56047,5896,658,0.136561793,0.794892817
spec-5998-56087-0294norm.dr,56087,5998,294,0.761308714,0.63881208
spec-6045-56072-0455norm.dr,56072,6045,455,0.464603704,0.834566352
spec-6138-56598-0754norm.dr,56598,6138,754,0.674321206,0.742700973
spec-6142-56219-0893norm.dr,56219,6142,893,0.356041658,0.747737179
spec-6182-56190-0657norm.dr,56190,6182,657,1.821996818,0.556493036
spec-6199-56220-0264norm.dr,56220,6199,264,0.171794406,0.828537097
spec-6257-56274-0490norm.dr,56274,6257,490,1.457085822,0.629435763
spec-6313-56460-0295norm.dr,56460,6313,295,0.631124191,0.705693345
spec-6402-56334-0966norm.dr,56334,6402,966,0.132264851,0.810785202
spec-6405-56342-0814norm.dr,56342,6405,814,0.049610721,1.096089302
spec-6412-56358-0454norm.dr,56358,6412,454,0.69237219,0.750455551
spec-6433-56339-0278norm.dr,56339,6433,278,0.203145423,0.728266213
spec-6442-56369-0246norm.dr,56369,6442,246,0.009050666,1.151389469
spec-6456-56339-0894norm.dr,56339,6456,894,0.0228339,1.041607874
spec-6621-56366-0502norm.dr,56366,6621,502,1.159252409,0.745887039
spec-6640-56385-0896norm.dr,56385,6640,896,0.012664007,1.253671725
spec-6670-56389-0168norm.dr,56389,6670,168,0.194207403,0.857990513
spec-6674-56416-0693norm.dr,56416,6674,693,0.0,1.2159622
spec-6674-56416-0964norm.dr,56416,6674,964,0.137232073,0.935408655
spec-6727-56369-0773norm.dr,56369,6727,773,0.0,1.101769755
spec-6729-56419-0322norm.dr,56419,6729,322,0.006809356,1.040319672
spec-6754-56414-0240norm.dr,56414,6754,240,0.099411487,0.805017015
spec-6754-56414-0561norm.dr,56414,6754,561,0.117564014,0.865824879
spec-6806-56419-0302norm.dr,56419,6806,302,0.020031465,1.162473514
spec-6983-56447-0896norm.dr,56447,6983,896,0.083846012,0.755861603
spec-7083-56722-0348norm.dr,56722,7083,348,0.0,1.19138712
spec-7089-56661-0060norm.dr,56661,7089,60,0.692021007,0.714617752
spec-7098-56661-0163norm.dr,56661,7098,163,-999.0,1.131152916
spec-7148-56591-0664norm.dr,56591,7148,664,1.112046613,0.623246985
spec-7391-56781-0721norm.dr,56781,7391,721,-999.0,1.056874803
spec-7597-56973-0699norm.dr,56973,7597,699,0.0,1.256435307
spec-7622-56987-0113norm.dr,56987,7622,113,0.07461632,0.873764695
spec-7673-57329-0103norm.dr,57329,7673,103,0.012409,1.276493564
spec-7694-57359-0006norm.dr,57359,7694,6,-999.0,1.052088541
spec-7861-57281-0472norm.dr,57281,7861,472,0.204897039,0.931312022
spec-8381-57512-0320norm.dr,57512,8381,320,0.062464368,1.213792937
