norm_spectra,mjd,plate,fiber,HeII EW,CIV Distance,vmin,vmax,zem,save_file_name
spec-6640-56385-0896norm.dr,56385,6640,896,0.012664007,1.253671725,-34752.88289,-45732.91221,2.548523,spec_below_49
spec-6670-56389-0168norm.dr,56389,6670,168,0.194207403,0.857990513,-30867.57694,-34618.91843,2.86073,spec_below_50
spec-6674-56416-0964norm.dr,56416,6674,964,0.137232073,0.935408655,-35671.57013,-40290.12036,2.29575,spec_below_51
spec-6729-56419-0322norm.dr,56419,6729,322,0.006809356,1.040319672,-36118.11684,-42427.50537,2.397007,spec_below_52
spec-6754-56414-0240norm.dr,56414,6754,240,0.099411487,0.805017015,-39737.01677,-49322.19269,2.40079,spec_below_53
spec-6754-56414-0561norm.dr,56414,6754,561,0.117564014,0.865824879,-37282.94425,-42098.11282,2.81219,spec_below_54
spec-6806-56419-0302norm.dr,56419,6806,302,0.020031465,1.162473514,-43521.45824,-51328.03256,2.359638,spec_below_55
spec-6983-56447-0896norm.dr,56447,6983,896,0.083846012,0.755861603,-40357.70021,-46978.75456,3.04361,spec_below_56
spec-7622-56987-0113norm.dr,56987,7622,113,0.07461632,0.873764695,-41918.87857,-46914.66435,3.45632,spec_below_57
spec-7673-57329-0103norm.dr,57329,7673,103,0.012409,1.276493564,-35433.08026,-53519.71089,2.21518,spec_below_58
spec-7861-57281-0472norm.dr,57281,7861,472,0.204897039,0.931312022,-33308.39392,-37936.13229,2.09567,spec_below_59
spec-8381-57512-0320norm.dr,57512,8381,320,0.062464368,1.213792937,-29953.32707,-43414.12085,2.98405,spec_below_60
