SPECTRA INDEX,SPECTRA FILE NAME,CHI SQUARED
1,spec-7585-57190-0598-dered.dr16,124.53155335330044
2,spec-5419-55983-0924-dered.dr16,35.56470225393405
3,spec-9204-57712-0327-dered.dr16,26.576684843959168
4,spec-4980-56048-0282-dered.dr16,17.52185456223802
5,spec-4538-55860-0660-dered.dr16,2.3954252796323936
6,spec-4663-55893-0248-dered.dr16,16.146295402038792
7,spec-6318-56186-0342-dered.dr16,6.684064293029832
8,spec-5973-56067-0132-dered.dr16,11.330641700814642
9,spec-5039-56220-0625-dered.dr16,44.35526288974433
10,spec-5486-56030-0078-dered.dr16,20.18462037552188
11,spec-5745-55998-0657-dered.dr16,8.074810629072221
12,spec-5998-56087-0294-dered.dr16,2.605657582210124
13,spec-6640-56385-0896-dered.dr16,51.892657000148425
14,spec-6969-56420-0959-dered.dr16,5.5354597310191185
15,spec-5338-56002-0157-dered.dr16,3.430980059394569
16,spec-7391-56781-0721-dered.dr16,16.257435221051242
17,spec-7701-57356-0794-dered.dr16,89.75573395162381
18,spec-8205-58143-0500-dered.dr16,15.661935457196149
19,spec-7089-56661-0060-dered.dr16,36.933710532971304
20,spec-9624-57814-0461-dered.dr16,47.31575395455938
