ehvo_SDSS_NAME,	ehvo_PLATE,	ehvo_MJD,	ehvo_FIBER,	ehvo_SPEC_NAME,	ehvo_ZEM,	ehvo_SNR
131831.10+502759.6,	6754,	56414,	0240,	spec-6754-56414-0240-dered.dr16,	2.395,	13.84518
132039.58+544247.7,	8205,	58143,	0500,	spec-8205-58143-0500-dered.dr16,	2.690,	15.98601
132241.02+111202.3,	5427,	56001,	0204,	spec-5427-56001-0204-dered.dr16,	2.444,	18.02541
133106.02+103604.2,	5430,	56000,	0964,	spec-5430-56000-0964-dered.dr16,	2.552,	14.76131
133739.05+222129.2,	5998,	56087,	0294,	spec-5998-56087-0294-dered.dr16,	2.545,	12.33379
135402.11+182810.9,	5868,	56045,	0372,	spec-5868-56045-0372-dered.dr16,	3.403,	17.29355
140958.02+220206.0,	5896,	56047,	0658,	spec-5896-56047-0658-dered.dr16,	2.892,	19.92415
141415.41+163915.0,	5454,	56015,	0104,	spec-5454-56015-0104-dered.dr16,	2.0,	15.97827
143212.86+113953.1,	5465,	55988,	0798,	spec-5465-55988-0798-dered.dr16,	3.003,	20.54525
144412.36+582636.9,	6806,	56419,	0302,	spec-6806-56419-0302-dered.dr16,	2.37,	13.58384
144844.69+092834.2,	5476,	55986,	0599,	spec-5476-55986-0599-dered.dr16,	3.159,	12.20843
144911.37+370734.0,	5174,	56047,	0344,	spec-5174-56047-0344-dered.dr16,	3.583,	10.17009
145340.51+625800.3,	6983,	56447,	0896,	spec-6983-56447-0896-dered.dr16,	3.05,	13.24734
150116.10+525556.8,	8396,	57837,	0736,	spec-8396-57837-0736-dered.dr16,	3.851,	14.32041
150953.55+121444.9,	5483,	56017,	0061,	spec-5483-56017-0061-dered.dr16,	2.809,	19.04989
151123.30+495101.2,	6727,	56369,	0773,	spec-6727-56369-0773-dered.dr16,	2.4,	26.10978
151543.98+143444.8,	5486,	56030,	0078,	spec-5486-56030-0078-dered.dr16,	2.419,	13.96658
153734.66+470442.0,	6729,	56419,	0322,	spec-6729-56419-0322-dered.dr16,	2.394,	18.61889
154925.34+461115.7,	8507,	57878,	0108,	spec-8507-57878-0108-dered.dr16,	2.859,	12.48467
