spec-8501-57519-0024-dered.dr16,	2.9539,	10.7387
spec-7598-56956-0927-dered.dr16,	2.979,	10.18895
spec-10249-58229-0530-dered.dr16,	2.9826,	27.13572
spec-8059-57895-0912-dered.dr16,	2.995,	16.08408
spec-5378-56011-0828-dered.dr16,	3.024,	10.30149
spec-4392-55833-0836-dered.dr16,	3.028,	11.00489
spec-5431-56011-0922-dered.dr16,	3.029,	12.07829
spec-5320-55999-0336-dered.dr16,	3.031,	37.88031
spec-6019-56074-0110-dered.dr16,	3.045,	30.44359
spec-6480-56340-0110-dered.dr16,	3.06,	10.53944
spec-5374-55947-0608-dered.dr16,	3.07,	19.99345
spec-8872-57422-0137-dered.dr16,	3.0888,	17.41439
spec-6412-56358-0454-dered.dr16,	3.094,	10.00906
spec-5394-56001-0596-dered.dr16,	3.103,	28.86113
spec-4663-55893-0854-dered.dr16,	3.106,	13.52017
spec-8822-58167-0082-dered.dr16,	3.1227,	16.86233
spec-6402-56334-0966-dered.dr16,	3.128,	18.40741
spec-6829-56453-0704-dered.dr16,	3.136,	12.58665
spec-5396-55947-0156-dered.dr16,	3.14,	25.02634
spec-5476-55986-0599-dered.dr16,	3.159,	12.20843
spec-6048-56072-0804-dered.dr16,	3.164,	17.05296
spec-10915-58257-0144-dered.dr16,	3.1668,	20.32763
spec-6477-56365-0027-dered.dr16,	3.172,	10.10075
spec-9613-57865-0397-dered.dr16,	3.1784,	10.82824
spec-5407-55926-0103-dered.dr16,	3.186,	14.27254
spec-6456-56339-0894-dered.dr16,	3.194,	18.74569
spec-6405-56342-0814-dered.dr16,	3.195,	21.08894
spec-5288-55865-0958-dered.dr16,	3.204,	16.79357
spec-5043-56187-0988-dered.dr16,	3.212,	16.89671
spec-11337-58431-0989-dered.dr16,	3.2511,	17.46751
spec-5308-55976-0928-dered.dr16,	3.274,	10.97736
spec-8213-58193-0900-dered.dr16,	3.2811,	16.53861
spec-7599-56955-0826-dered.dr16,	3.289,	16.46228
spec-7724-58434-0613-dered.dr16,	3.2931,	17.26898
spec-10443-58155-0336-dered.dr16,	3.3136,	14.40491
spec-7589-56946-0450-dered.dr16,	3.3273,	21.81094
spec-7058-56593-0240-dered.dr16,	3.337,	15.28877
spec-8382-57513-0539-dered.dr16,	3.3716,	15.42425
spec-7703-57333-0112-dered.dr16,	3.3786,	25.74941
spec-7759-58401-0944-dered.dr16,	3.3967,	13.11033
spec-5868-56045-0372-dered.dr16,	3.403,	17.29355
spec-5812-56354-0914-dered.dr16,	3.409,	11.5796
spec-9242-58022-0163-dered.dr16,	3.4406,	11.81649
spec-7622-56987-0113-dered.dr16,	3.45,	20.37095
spec-11316-58396-0302-dered.dr16,	3.4572,	47.0181
spec-5956-56104-0146-dered.dr16,	3.477,	10.7015
spec-8522-58193-0728-dered.dr16,	3.4825,	24.59502
spec-8363-58140-0349-dered.dr16,	3.5014,	22.83061
spec-9394-58108-0265-dered.dr16,	3.5283,	31.10234
spec-5174-56047-0344-dered.dr16,	3.583,	10.17009
spec-8379-57787-0544-dered.dr16,	3.6121,	20.78547
spec-6122-56246-0696-dered.dr16,	3.623,	17.13663
spec-5976-56356-0418-dered.dr16,	3.701,	14.42767
spec-5321-55945-0726-dered.dr16,	3.823,	12.00633
spec-8396-57837-0736-dered.dr16,	3.851,	14.32041
spec-7710-58284-0611-dered.dr16,	3.8613,	11.26491
spec-6447-56362-0854-dered.dr16,	4.121,	11.52635
spec-8545-58041-0298-dered.dr16,	4.2303,	10.35578
spec-11321-58425-0150-dered.dr16,	4.3552,	12.47161
spec-7759-58401-0448-dered.dr16,	4.5859,	10.08879
spec-9178-58081-0892-dered.dr16,	4.5883,	12.47232
spec-8857-57449-0066-dered.dr16,	4.6638,	15.85556
spec-7765-58047-0438-dered.dr16,	4.7699,	18.95432
spec-7679-57367-0194-dered.dr16,	4.9283,	12.69534
spec-10249-58229-0050-dered.dr16,	5.0076,	12.39466
spec-11565-58507-0932-dered.dr16,	5.0417,	10.49198
