SDSS name,Spec Files,Redshift (from SDSS),Redshift (from Rankine),Redshift,OG EHVO obs = Rankine Obs,OG EHVO Obs,Tmin (restframe),BI 2000 Limit #s ->,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,VCentral,BI 500 Limit #s ->,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL 500,DEPTH,VCentral,,NV?,SiIV?,NV > CIV?,
J112954.72+080935.5,spec-5374-55947-0608,3.07,3.07967,3.07967,TRUE,1,693.9287,1,228,[228.0],[-32925.78295],[-38845.03544],[885.61],[0.5],[-35846.10555948],5,353.96,353.96,-32925.78295,-38845.03544,885.61,0.5,[-35846.10555948],,TRUE,?,TRUE,Maybe SiIV?
J114851.46+231340.4,spec-2511-53882-0552,3.083,,3.083,FALSE,,599.0693,2,575.74,575.74,-32690.02802,-40780.7092,1440.3,0.31,[-36825.28898426],2,692.1,"6.36, 685.74",-64493.02797,-73129.71953,"72.8, 1440.3","0.18, 0.31",[-32073.47454806 -36825.28898426],,FALSE,FALSE,FALSE,
J114851.46+231340.4,spec-6422-56328-0988,3.083,,3.083,FALSE,1,599.0693,2,1146.72,1146.72,-29959.04622,-40983.90523,2309.45,0.45,[-35159.1808589],2,1299.27,1299.27,-29959.04622,-40983.90523,2309.45,0.45,[-35159.1808589],,FALSE,FALSE,FALSE,
J120105.36+290352.1,spec-2225-53729-0182,3.128,3.13547,3.13547,TRUE,,629.9163,1,0,[],[],[],[],[],[],5,0,0,,,0,,,,FALSE,FALSE,FALSE,
J120105.36+290352.1,spec-6402-56334-0966,3.128,3.13547,3.13547,TRUE,1,629.9163,1,418.82,[418.82],[-44396.15746],[-51257.64561],[1127.38],[0.44],[-47751.4258393],5,522.67,522.67,-44396.15746,-51257.64561,1127.38,0.44,[-47751.4258393 ],,TRUE,?,TRUE,"SiIV in Ly-a forest, unsure if it exists"
J144844.69+092834.2,spec-1713-53827-0211,3.159,3.16174,3.16174,TRUE,,518.7734,1,396.29,"[387.56, 8.73]",[-33709.80379 -39014.70388],[-38743.31498 -41251.82445],"[927.46, 353.02]","[0.47, 0.39]",[-36414.16887833 -40063.79622981],"Not done, rare bug with vmin calc",680.77,"540.0, 140.77",-72656.24961,-79995.13943,"927.46, 353.02","0.47, 0.39",[-36414.16887833 -40063.79622981],,TRUE,?,TRUE,For SiIV Im not sure
J144844.69+092834.2,spec-5476-55986-0599,3.159,3.16174,3.16174,TRUE,1,518.7734,1,789.82,[789.82],[-34050.5568],[-42131.91778],[1650.57],[0.37],[-37997.50000512],5,888.54,888.54,-34050.5568,-42131.91778,1650.57,0.37,[-37997.50000512],,TRUE,?,TRUE,For SiIV Im not sure
J103119.22+294622.9,spec-6456-56339-0894,3.194,3.21125,3.21125,TRUE,1,431.2259,1,[351.69],[351.69],[-40056.67339],[ -47218.34651],[1126.2],[0.32],[-43593.53890364],"Not done, rare bug with vmin calc",458.98,458.98,-39988.78643,-47218.34651,1126.2,0.32,[-43593.53890364],,TRUE,?,TRUE,Unclear SiIV
J103119.22+294622.9,spec-10464-58155-0575,3.194,3.21125,3.21125,TRUE,,431.2259,1,465.02,[465.02],[-39717.66287],[-48160.25507],[1252.15],[0.28],[-44265.97757738],5,500.94,500.94,39717.66287,-48160.25507,1252.15,0.28,[-44265.97757738],,TRUE,FALSE,TRUE,
J085119.10+134652.5,spec-2430-53815-0471,3.204,3.20193,3.20193,TRUE,,0.713957,2,48.33,[48.33],[-37367.19401],[-39810.99993],[495.71],[0.47],[-38635.11350426],2,325.04,"51.84, 0.34, 266.69, 6.17",-153954.2233,-158501.0369,"236.64, 40.29, 495.65, 136.06","0.78, 0.2, 0.47, 0.97",[-34914.18726779 -36150.98137665 -38635.11350426 -45988.19740801],,TRUE,Extreme SiIV?,TRUE,
J085119.10+134652.5,spec-5288-55865-0958,3.204,3.20193,3.20193,TRUE,1,0.713957,2,145.27,[145.27],[-36755.40283],[-39810.99993],[563.36],[0.34],[-38479.25759558],2,276.34,"2.13, 274.2",-72849.49712,-76448.81253,"53.3, 563.29","0.14, 0.34",[-36135.88328117 -38479.25759558],,TRUE,Extreme SiIV?,TRUE,
J085119.10+134652.5,spec-5290-55862-0164,3.204,3.20193,3.20193,TRUE,,0.713957,2,105.97,[105.97],[-36823.29827],[-40082.27081],[565.68],[0.34],[-38474.19714663],2,263.11,"253.18, 9.92",-82874.59443,-86807.15428,"565.61, 315.53","0.34, 0.92",[-38474.19714663 -45856.38635482],,TRUE,Extreme SiIV?,TRUE,
J123815.03+443026.2,spec-1372-53062-0154,3.3,,3.3,FALSE,,329.302,1,991.52,"137.88, 853.64",-83838.02595,-95489.20805,"785.96, 1599.63","0.48, 0.88",[-40299.69280483 -49905.38320087],5,1673.86,"480.74, 259.53, 933.59",-126506.0822,-138901.5882,"785.96, 369.11, 1599.63","0.48, 0.95, 0.88","[-40299.69280483 -43080.8284827
 
  -49905.38320087]",,TRUE,?,TRUE,
J123815.03+443026.2,spec-6636-56367-0036,3.3,,3.3,FALSE,,329.302,1,718.98,"450.46, 268.51",-77535.61861,-90054.41933,"1209.85, 1178.03","0.47, 0.91",[-38526.24833757 -44963.49925348],5,1258.41,"647.62, 610.79",-77467.87735,-90054.41933,"1209.85, 1178.03","0.47, 0.91",[-38526.24833757 -44963.49925348],,TRUE,?,TRUE,
J123815.03+443026.2,spec-8374-57783-0919,3.3,,3.3,FALSE,1,329.302,1,281.92,"215.47, 66.45",-77329.75871,-84784.96561,"804.69, 711.5","0.4, 0.9",[-36965.93538921 -43852.79123615],5,851.71,"450.27, 400.9",-77329.75871,-84784.96561,"804.69, 711.5","0.4, 0.9",[-36965.93538921 -43852.79123615],,TRUE,?,TRUE,"This spectra is weird, I cannot tell for SiIV"
J135402.11+182810.9,spec-5444-56038-0942,3.403,3.41426,3.41426,TRUE,,1.58577,1,42.18,[42.18],[-46441.73863],[-49468.67324],[445.44],[0.35],[-47855.9300311],5,155.94,155.94,-46441.73863,-49468.67324,445.44,0.35,[-47855.9300311 ],,TRUE,?,TRUE,
J135402.11+182810.9,spec-5868-56045-0372,3.403,3.41426,3.41426,TRUE,1,1.58577,1,113.63,[113.63],[-46037.49424],[-49535.7301],[629.99],[0.42],[-47808.06747802],5,307.1,307.1,-46037.49424,-49535.7301,629.99,0.42,[-47808.06747802],,TRUE,?,TRUE,
J011135.35+181826.1,spec-5133-55860-0412,3.45,3.45632,3.45632,TRUE,,195.9016,1,50.79,[50.79],[-40981.94044],[-43823.14689],[393.42],[0.31],[-42424.88409858],5,143.76,"138.67, 5.09",-85412.88886,-88861.54995,"393.42, 50.31","0.31, 0.18",[-42424.88409858 -44760.14399945],,TRUE,?,TRUE,
J011135.35+181826.1,spec-7622-56987-0113,3.45,3.45632,3.45632,TRUE,1,195.9016,1,165.9,[165.9],[-42335.94758],[-47329.62304],[600.13],[0.51],[-45119.5688514],"Not done, 'rare' bug with vmin calc",200.19,200.19,-42403.51576,[-47329.62304],[600.13],0.51,[-45119.5688514 ],,TRUE,TRUE,TRUE,
J144911.37+370734.0,spec-5174-56047-0344,3.583,,3.583,FALSE,1,475.0164,1,1304.93,1304.93,-34305.92351,-41844.23204,2075.54,0.72,[-38442.84203623],5,1482.58,1482.58,-34442.18175,-41844.23204,2075.54,0.72,[-38442.84203623],,?,?,?,Unsure for NV or SiIV
J144911.37+370734.0,spec-10748-58224-0461,3.583,,3.583,FALSE,,475.0164,1,3018.06,3018.06,-32533.48354,-43940.28716,3979.18,0.9,[-38687.88918386],5,3180.33,3180.33,-32533.48354,-43940.28716,3979.18,0.9,[-38687.88918386],,?,?,?,Unsure for NV or SiIV
J230820.39+204004.3,spec-6122-56246-0696,3.623,,3.623,FALSE,1,158.7714,1,216.99,216.99,-46216.79234,-50117.1391,793.74,0.32,[-48165.32471376],5,465.36,465.36,-46216.79234,-50117.1391,793.74,0.32,[-48165.32471376],,TRUE,?,TRUE,
J230820.39+204004.3,spec-7610-56980-0454,3.623,,3.623,FALSE,,158.7714,1,47.86,47.86,-47159.7806,-49647.31173,503.47,0.35,[-48413.66585551],5,245.2,245.2,-47159.7806,-49647.31173,503.47,0.35,[-48413.66585551],,TRUE,?,TRUE,
J150116.10+525556.8,spec-6720-56390-0552,3.851,,3.851,FALSE,,298.289,1,162.81,162.81,-36675.45197,-40002.56256,691.66,0.41,[-38395.17194055],5,385.12,385.12,-36811.46132,-40002.56256,691.66,0.41,[-38395.17194055],,TRUE,TRUE,TRUE,
J150116.10+525556.8,spec-8396-57837-0736,3.851,,3.851,FALSE,1,298.289,1,65.5,65.5,-36879.39481,-39799.20107,588.55,0.33,[-38395.16691472],5,326.26,326.26,-36879.39481,-39799.20107,588.55,0.33,[-38395.16691472],,TRUE,TRUE,TRUE,
J104121.11+334901.6,spec-1982-53436-0626,4.121,,4.121,FALSE,,571.3728,1,26.06,26.06,-45091.25042,-47382.49469,295.68,0.37,[-46482.01395318],5,367.3,"129.85, 78.59, 52.64, 106.22",-169141.3328,-175763.6177,"295.16, 167.31, 210.67, 295.68"," 0.31, 0.41, 0.27, 0.37","[-40380.8075474 -42248.23053976 -43719.05446404
 
  -46482.01395318]",,?,TRUE,?,Red of Ly-a is so saturated I cannot tell if NV is present
J104121.11+334901.6,spec-6447-56362-0854,4.121,,4.121,FALSE,1,571.3728,1,176.73,"173.76, 2.97",-84972.30034,-91190.76124,"827.08, 279.72","0.36, 0.28",[-41456.89299679 -46467.7954791 ],5,520.23,"435.07, 85.16",-84972.30034,-91190.76124,"827.08, 279.72","0.36, 0.28",[-41456.89299679 -46467.7954791],,?,TRUE,?,Red of Ly-a is so saturated I cannot tell if NV is present
J131056.86+105530.1,spec-5421-55980-0918,4.479,,4.479,FALSE,1,1.09509,1,20.62,20.62,-53918.0452,-56851.67565,454.34,0.33,[-55329.00463168],5,187.85,187.85,-53918.0452,-56851.67565,454.34,0.33,[-55329.00463168],,?,?,?,Ly-a forest issues
J131056.86+105530.1,spec-5422-55986-0288,4.479,,4.479,FALSE,,1.09509,1,0,,,,,,[],5,168.82,168.82,-54185.21222,-55986.17547,355.5,0.36,[-55095.87001355],,?,?,?,Ly-a forest issues
