2582,	54139,	485
485,	51909,	92
628,	52083,	304
790,	52441,	583
885,	52379,	63
948,	52428,	370
10429,	58145,	655
10464,	58155,	575
10479,	58159,	770
10720,	58250,	895
10730,	58244,	836
10748,	58224,	461
11377,	58434,	650
1229,	52723,	245
1272,	52989,	64
1372,	53062,	154
1374,	53083,	381
1455,	53089,	381
1521,	52945,	532
1582,	52939,	558
1589,	52972,	430
1618,	53116,	538
1709,	53533,	576
1713,	53827,	211
1732,	53501,	445
1793,	53883,	520
1933,	53381,	566
1982,	53436,	626
2087,	53415,	278
2225,	53729,	182
2430,	53815,	471
2511,	53882,	552
2745,	54231,	564
2785,	54537,	175
2884,	54526,	579
2945,	54505,	67
4341,	55538,	324
4354,	55810,	356
5133,	55860,	412
5143,	55828,	900
5290,	55862,	164
5422,	55986,	288
5444,	56038,	942
5745,	56050,	657
6036,	56093,	310
6138,	56236,	746
6280,	56570,	623
6305,	56563,	32
6313,	56460,	295
6460,	56334,	396
6587,	56537,	15
6636,	56367,	36
6720,	56390,	552
6786,	56448,	829
7610,	56980,	454
7618,	56898,	268
8221,	58198,	399
9162,	58040,	112
9227,	57932,	572
9446,	58082,	782
9587,	57784,	340
9602,	58131,	454
9609,	58136,	331
