spec-1589-52972-0430-dered.dr16,1.914,24.2946
spec-10431-58137-0135-dered.dr16,1.914,24.2946
spec-5187-56074-0092-dered.dr16,1.945,24.2946
spec-10720-58250-0895-dered.dr16,1.945,24.2946
spec-2745-54231-0564-dered.dr16,2,24.2946
spec-5454-56015-0104-dered.dr16,2,24.2946
spec-5778-56328-0973-dered.dr16,2.015,24.2946
spec-9602-58131-0454-dered.dr16,2.015,24.2946
spec-1374-53083-0381-dered.dr16,2.028,24.2946
spec-6621-56366-0502-dered.dr16,2.028,24.2946
spec-1793-53883-0520-dered.dr16,2.072,24.2946
spec-5415-55982-0013-dered.dr16,2.072,24.2946
spec-1229-52723-0245-dered.dr16,2.079,24.2946
spec-5391-56000-0254-dered.dr16,2.079,24.2946
spec-5807-56329-0778-dered.dr16,2.089,24.2946
spec-10429-58145-0655-dered.dr16,2.089,24.2946
spec-11377-58434-0650-dered.dr16,2.089,24.2946
spec-6442-56369-0246-dered.dr16,2.093,24.2946
spec-10479-58159-0770-dered.dr16,2.093,24.2946
spec-1732-53501-0445-dered.dr16,2.138,24.2946
spec-5212-56016-0348-dered.dr16,2.138,24.2946
spec-6674-56416-0693-dered.dr16,2.145,24.2946
spec-8221-58198-0399-dered.dr16,2.145,24.2946
spec-6045-56072-0455-dered.dr16,2.208,24.2946
spec-10730-58244-0836-dered.dr16,2.208,24.2946
spec-0885-52379-0063-dered.dr16,2.295,24.2946
spec-6674-56416-0964-dered.dr16,2.295,24.2946
spec-1272-52989-0064-dered.dr16,2.308,24.2946
spec-5809-56353-0704-dered.dr16,2.308,24.2946
spec-0628-52083-0304-dered.dr16,2.314,24.2946
spec-6036-56093-0310-dered.dr16,2.314,24.2946
spec-8524-57656-0969-dered.dr16,2.314,24.2946
spec-6305-56563-0032-dered.dr16,2.32,24.2946
spec-7667-57580-0430-dered.dr16,2.32,24.2946
spec-4419-55867-0178-dered.dr16,2.362,24.2946
spec-9446-58082-0782-dered.dr16,2.362,24.2946
