,Spectra Name,Redshift,BI Value,BI Error,Unknown?,SNR
0,spec-7750-58402-0217-dered.dr16,2.006752252578736,434.5910365015008,4139.802734375,9.52574348449707,16.946090698242188
1,spec-7848-56959-0965-dered.dr16,2.598,471.655325306369,7253.48095703125,15.378774642944336,22.748783111572266
2,spec-7852-56987-0657-dered.dr16,2.104831,21.569155348292927,14.031704902648926,0.6505449414253235,13.248884201049805
3,spec-7034-56564-0743-dered.dr16,2.245814,735.7162336597311,8534.380859375,11.600098609924316,11.261425018310549
4,spec-6172-56269-0318-dered.dr16,1.924,757.9067394176095,6292.30224609375,8.30221176147461,14.693351745605469
5,spec-6879-56539-0330-dered.dr16,2.226597,69.18584951223615,291.80865478515625,4.217750549316406,21.73836326599121
6,spec-7850-56956-0860-dered.dr16,1.98821,30.46199357330283,97.64374542236328,3.20542860031128,20.58625602722168
7,spec-7594-56947-0544-dered.dr16,1.968000411987305,26.45648962637502,52.34701919555664,1.9786078929901123,16.967815399169922
8,spec-6879-56539-0764-dered.dr16,2.2788,930.4490234997904,7526.0771484375,8.088650703430176,16.38496208190918
9,spec-4354-55810-0956-dered.dr16,2.30337,133.130444661003,392.2838134765625,2.9466123580932617,10.69747829437256
10,spec-7664-57367-0558-dered.dr16,2.19846,276.95980220361554,1072.7216796875,3.8732035160064697,15.848271369934082
11,spec-7168-56625-0708-dered.dr16,2.428026,211.6538338355768,898.4013671875,4.244673252105713,11.65958309173584
12,spec-9441-58022-0324-dered.dr16,2.012058019638061,304.4003818479688,375.7901611328125,1.2345259189605713,15.905001640319824
13,spec-7168-56625-0198-dered.dr16,2.224127,113.36186948735916,303.7460327148437,2.6794373989105225,14.07838249206543
14,spec-4533-55855-0425-dered.dr16,1.956837,208.14971986349283,1754.7974853515625,8.430458068847656,21.38065719604492
15,spec-6176-56264-0878-dered.dr16,2.729712,208.09862832033537,2396.78466796875,11.517541885375977,12.01010799407959
16,spec-7862-56984-0899-dered.dr16,2.508005,23.45899098114112,38.53063583374024,1.642467737197876,26.88613510131836
17,spec-7169-56628-0462-dered.dr16,2.062866,95.92978774675348,357.06060791015625,3.7221035957336426,13.828839302062988
