spec-5987-56339-0860-dered.dr16,	1.913,	20.07308
spec-11303-58428-0234-dered.dr16,	1.9169,	16.1271
spec-7864-56979-0100-dered.dr16,	1.937,	17.7895
spec-6455-56370-0007-dered.dr16,	1.973,	13.14599
spec-7516-56782-0422-dered.dr16,	1.99,	20.09449
spec-7408-56780-0574-dered.dr16,	2.003,	15.9356
spec-11055-58429-0304-dered.dr16,	2.0038,	20.378
spec-7750-58402-0217-dered.dr16,	2.0068,	16.94609
spec-10728-58248-0740-dered.dr16,	2.035,	12.45915
spec-5351-55952-0544-dered.dr16,	2.039,	15.40394
spec-4415-55831-0072-dered.dr16,	2.06,	13.22607
spec-11097-58522-0748-dered.dr16,	2.0983,	12.34615
spec-7059-56592-0382-dered.dr16,	2.115,	23.12962
spec-5853-56045-0559-dered.dr16,	2.116,	10.78596
spec-6697-56419-0004-dered.dr16,	2.137,	13.24815
spec-8876-57783-0790-dered.dr16,	2.151,	12.99541
spec-6694-56386-0298-dered.dr16,	2.18,	11.68141
spec-6825-56717-0164-dered.dr16,	2.181,	11.37503
spec-5847-56037-0224-dered.dr16,	2.198,	10.73312
spec-7611-56946-0286-dered.dr16,	2.198,	13.92842
spec-7096-56683-0328-dered.dr16,	2.203,	10.89966
spec-6682-56390-0449-dered.dr16,	2.209,	12.56523
spec-5813-56363-0152-dered.dr16,	2.229,	13.77991
spec-6139-56192-0788-dered.dr16,	2.23,	11.66411
spec-6201-56186-0795-dered.dr16,	2.242,	15.0149
spec-6055-56102-0508-dered.dr16,	2.265,	10.93098
spec-6292-56566-0763-dered.dr16,	2.318,	10.65711
spec-8498-57105-0315-dered.dr16,	2.3256,	15.85685
spec-6972-56426-0582-dered.dr16,	2.338,	10.90136
spec-5372-55978-0742-dered.dr16,	2.382,	10.71974
spec-6698-56637-0654-dered.dr16,	2.41,	11.33038
spec-6288-56192-0152-dered.dr16,	2.425,	14.52761
spec-6200-56217-0928-dered.dr16,	2.482,	12.73049
spec-6627-56369-0300-dered.dr16,	2.521,	11.69073
spec-7027-56448-0412-dered.dr16,	2.531,	10.40448
spec-5438-56002-0596-dered.dr16,	2.547,	10.5787
spec-6001-56072-0804-dered.dr16,	2.549,	10.9046
spec-5396-55947-0878-dered.dr16,	2.574,	12.54247
spec-5784-56029-0334-dered.dr16,	2.574,	10.67701
spec-5330-56000-0398-dered.dr16,	2.578,	10.17854
spec-4396-55829-0765-dered.dr16,	2.6,	11.75943
spec-7640-57311-0252-dered.dr16,	2.65,	10.14291
spec-8495-57481-0766-dered.dr16,	2.8083,	10.95309
spec-8870-57779-0580-dered.dr16,	2.838,	12.86847
spec-5372-55978-0388-dered.dr16,	2.856,	12.08702
spec-6582-56274-0754-dered.dr16,	2.882,	11.09546
spec-7093-56657-0042-dered.dr16,	2.971,	10.45963
spec-8865-57426-0906-dered.dr16,	3.1011,	13.30121
spec-6788-56428-0314-dered.dr16,	3.419,	10.3613
spec-5119-55836-0824-dered.dr16,	3.54,	11.2417
