SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR
1,J2318_57328_UZ2_RPnorm_SiIVfit_spectra_down.txt,J2318_57328_UZ2_RPnorm_SiIVfit_spectra_down.txt,0,0
2,J2318_57328_UZ2_RP2norm_SiIVfit_spectra_down.txt,J2318_57328_UZ2_RP2norm_SiIVfit_spectra_down.txt,0,0
3,J2318_57328_DZ2_RPnorm_SiIVfit_spectra_down.txt,J2318_57328_DZ2_RPnorm_SiIVfit_spectra_down.txt,0,0
4,J2318_57328_DZ2_RP2norm_SiIVfit_spectra_down.txt,J2318_57328_DZ2_RP2norm_SiIVfit_spectra_down.txt,0,0
