# RMID=J2318
# RA=349.72625 DEC=24.665
# z=2.6781
# Wave [rest-frame]      Flux  Flux_Err
#      [Ang]             [10^(-17) erg/cm2/s/Ang]
984.4109730567412  0.597145710866974  0.08241922843874273
984.6379924417498  0.6635357001825315  0.08217574970135934
984.8644680677523  0.5742338639149559  0.08217929866393917
985.0909436937549  0.6816847014111356  0.0821433342173797
985.3182349582665  0.5798154672203046  0.0811223794148508
985.544982463772  0.5765911451562437  0.07962850856284366
985.7722737282835  0.5749156716115031  0.0791344687515518
985.9990212337891  0.6188476174507291  0.07787816699452446
986.2263124983007  0.47524887050085923  0.07627589596469612
986.4530600038063  0.5035044757222515  0.07559959358735824
986.6800793888149  0.6350036597187705  0.07625514675690323
986.9076425328294  0.5706590544314517  0.07636656698636658
987.134661917838  0.5670648511198749  0.07714899528146711
987.3622250618527  0.6546655286330308  0.07854566370892113
987.5895163263641  0.5935599582103744  0.07861579741830618
987.8170794703786  0.49427982256557995  0.07799063185387742
988.0443707348903  0.5091913482156842  0.078057396325516
988.2716619994018  0.5794436288519956  0.07832525649301539
988.4997689024224  0.5263691754113989  0.07800038387129858
988.727060166934  0.5783822487298081  0.07862789660651144
988.9551670699545  0.549465498541287  0.07896662820519616
989.1824583344661  0.5945956950245248  0.07825613986343313
989.4105652374867  0.5195622496069784  0.07681674610929069
989.6384002610043  0.4632298855136732  0.07562747307556682
989.8659634050189  0.49703555359902457  0.07515867640758447
990.0940703080395  0.47203624975676206  0.07399291982106602
990.3219053315571  0.4617249517480866  0.07294759037832148
990.5502841140806  0.45700133220447925  0.07216242521211405
990.7781191375982  0.5262990569024377  0.07152055714367449
991.0064979201218  0.5175630337229497  0.07034084549975188
991.2346048231424  0.4895007958034401  0.0685844404435538
991.462711726163  0.46261368454524915  0.06712150094440168
991.6913623881895  0.508149446757682  0.06720939817748466
991.91946929121  0.4889267049295536  0.067562286180059
992.1481199532367  0.5391789478875065  0.0685712148795536
992.3764987357603  0.6780931294916419  0.07028664672003455
992.6051493977868  0.6596377883002169  0.07093719701795972
992.8335281803104  0.6355364659727336  0.06968814383646649
993.0619069628341  0.6653403580951127  0.06924479168620358
993.2911013838666  0.6047375071087397  0.06809197035108873
993.5194801663903  0.5833908721764338  0.06755288353610392
993.7486745874228  0.6741872621559276  0.06763031858660133
993.9773252494493  0.7687871221887194  0.06833580372413664
994.2065196704821  0.7645543323473706  0.06805650933897553
994.4351703325086  0.7999056084796453  0.06741609210863772
994.6638209945352  0.8699215472264296  0.06773215499910612
994.8932872950708  0.9010389101201993  0.06838517356481648
995.1222098366004  0.9035438945119135  0.06892964889161797
995.351676137136  0.9502927496964417  0.06938349440603346
995.5805986786655  1.0565821483410234  0.07056450695131232
995.8100649792011  1.08605941172078  0.0705357227988847
996.0392594002338  1.1165201623390149  0.07023120749326137
