3950, 4250, 4950
3730, 4350, 4950
3780, 4200, 5005
3780, 4200, 5005
3950, 4450, 5397
3850, 4335, 5100
3860, 4390, 5200
3860, 4390, 5200
4015, 4525, 5250
4015, 4525, 5250
3950, 4400, 5220
3950, 4400, 5220
3950, 4375, 5230
3950, 4375, 5230
4080, 4375, 5250
4080, 4375, 5250
4080, 4375, 5250
4090, 4385, 5400
4090, 4385, 5400
4050, 4450, 5335
4050, 4450, 5335
4050, 4600, 5300
4120, 4500, 5280
4150, 4750, 5455
4150, 4750, 5500
4230, 4760, 5600
4230, 4760, 5600
4275, 4780, 5625
4275, 4780, 5625
4265, 4900, 5640
4265, 4900, 5640
4265, 4900, 5640
4270, 4795, 5660
4270, 4795, 5660
4280, 4855, 5725
4280, 4855, 5690
4380, 4870, 5730
4380, 4870, 5730
4360, 4890, 5775
4360, 4890, 5775
4465, 4485, 5743
4465, 4865, 5800
4010, 7000, 9000
4010, 7000, 9000
4010, 7000, 9000
4475, 5050, 5940
4475, 5050, 5940
4475, 5050, 5940
5250, 6000, 7000
5250, 6000, 7000
5250, 6000, 7000
5250, 6000, 7000
5250, 6000, 7000
4700, 5300, 6135
4700, 5215, 6135
4670, 5220, 6145
4670, 5220, 6145
4665, 5255, 6180
4665, 5255, 6180
4700, 6200, 8000
4700, 6200, 8000
4885, 5300, 6290
4885, 5255, 6290
4840, 5630, 6395
4840, 5630, 6395
4960, 5450, 6535
4960, 5450, 6535
4960, 5535, 6560
4960, 5535, 6560
4955, 5700, 6500
4955, 5700, 6500
5005, 5760, 6635
5005, 5760, 6635
5169, 6015, 6810
5140, 6015, 6810
5263, 6020, 7100
5295, 6050, 6900
5165, 5830, 6900
5180, 5830, 6900
5180, 5830, 6900
5520, 6950, 8500
5520, 6950, 8500
5380, 6100, 7000
5380, 6100, 7000
5305, 5905, 7020
5305, 5905, 7020
5293, 6150, 7070
5355, 6150, 7070
5535, 6060, 7400
5524, 6060, 7400
5550, 6000, 7145
5550, 6000, 7145
5550, 6000, 7145
5520, 6300, 7310
5520, 6300, 7310
5520, 6300, 7310
5715, 6340, 7485
5715, 6340, 7485
5780, 6370, 8150
5800, 6360, 7565
5330, 6850, 8900
5330, 6850, 8900
6150, 6850, 7855
6150, 6850, 7855
6250, 6850, 8500
6250, 6850, 8500
6597, 7400, 8705
6580, 7400, 8705
7220, 7750, 9335
7220, 7750, 9335
