MJD,RUN2D,CATALOGID,SDSS_ID,Z,plate_or_fps_field
59352,v6_1_3,4593062445,79960204,2.0523088831770675,15253
59352,v6_1_3,4593063235,79960276,3.044819558415483,15253
59352,v6_1_3,4593080996,79957991,2.3798650468681655,15253
59352,v6_1_3,4600459061,79072159,1.961415554984032,15323
59352,v6_1_3,6878947186,79959525,2.6082795762065634,15253
59369,v6_1_3,4602953428,61531171,2.0015755377969473,15299
59374,v6_1_3,5191883450,60770967,1.9080499097598704,15309
59375,v6_1_3,4351932691,61912453,2.296043513931702,15238
59375,v6_1_3,4352006667,61911779,3.0974907605821738,15238
59375,v6_1_3,4603008471,61386039,2.910146058803956,15301
59375,v6_1_3,4603049440,61391758,2.474287651838375,15301
59375,v6_1_3,5189718924,60443278,2.245669938831322,15310
59376,v6_1_3,4603859423,61556690,2.1111204280256732,15305
59376,v6_1_3,4603870110,61557751,2.672092765782583,15305
59381,v6_1_3,4349849827,62109506,2.408247062359749,15239
59381,v6_1_3,4350968445,62238677,1.900634247594916,15173
59381,v6_1_3,4351093563,62238490,2.037304162979126,15173
59381,v6_1_3,4351098365,61730086,2.079933981896921,15173
59381,v6_1_3,4351341208,62106338,2.5195700464937345,15239
59381,v6_1_3,6032770038,119207634,2.6965184211730957,15173
59636,v6_1_3,27021598102752614,55767655,3.478725729275805,21152
59644,v6_1_3,27021598104209553,55895022,2.619907043576703,102022
59644,v6_1_3,27021598104225376,55940213,2.2965159179895505,102022
59644,v6_1_3,27021598150295819,79963749,2.1335894149214365,101276
59644,v6_1_3,27021598150303758,80032471,2.044622779921907,101276
59644,v6_1_3,27021598150309345,80151173,2.1484685545011604,101276
59662,v6_1_3,27021598149828813,80009883,2.086400312130333,101297
59665,v6_1_3,27021598150109552,80024735,1.950130642646649,101300
59665,v6_1_3,27021598150171324,80043121,3.2803901236349384,101300
59725,v6_1_3,27021597843330714,68999576,2.0365792827339866,101194
59734,v6_1_3,27021598146880689,79031789,2.816774177321602,103297
59878,v6_1_3,27021597973781179,75811312,3.0151352145629593,103656
59878,v6_1_3,27021597973889884,75904870,2.5035150414694725,103656
59878,v6_1_3,27021597973909778,75906388,2.1875067746557524,103656
59879,v6_1_3,27021597957492072,70353461,2.160783534482387,104642
59879,v6_1_3,27021598103252501,56230260,2.409201317420815,101953
59879,v6_1_3,27021598103371317,56234586,1.9859588400819896,101953
59884,v6_1_3,27021597970245926,76163991,3.233031966722364,104621
59886,v6_1_3,27021597934777287,94933565,2.0018250932621,104585
59888,v6_1_3,27021598103862901,56417135,2.234417594625375,101945
59888,v6_1_3,27021598103923092,56352002,2.4416861969118875,101945
59905,v6_1_3,27021598101428085,74552572,2.260633459164806,104366
59907,v6_1_3,27021597933106642,70330371,2.609564304351806,104578
59907,v6_1_3,27021597933123633,70327604,2.8826035184041836,104578
59910,v6_1_3,27021598149923117,55786362,3.250646574870376,104408
59913,v6_1_3,27021598103995804,56409067,2.6348730668222275,101956
59913,v6_1_3,27021598104024265,56408992,2.100955098460266,101956
59913,v6_1_3,27021598149850890,80015267,3.0020146807246197,101302
59936,v6_1_3,27021597933617390,70286271,2.1930989526265225,104645
59937,v6_1_3,27021598101930027,75221291,2.332424108998778,104363
59937,v6_1_3,27021598150142377,80040533,2.594373811948582,101301
59940,v6_1_3,27021597934481123,70062843,2.0129297304279,112361
59940,v6_1_3,27021597934481228,70062833,2.568396084732679,112361
59940,v6_1_3,27021597934481841,70060548,2.302461727709241,112361
59940,v6_1_3,27021598101905778,75233015,1.9326254622063983,100154
59940,v6_1_3,27021598102052673,75252195,2.4236152747888613,100154
59987,v6_1_3,27021597904249339,61178967,3.43875567827767,101156
59992,v6_1_3,27021598052225064,76013315,2.4668273732933184,103959
59994,v6_1_3,27021598102224493,74580972,2.1188353920647462,104367
59999,v6_1_3,27021598101465641,74432419,3.1658101003486605,104379
60029,v6_1_3,27021598150353402,80054601,2.2582930061275777,101281
60030,v6_1_3,27021598145884972,79225953,2.3056209380909296,103247
60049,v6_1_3,27021598157370020,78981129,2.2125466487066836,102373
60050,v6_1_3,27021598149503349,78973922,3.3695439606278237,102383
60050,v6_1_3,27021598149547992,78965047,2.5964028481029096,102358
60050,v6_1_3,27021598157382479,78984674,2.167188030193019,102383
60051,v6_1_3,27021598150503663,80183260,2.3308342997091076,101266
60051,v6_1_3,27021598150511443,80187259,2.1668805305110252,101266
60051,v6_1_3,27021598150515903,80184512,3.606984703525587,101266
60052,v6_1_3,27021598150221426,79958331,1.9212770574332727,112360
60052,v6_1_3,27021598150225390,79960312,2.164415468241261,112360
60056,v6_1_3,27021598146798087,78860385,2.312624573580874,103284
60057,v6_1_3,27021598157827806,78970023,2.4577958609771775,102357
60060,v6_1_3,27021598151539992,80198427,1.9250109179931028,101249
60062,v6_1_3,27021597843823359,69031891,2.5473030425720875,101182
60062,v6_1_3,27021598726459168,59423671,2.664741606527023,104547
60065,v6_1_3,27021598154929041,57006914,2.0295554266604725,103136
60073,v6_1_3,27021597910409781,62065838,3.4365178777350964,104632
60076,v6_1_3,27021598160782400,60249655,3.6600857072205217,104540
60089,v6_1_3,27021598149522326,78953124,2.164553705079955,102359
60109,v6_1_3,27021597926478872,71062388,2.2753178185795937,104646
60119,v6_1_3,27021598160566659,61554004,2.73205449949546,104536
59199,v6_1_3,4555570886,56631191,2.3736378325873018,15059
59231,v6_1_3,4545176534,55759190,2.862580728300752,15149
59253,v6_1_3,4592509812,79999435,2.7869726551962732,15168
59257,v6_1_3,4555548883,57838442,2.494754345684499,15026
59279,v6_1_3,4544982829,74357651,2.5487854349942074,15255
59291,v6_1_3,4545114064,55797139,2.537849501820612,15258
59291,v6_1_3,4545198736,55788568,2.978707168883506,15258
59304,v6_1_3,4592563731,55772330,2.5292490615820227,15260
59310,v6_1_3,4592668303,80008775,2.29508135496161,15268
59317,v6_1_3,4592991926,80043875,3.1077771352690773,15270
59318,v6_1_3,4570380920,79992677,2.071596708027803,15156
59318,v6_1_3,4570388253,79990967,2.602770926515177,15156
59318,v6_1_3,4592612385,79997523,1.9370577407499792,15156
59343,v6_1_3,4603761999,60245319,2.231163506861918,15324
59370,v6_1_3,4346106849,61099819,2.6572464000116023,15308
59370,v6_1_3,4349130903,62263842,2.779291784970857,15307
59375,v6_1_3,5189681431,60528613,2.9313183867869226,15310
59381,v6_1_3,4351094244,62237969,2.1552599916094324,15173
59636,v6_1_3,27021598149677774,55759621,3.2314065229174753,21152
59647,v6_1_3,27021598146889486,79026103,2.270467532284333,103296
59662,v6_1_3,27021598149835490,80009021,2.098599936552022,101297
59663,v6_1_3,27021598149689173,55760403,2.7419205133072424,104404
59665,v6_1_3,27021598150149500,80027271,2.4917164058265704,101300
59731,v6_1_3,27021598157842176,78963348,2.5453866223765846,102347
59846,v6_1_3,27021597934582956,94886529,2.6770122426449325,104594
59879,v6_1_3,27021598103254901,56230530,2.5838668014818627,101953
59898,v6_1_3,27021597957480259,71368344,2.9040765748407997,104634
59904,v6_1_3,27021598102818947,55794022,2.0499051992584283,104406
59904,v6_1_3,27021598149746836,55784079,2.222355211830427,104406
59906,v6_1_3,27021597970766394,76104744,2.810213088989258,103608
59907,v6_1_3,27021597933123662,70327611,2.0824422689632662,104578
59938,v6_1_3,27021598152816860,80656570,2.357778569270965,101471
59994,v6_1_3,27021598053264167,75986963,2.4748194354774404,103959
60018,v6_1_3,27021598150725763,55979160,2.214029063080918,102025
60027,v6_1_3,27021598150347198,80053597,2.0840978961010825,101291
60030,v6_1_3,27021598145889978,79226094,2.443560730988379,103247
60049,v6_1_3,27021598149103392,78978800,2.7000850876562295,102373
60052,v6_1_3,27021598150248240,79960390,2.2223663106071108,112360
60052,v6_1_3,27021598157263556,79061313,2.8195408137213587,102375
60061,v6_1_3,27021598157790239,78998178,2.0243380622638947,102369
60071,v6_1_3,27021598160032302,60039256,3.636066890181265,101674
60087,v6_1_3,27021598131901132,78687822,2.6343082474221067,103020
59187,v6_1_3,4382190169,70840235,2.605299375219138,0
59193,v6_1_3,4399272889,70345273,2.770503116710652,15005
59218,v6_1_3,4375029862,70281901,3.5853367149353765,15009
59221,v6_1_3,4401486634,70164721,2.6888269312131494,15013
59222,v6_1_3,4491938738,74327340,2.476491296178077,15144
59227,v6_1_3,4492077053,74316424,2.301606655875484,15147
59227,v6_1_3,4570534685,79985045,3.245309256959281,15161
59231,v6_1_3,4545179601,55766762,1.972289814526532,15149
59251,v6_1_3,4545171223,74324066,2.30717785620224,15166
59251,v6_1_3,4554380685,57550810,3.384702125483696,15021
59253,v6_1_3,4570357950,101612103,2.1197230406334437,15168
59254,v6_1_3,4592502116,55758784,2.18541880781104,15153
59256,v6_1_3,4592528128,55763364,2.4496848926805983,15155
59256,v6_1_3,4592550442,55774759,3.2953600829414116,15155
59278,v6_1_3,4554137313,57779969,1.992200632653544,15017
59278,v6_1_3,4555396540,57911870,2.05738620546974,15017
59280,v6_1_3,4545076278,74369211,2.6796246690674623,15256
59288,v6_1_3,4545089107,74370239,2.4557980713446335,15257
59294,v6_1_3,4543044526,56381863,2.1051797961034104,15286
59312,v6_1_3,4360799712,58640514,2.142510156012456,15174
59315,v6_1_3,4592600269,55777994,2.4535096569642065,15263
59317,v6_1_3,4592719429,80046137,2.466317458597609,15270
59318,v6_1_3,4570396477,79999006,2.4974177724016258,15156
59342,v6_1_3,4351044066,62245617,2.885118269214131,15304
59343,v6_1_3,4346407017,61251896,1.917577789063233,15329
59344,v6_1_3,4346406124,61251380,2.034517526626587,15330
59345,v6_1_3,4592696913,80014160,2.090600086375675,15266
59346,v6_1_3,4359641145,57339983,2.9324009656308996,15235
59347,v6_1_3,4351695975,126021598,2.603702296933359,15297
59347,v6_1_3,4603792017,60246603,2.415608009630241,15325
59347,v6_1_3,4603863596,60249124,2.566819273823453,15325
59347,v6_1_3,4603865172,61555855,2.2502781183769156,15325
59352,v6_1_3,4593060184,79959658,2.735287618853649,15253
59375,v6_1_3,4600807256,78996621,2.155010254025049,15306
59375,v6_1_3,4600826374,59458987,2.0713355033667717,15306
59375,v6_1_3,5189732386,60631886,2.347261167454725,15310
59381,v6_1_3,4349287058,62547044,2.5098930710066853,15303
59381,v6_1_3,4350968799,62238643,1.9074172924703796,15173
59381,v6_1_3,4351336868,62109469,1.9226968830848985,15239
59636,v6_1_3,27021598102747887,55761488,2.4741520440074933,21152
59636,v6_1_3,27021598102751833,55767388,2.090056564068228,21152
59641,v6_1_3,27021598151253813,80071267,2.077404499053955,101261
59645,v6_1_3,27021598131884976,79742830,2.7550717071593347,102883
59647,v6_1_3,27021598146870109,79024464,2.0950744053917085,103296
59663,v6_1_3,27021598149728474,55765156,2.411038338923072,104404
59664,v6_1_3,27021598102797414,55770147,2.2426546327994323,104405
59676,v6_1_3,27021598131745097,79763815,1.9113547592928657,101212
59731,v6_1_3,27021598157842437,78963715,2.167416151703776,102347
59734,v6_1_3,27021598155864333,79033170,2.1675867543206366,103297
59879,v6_1_3,27021597957492020,70353359,2.17197931839873,104642
59883,v6_1_3,27021598104079315,56198874,2.778317944933899,101992
59904,v6_1_3,27021598102806843,55771524,2.1637888585350114,104406
59904,v6_1_3,27021598149891530,55804144,2.8689818820599213,104406
59910,v6_1_3,27021598149922770,55785551,2.204368556152089,104408
59940,v6_1_3,27021597934481635,70062425,1.9283594577223395,112361
59953,v6_1_3,27021597913940744,58856071,2.2105594409008775,100787
59976,v6_1_3,27021597917728702,58009943,3.2526527924693793,102906
59999,v6_1_3,27021597973421134,75647925,2.477406412839889,103668
60014,v6_1_3,27021598103009307,55872320,2.3320261608671045,104394
60018,v6_1_3,27021598150722651,56089616,3.694539569323868,102025
60052,v6_1_3,27021600049989020,121907048,2.561042714057329,112360
60056,v6_1_3,27021598146793334,78857788,2.145636146984064,103284
60062,v6_1_3,27021598726446681,59420958,2.0876646663179086,104547
60088,v6_1_3,27021598149618953,78958776,2.1704983314525985,102348
60088,v6_1_3,27021598728823170,59713268,2.9457483731834784,102627
60118,v6_1_3,27021597909959875,62239901,1.949177404445798,112359
60118,v6_1_3,27021597910082661,62238025,2.5936386634151334,112359
60119,v6_1_3,27021598160770476,61556870,2.2174253845033705,104536
