,objectName,spec1,spec2,I01,I02,I1,I2,alpha,minOpt,minCov1,minCov2,Spec_Cf1,Spec_Cf2,Spec_Cf2Cf1,save_fig,t_t_plot
91,084048.27+222855.4,"Spectra(plate='4472', mjd='55893', fiber='0778')","Spectra(plate='9594', mjd='58086', fiber='0851')",7.897626,5.9376254,2.4633107,2.2438726,0.75,0.93,0.7024,0.6042,"[7.38105236 3.87489887 2.71006705 2.13055113 1.78514544 1.55677774
 1.39527115 1.27553467 1.18362671 1.11118044 1.05286997 1.00514336
 0.96554048 0.93230312 0.90414116 0.88008637 0.85939782 0.84149882
 0.82593377 0.81233799 0.8004161  0.78992633 0.78066897 0.77247759
 0.76521246 0.75875548 0.75300617 0.74787854 0.74329869 0.73920274
 0.73553528 0.73224804 0.72929885 0.72665071 0.72427109 0.72213132
 0.72020603 0.71847279 0.71691166 0.71550493 0.71423681 0.71309324
 0.71206165 0.71113079 0.71029062 0.7095321  0.70884716 0.70822854
 0.70766972]","[6.34913416 3.33316329 2.33118239 1.8326865  1.53557072 1.33913028
 1.20020334 1.09720679 1.01814814 0.95583033 0.90567203 0.86461791
 0.83055176 0.8019612  0.77773646 0.75704469 0.73924853 0.72385192
 0.71046296 0.69876796 0.68851282 0.67948959 0.67152647 0.66448029
 0.65823088 0.65267663 0.6477311  0.64332035 0.63938079 0.63585748
 0.63270275 0.6298751  0.62733822 0.62506031 0.62301337 0.62117275
 0.61951664 0.61802571 0.61668284 0.61547278 0.61438195 0.61339826
 0.61251089 0.61171017 0.61098746 0.61033499 0.60974581 0.60921367
 0.60873298]",0.86,yes,0.86
92,144844.69+092834.2,"Spectra(plate='5476', mjd='55986', fiber='0599')","Spectra(plate='1713', mjd='53827', fiber='0211')",5.663435,4.265904,3.42777,3.2460277,0.75,0.24,0.4103,0.217,"[4.3115686  2.26348378 1.58305881 1.24454033 1.04277502 0.90937629
 0.81503381 0.74509094 0.69140381 0.64908504 0.61502356 0.58714454
 0.5640109  0.54459563 0.5281451  0.51409374 0.50200872 0.4915532
 0.48246103 0.47451919 0.46755513 0.46142764 0.45602004 0.45123513
 0.44699128 0.4432195  0.43986109 0.43686584 0.43419056 0.43179795
 0.42965564 0.42773544 0.4260127  0.42446581 0.42307578 0.42182585
 0.42070122 0.41968876 0.41877684 0.41795511 0.41721436 0.41654635
 0.41594376 0.41540001 0.41490923 0.41446615 0.41406605 0.41370468
 0.41337826]","[2.28030803 1.19711426 0.83725021 0.65821412 0.55150422 0.48095212
 0.43105615 0.39406467 0.36567055 0.34328895 0.32527446 0.31052977
 0.29829482 0.28802645 0.27932607 0.27189457 0.26550303 0.2599733
 0.25516462 0.25096433 0.24728117 0.24404045 0.24118048 0.23864982
 0.23640533 0.23441051 0.23263431 0.23105018 0.22963527 0.22836987
 0.22723684 0.22622128 0.22531015 0.22449203 0.22375687 0.22309581
 0.22250101 0.22196554 0.22148324 0.22104865 0.22065687 0.22030358
 0.21998488 0.2196973  0.21943773 0.2192034  0.21899179 0.21880067
 0.21862803]",0.53,yes,0.94
93,100110.59+294411.1,"Spectra(plate='5800', mjd='56279', fiber='0113')","Spectra(plate='10447', mjd='58143', fiber='0010')",5.658172,7.4230385,0.8235984,0.69629306,0.76,2.28,0.8657,0.8976,"[9.09706296 4.77576872 3.34012677 2.62588001 2.20017143 1.91871083
 1.7196558  1.57208196 1.45880644 1.36951724 1.29765024 1.23882775
 1.19001764 1.14905298 1.11434368 1.08469643 1.05919803 1.03713771
 1.01795397 1.00119732 0.98650372 0.97357521 0.96216561 0.95206983
 0.94311565 0.93515749 0.92807152 0.92175178 0.91610717 0.91105895
 0.90653885 0.90248737 0.89885253 0.89558872 0.89265587 0.89001862
 0.88764573 0.88550953 0.88358546 0.88185168 0.88028874 0.8788793
 0.87760787 0.8764606  0.87542509 0.87449023 0.87364605 0.87288361
 0.87219487]","[9.43227875 4.95175004 3.46320641 2.72264052 2.28124509 1.98941301
 1.78302304 1.63001128 1.51256169 1.41998229 1.34546709 1.28447705
 1.23386836 1.19139419 1.1554059  1.12466619 1.0982282  1.07535498
 1.05546434 1.03809024 1.02285519 1.00945028 0.99762025 0.98715245
 0.97786832 0.96961692 0.96226984 0.95571722 0.94986461 0.94463038
 0.93994371 0.93574294 0.93197416 0.92859009 0.92554916 0.92281473
 0.92035441 0.91813949 0.91614452 0.91434685 0.91272632 0.91126494
 0.90994667 0.90875712 0.90768345 0.90671414 0.90583886 0.90504832
 0.9043342 ]",1.04,yes,0.97
94,123931.80+322625.8,"Spectra(plate='6482', mjd='56358', fiber='0396')","Spectra(plate='1971', mjd='53472', fiber='0626')",4.0264645,3.058875,1.9632254,2.0837886,0.76,0.41,0.4983,0.3396,"[5.23630181 2.74894947 1.92258885 1.51146587 1.2664265  1.10441678
 0.98983999 0.90489597 0.83969418 0.78829899 0.7469321  0.71307366
 0.68497839 0.66139898 0.64142019 0.62435513 0.60967815 0.59698016
 0.58593793 0.57629274 0.56783505 0.56039335 0.55382595 0.54801478
 0.54286072 0.53827998 0.53420127 0.53056361 0.52731454 0.52440878
 0.52180699 0.51947494 0.51738271 0.51550406 0.5138159  0.51229789
 0.51093204 0.50970244 0.50859493 0.50759696 0.50669733 0.50588605
 0.50515421 0.50449384 0.5038978  0.50335969 0.50287378 0.50243491
 0.50203847]","[3.56862953 1.87345623 1.31027729 1.03008993 0.86309139 0.75267899
 0.67459294 0.61670213 0.57226599 0.53723929 0.50904704 0.48597193
 0.46682452 0.45075475 0.43713886 0.42550873 0.41550612 0.40685222
 0.39932675 0.39275339 0.38698933 0.38191769 0.37744189 0.37348148
 0.3699689  0.36684704 0.36406733 0.3615882  0.35937391 0.35739358
 0.35562042 0.35403109 0.3526052  0.35132486 0.35017435 0.3491398
 0.34820895 0.34737096 0.34661617 0.34593604 0.34532292 0.34477003
 0.34427126 0.34382121 0.343415   0.34304826 0.34271711 0.34241801
 0.34214783]",0.68,yes,1.21
95,122154.36+262402.6,"Spectra(plate='5976', mjd='56356', fiber='0370')","Spectra(plate='2231', mjd='53816', fiber='0056')",9.514042,12.496922,1.5411928,1.1978734,0.76,2.21,0.856,0.8904,"[8.99513214 4.72225716 3.3027013  2.59645753 2.17551893 1.89721205
 1.70038739 1.55446709 1.44246079 1.35417206 1.28311032 1.22494692
 1.17668373 1.13617806 1.10185768 1.07254262 1.04732992 1.02551678
 1.00654799 0.9899791  0.97545014 0.96266649 0.95138473 0.94140207
 0.93254822 0.92467924 0.91767266 0.91142373 0.90584236 0.90085072
 0.89638126 0.89237518 0.88878106 0.88555383 0.88265384 0.88004614
 0.87769984 0.87558757 0.87368506 0.8719707  0.87042528 0.86903163
 0.86777445 0.86664003 0.86561613 0.86469174 0.86385702 0.86310312
 0.8624221 ]","[9.35661876 4.91203012 3.43542668 2.70080115 2.26294633 1.97345515
 1.76872071 1.61693632 1.50042884 1.40859206 1.33467457 1.27417376
 1.22397102 1.18183755 1.14613794 1.1156448  1.08941888 1.06672914
 1.04699805 1.02976331 1.01465047 1.00135308 0.98961795 0.97923411
 0.97002446 0.96183924 0.9545511  0.94805104 0.94224537 0.93705313
 0.93240406 0.92823699 0.92449843 0.9211415  0.91812497 0.91541248
 0.91297188 0.91077473 0.90879576 0.90701251 0.90540498 0.90395533
 0.90264763 0.90146762 0.90040257 0.89944103 0.89857277 0.89778857
 0.89708018]",1.04,yes,1.05
96,085613.01+460832.8,"Spectra(plate='6398', mjd='56356', fiber='0770')","Spectra(plate='5162', mjd='55893', fiber='0200')",2.2189443,2.934519,0.74090207,0.77931714,0.76,1.35,0.6575,0.741,"[6.90922825 3.62720103 2.53682956 1.99435844 1.67103236 1.45726276
 1.30608027 1.19399779 1.10796492 1.04014968 0.98556663 0.94089089
 0.90381957 0.87270686 0.84634512 0.82382801 0.80446194 0.78770711
 0.77313704 0.76041035 0.74925055 0.73943133 0.73076573 0.72309797
 0.71629726 0.71025303 0.70487123 0.70007138 0.69578429 0.69195017
 0.68851715 0.68544005 0.68267938 0.68020052 0.67797301 0.67597002
 0.67416781 0.67254536 0.67108402 0.66976721 0.66858016 0.66750969
 0.66654404 0.66567269 0.66488622 0.66417619 0.66353504 0.66295596
 0.66243286]","[7.78667397 4.08784177 2.85899727 2.24763438 1.88324712 1.64232959
 1.47194749 1.34563097 1.24867225 1.17224474 1.11072985 1.06038046
 1.01860122 0.98353732 0.95382774 0.92845103 0.90662555 0.88774292
 0.8713225  0.85697957 0.84440252 0.83333629 0.8235702  0.81492866
 0.80726429 0.80045247 0.7943872  0.78897779 0.78414625 0.77982521
 0.77595621 0.77248833 0.76937706 0.76658339 0.76407301 0.76181564
 0.75978455 0.75795606 0.75630914 0.7548251  0.7534873  0.75228089
 0.7511926  0.75021059 0.74932424 0.74852404 0.74780146 0.74714885
 0.74655932]",1.13,yes,1.11
97,224405.09+145229.1,"Spectra(plate='5039', mjd='56220', fiber='0262')","Spectra(plate='1893', mjd='53239', fiber='0619')",4.173014,3.1629183,1.1468452,1.1156932,0.76,1.02,0.7268,0.6396,"[7.63745566 4.00950527 2.80420947 2.20456231 1.8471579  1.61085715
 1.44374013 1.31984425 1.22474358 1.14978067 1.08944461 1.04006007
 0.99908146 0.9646895  0.93554926 0.91065885 0.88925162 0.87073084
 0.8546251  0.84055702 0.82822098 0.81736683 0.80778788 0.79931194
 0.79179445 0.78511316 0.77916412 0.77385838 0.76911943 0.76488119
 0.76108633 0.75768491 0.75463327 0.75189313 0.74943085 0.74721674
 0.74522458 0.74343113 0.74181577 0.74036017 0.739048   0.73786471
 0.73679728 0.73583409 0.73496472 0.73417986 0.73347112 0.73283101
 0.73225278]","[6.72112911 3.5284529  2.46776607 1.94006336 1.62553962 1.41758975
 1.2705231  1.16149199 1.07780131 1.0118323  0.95873524 0.91527576
 0.87921368 0.848948   0.82330394 0.80139984 0.782561   0.76626231
 0.7520889  0.73970868 0.7288527  0.7193008  0.71087112 0.70341211
 0.69679654 0.69091687 0.68568158 0.68101241 0.67684203 0.67311229
 0.66977273 0.6667794  0.66409389 0.66168251 0.65951565 0.65756718
 0.65581404 0.65423576 0.65281421 0.65153325 0.65037851 0.64933719
 0.64839782 0.64755019 0.64678513 0.64609444 0.64547074 0.64490742
 0.64439857]",0.88,yes,1.14
98,094449.38+204328.2,"Spectra(plate='5786', mjd='56251', fiber='0090')","Spectra(plate='9580', mjd='57865', fiber='0776')",22.678537,17.196117,10.476736,10.48843,0.76,0.5,0.5379,0.3906,"[5.65243175 2.96740903 2.07537737 1.63158237 1.36706967 1.192185
 1.06850278 0.97680823 0.90642484 0.85094527 0.80629094 0.76974176
 0.73941376 0.71396049 0.69239398 0.67397275 0.6581294  0.64442229
 0.63250253 0.62209084 0.61296102 0.60492792 0.59783861 0.59156562
 0.58600197 0.5810572  0.57665435 0.5727276  0.56922034 0.56608365
 0.56327509 0.56075772 0.55849922 0.55647127 0.55464895 0.5530103
 0.55153591 0.55020859 0.54901307 0.54793579 0.54696467 0.54608892
 0.54529892 0.54458607 0.54394266 0.54336178 0.54283726 0.54236351
 0.54193557]","[4.10455446 2.15480566 1.50705038 1.18478541 0.99270759 0.86571382
 0.77590107 0.70931641 0.65820699 0.6179201  0.58549403 0.55895358
 0.53693068 0.51844761 0.50278693 0.48941022 0.47790545 0.46795193
 0.45929632 0.45173579 0.4451061  0.43927282 0.43412486 0.42956968
 0.4255296  0.42193891 0.41874175 0.41589032 0.41334349 0.41106576
 0.40902631 0.4071983  0.40555827 0.40408566 0.40276237 0.40157245
 0.40050182 0.39953797 0.39866984 0.39788756 0.39718237 0.39654644
 0.39597278 0.39545514 0.39498792 0.39456611 0.39418522 0.39384121
 0.39353046]",0.73,yes,0.99
99,231826.14+305217.3,"Spectra(plate='6583', mjd='56566', fiber='0662')","Spectra(plate='6503', mjd='56564', fiber='0216')",3.1662717,4.168094,1.9155289,1.8198828,0.76,0.8,0.4094,0.5514,"[4.3021111  2.25851879 1.57958635 1.24181041 1.04048768 0.90738156
 0.81324602 0.74345657 0.68988721 0.64766126 0.61367449 0.58585662
 0.56277374 0.54340105 0.52698661 0.51296606 0.50090756 0.49047497
 0.48140274 0.47347832 0.46652954 0.46041549 0.45501975 0.45024534
 0.4460108  0.44224729 0.43889625 0.43590757 0.43323816 0.4308508
 0.42871319 0.42679719 0.42507823 0.42353474 0.42214776 0.42090057
 0.4197784  0.41876817 0.41785825 0.41703832 0.41629919 0.41563265
 0.41503138 0.41448882 0.41399911 0.41355701 0.41315778 0.41279722
 0.4124715 ]","[5.79429423 3.04188388 2.12746437 1.67253117 1.40137984 1.22210599
 1.09531963 1.00132377 0.92917393 0.87230196 0.82652691 0.78906044
 0.75797127 0.73187918 0.70977141 0.69088785 0.67464687 0.66059574
 0.64837683 0.63770383 0.62834487 0.62011016 0.61284292 0.6064125
 0.60070922 0.59564034 0.59112699 0.58710169 0.5835064  0.58029099
 0.57741195 0.57483139 0.57251621 0.57043736 0.56856931 0.56688953
 0.56537814 0.56401751 0.56279199 0.56168767 0.56069217 0.55979444
 0.55898462 0.55825387 0.55759431 0.55699886 0.55646117 0.55597554
 0.55553685]",1.35,yes,1.08
100,113152.57+584510.2,"Spectra(plate='8183', mjd='57375', fiber='0032')","Spectra(plate='7099', mjd='56666', fiber='0400')",4.9496794,6.422792,0.84087527,0.8116849,0.77,2.06,0.8343,0.8723,"[8.76710134 4.60254574 3.21897628 2.53063612 2.12036851 1.84911684
 1.65728177 1.51506062 1.40589374 1.31984317 1.25058288 1.19389395
 1.14685424 1.10737542 1.07392507 1.04535316 1.02077962 0.99951945
 0.98103153 0.96488267 0.95072202 0.93826244 0.92726669 0.91753709
 0.90890769 0.90123818 0.89440923 0.88831872 0.88287884 0.87801373
 0.87365758 0.86975305 0.86625005 0.86310462 0.86027815 0.85773656
 0.85544973 0.85339102 0.85153673 0.84986584 0.84835959 0.84700127
 0.84577596 0.8446703  0.84367235 0.8427714  0.84195784 0.84122305
 0.84055929]","[9.16641796 4.81217865 3.36559153 2.64589942 2.21694529 1.93333887
 1.73276626 1.58406733 1.46992821 1.37995828 1.30754338 1.24827243
 1.1990902  1.15781323 1.12283932 1.09296604 1.06727324 1.04504473
 1.02571474 1.00883034 0.99402472 0.98099764 0.96950105 0.9593283
 0.95030585 0.94228703 0.93514704 0.92877912 0.92309146 0.91800477
 0.9134502  0.90936784 0.90570528 0.90241659 0.89946138 0.89680402
 0.89441304 0.89226056 0.89032182 0.88857482 0.88699996 0.88557978
 0.88429866 0.88314264 0.88209924 0.88115725 0.88030663 0.87953838
 0.87884439]",1.05,yes,1.22
101,154038.35+090042.5,"Spectra(plate='5211', mjd='56002', fiber='0693')","Spectra(plate='1724', mjd='53859', fiber='0417')",3.4306912,2.6338272,1.7674451,1.7598124,0.77,0.4,0.4841,0.328,"[5.08708349 2.67061296 1.86780105 1.4683938  1.23033729 1.07294434
 0.96163263 0.87910925 0.8157655  0.76583492 0.72564686 0.69275328
 0.66545863 0.64255117 0.62314171 0.60656295 0.59230422 0.57996808
 0.56924052 0.55987019 0.55165352 0.54442389 0.53804363 0.53239806
 0.52739088 0.52294068 0.5189782  0.51544419 0.51228772 0.50946476
 0.50693711 0.50467152 0.50263892 0.50081379 0.49917374 0.49769899
 0.49637207 0.4951775  0.49410156 0.49313203 0.49225803 0.49146987
 0.49075889 0.49011734 0.48953828 0.4890155  0.48854344 0.48811708
 0.48773194]","[3.44673288 1.80946303 1.26552106 0.99490429 0.83361006 0.7269691
 0.65155031 0.59563692 0.55271862 0.51888836 0.4916591  0.46937219
 0.45087881 0.43535795 0.42220715 0.41097428 0.40131333 0.39295503
 0.38568661 0.37933779 0.37377061 0.36887221 0.36454929 0.36072416
 0.35733156 0.35431634 0.35163158 0.34923713 0.34709848 0.34518579
 0.34347319 0.34193815 0.34056097 0.33932436 0.33821315 0.33721394
 0.33631489 0.33550552 0.33477652 0.33411961 0.33352744 0.33299343
 0.3325117  0.33207702 0.33168468 0.33133048 0.33101063 0.33072176
 0.3304608 ]",0.68,yes,1.28
102,085343.31+370402.4,"Spectra(plate='8860', mjd='57458', fiber='0472')","Spectra(plate='4609', mjd='56251', fiber='0979')",6.9459352,5.3254156,1.0726203,1.1196024,0.77,1.58,0.8416,0.7934,"[8.84381216 4.64281732 3.24714184 2.55277881 2.13892142 1.86529633
 1.67178274 1.52831717 1.4181951  1.3313916  1.26152529 1.20434034
 1.15688905 1.11706478 1.08332176 1.05449985 1.02971129 1.0082651
 0.98961541 0.97332525 0.9590407  0.9464721  0.93538013 0.9255654
 0.91686049 0.90912388 0.90223518 0.89609137 0.89060389 0.88569622
 0.88130195 0.87736326 0.8738296  0.87065666 0.86780545 0.86524162
 0.86293479 0.86085806 0.85898755 0.85730203 0.85578261 0.85441241
 0.85317637 0.85206104 0.85105436 0.85014552 0.84932484 0.84858363
 0.84791406]","[8.33731056 4.37691453 3.06117198 2.40657641 2.01642141 1.75846734
 1.57603663 1.4407876  1.33697242 1.25514032 1.18927539 1.13536552
 1.09063185 1.0530884  1.0212779  0.99410668 0.9707378  0.95051988
 0.93293829 0.9175811  0.90411465 0.89226588 0.88180917 0.87255654
 0.86435018 0.85705667 0.85056249 0.84477055 0.83959735 0.83497075
 0.83082815 0.82711503 0.82378375 0.82079253 0.81810462 0.81568762
 0.81351291 0.81155511 0.80979173 0.80820275 0.80677034 0.80547862
 0.80431337 0.80326192 0.80231289 0.80145611 0.80068243 0.79998366
 0.79935244]",0.94,yes,1.01
103,004317.05+304343.2,"Spectra(plate='7718', mjd='57362', fiber='0636')","Spectra(plate='6254', mjd='56268', fiber='0555')",3.2092922,2.45887,2.0232933,1.9274067,0.77,0.22,0.383,0.1948,"[4.02469113 2.11287908 1.47772733 1.16173275 0.97339223 0.84886941
 0.76080417 0.69551506 0.6454001  0.60589708 0.57410193 0.54807789
 0.52648349 0.50836004 0.49300408 0.47988764 0.46860673 0.45884688
 0.45035967 0.44294626 0.43644557 0.43072578 0.42567798 0.42121144
 0.41724996 0.41372914 0.41059419 0.40779824 0.40530096 0.40306755
 0.40106778 0.39927534 0.39766723 0.39622327 0.39492572 0.39375896
 0.39270916 0.39176406 0.39091282 0.39014577 0.3894543  0.38883074
 0.38826824 0.38776067 0.38730254 0.38688894 0.38651547 0.38617815
 0.38587344]","[2.04702306 1.0746445  0.75159604 0.59087608 0.49508305 0.43174872
 0.38695732 0.35375022 0.32826094 0.30816906 0.29199754 0.27876129
 0.26777803 0.25856015 0.25074986 0.24407862 0.23834097 0.23337695
 0.22906022 0.22528964 0.22198328 0.2190741  0.21650671 0.21423496
 0.21222009 0.21042934 0.20883485 0.20741278 0.20614263 0.20500668
 0.20398957 0.2030779  0.20225999 0.20152557 0.20086562 0.20027218
 0.19973823 0.19925755 0.19882459 0.19843445 0.19808276 0.19776561
 0.19747951 0.19722135 0.19698834 0.19677798 0.19658802 0.19641646
 0.19626148]",0.51,yes,0.98
104,145136.57+253918.9,"Spectra(plate='6024', mjd='56088', fiber='0600')","Spectra(plate='2145', mjd='54212', fiber='0266')",3.875186,5.0618773,0.032625392,-0.08393688,0.77,,1.0077,1.0059,"[10.5892461   5.55913381  3.88800479  3.05660077  2.56106359  2.23343526
  2.0017294   1.82994916  1.69809316  1.59415793  1.51050266  1.44203156
  1.38521518  1.33753111  1.29712849  1.26261822  1.23293734  1.20725849
  1.18492805  1.16542283  1.14831905  1.13326988  1.11998878  1.10823699
  1.09781407  1.08855054  1.08030227  1.07294591  1.06637541  1.06049914
  1.05523761  1.05052157  1.04629051  1.04249135  1.03907742  1.03600758
  1.03324547  1.03075887  1.02851919  1.02650102  1.02468172  1.02304109
  1.02156111  1.02022566  1.01902029  1.01793209  1.01694944  1.01606193
  1.01526022]","[10.5703311   5.54920383  3.88105986  3.05114093  2.5564889   2.22944579
  1.99815382  1.82668042  1.69505995  1.59131037  1.50780453  1.43945574
  1.38274084  1.33514195  1.2948115   1.26036288  1.23073501  1.20510202
  1.18281148  1.1633411   1.14626787  1.13124558  1.1179882   1.10625741
  1.0958531   1.08660613  1.07837258  1.07102936  1.0644706   1.05860483
  1.0533527   1.04864508  1.04442158  1.0406292   1.03722137  1.03415702
  1.03139984  1.02891768  1.02668201  1.02466744  1.02285138  1.02121369
  1.01973635  1.01840328  1.01720007  1.01611381  1.01513292  1.014247
  1.01344672]",1.0,yes,1.07
105,090552.07+230205.8,"Spectra(plate='5776', mjd='56010', fiber='0146')","Spectra(plate='2284', mjd='53708', fiber='0572')",6.171676,4.815112,0.8533645,0.774155,0.78,1.78,0.8688,0.8318,"[9.12963879 4.79287036 3.35208749 2.63528307 2.20805006 1.92558157
 1.72581374 1.57771145 1.4640303  1.37442136 1.30229702 1.24326389
 1.194279   1.15316764 1.11833406 1.08858064 1.06299093 1.04085161
 1.02159918 1.00478253 0.99003631 0.9770615  0.96561105 0.95547911
 0.94649287 0.93850621 0.93139487 0.9250525  0.91938767 0.91432138
 0.90978509 0.90571911 0.90207124 0.89879575 0.8958524  0.8932057
 0.89082432 0.88868047 0.8867495  0.88500951 0.88344098 0.8820265
 0.88075052 0.87959914 0.87855992 0.87762171 0.87677451 0.87600934
 0.87531813]","[8.74083051 4.5887541  3.20933054 2.52305301 2.11401478 1.84357591
 1.65231569 1.5105207  1.40168094 1.31588822 1.24683548 1.19031641
 1.14341767 1.10405714 1.07070703 1.04222074 1.01772083 0.99652437
 0.97809185 0.96199138 0.94787316 0.93545092 0.92448811 0.91478766
 0.90618412 0.8985376  0.89172911 0.88565685 0.88023327 0.87538274
 0.87103964 0.86714682 0.86365431 0.86051831 0.8577003  0.85516633
 0.85288636 0.85083381 0.84898508 0.84731919 0.84581746 0.84446321
 0.84324157 0.84213923 0.84114427 0.84024601 0.83943489 0.83870231
 0.83804054]",0.96,yes,1.02
106,164804.94+403750.6,"Spectra(plate='6037', mjd='56106', fiber='0284')","Spectra(plate='6037', mjd='56104', fiber='0288')",3.1766734,2.480773,1.3324918,1.347393,0.78,0.62,0.5782,0.4598,"[6.07591753 3.18973025 2.2308667  1.75382213 1.46949188 1.28150468
 1.14855606 1.04999167 0.97433508 0.91469893 0.86669905 0.82741158
 0.79481137 0.76745111 0.74426882 0.72446746 0.7074371  0.69270304
 0.67989025 0.6686985  0.65888466 0.65024972 0.64262927 0.6358863
 0.62990582 0.62459058 0.61985787 0.61563692 0.61186689 0.60849519
 0.60547622 0.60277024 0.60034253 0.59816264 0.59620379 0.59444238
 0.59285753 0.59143076 0.59014568 0.58898769 0.5879438  0.58700244
 0.58615326 0.585387   0.58469538 0.58407099 0.58350716 0.58299793
 0.58253792]","[4.83173103 2.53655823 1.77404446 1.39468595 1.16857898 1.01908657
 0.91336229 0.83498127 0.77481714 0.72739289 0.68922211 0.65797967
 0.63205511 0.61029751 0.59186234 0.57611577 0.56257278 0.55085586
 0.54066678 0.53176681 0.52396259 0.51709585 0.51103586 0.50567368
 0.50091784 0.49669102 0.49292744 0.48957083 0.4865728  0.48389154
 0.48149078 0.47933891 0.47740833 0.47567482 0.4741171  0.47271637
 0.47145606 0.47032145 0.46929952 0.46837865 0.46754853 0.46679993
 0.46612464 0.46551529 0.4649653  0.46446876 0.46402039 0.46361544
 0.46324963]",0.8,yes,0.96
107,084301.88+595116.8,"Spectra(plate='5709', mjd='56571', fiber='0424')","Spectra(plate='5707', mjd='56269', fiber='0004')",7.4621572,5.815362,4.170439,4.0379586,0.78,0.35,0.4492,0.2933,"[4.72034271 2.47808168 1.73314652 1.36253356 1.14163914 0.99559305
 0.89230609 0.81573203 0.75695489 0.71062394 0.67333313 0.64281093
 0.61748403 0.59622802 0.57821784 0.56283428 0.54960351 0.53815671
 0.52820252 0.51950773 0.51188341 0.50517498 0.4992547  0.49401613
 0.48936993 0.48524055 0.48156374 0.47828451 0.4753556  0.47273615
 0.47039073 0.46828847 0.4664024  0.46470885 0.46318704 0.4618186
 0.46058734 0.4594789  0.45848052 0.45758089 0.4567699  0.45603856
 0.45537883 0.45478353 0.45424622 0.45376113 0.4533231  0.45292748
 0.4525701 ]","[3.08209376 1.61803508 1.13163819 0.88965069 0.74542021 0.65006109
 0.58262105 0.53262289 0.49424504 0.46399377 0.43964516 0.41971604
 0.40317913 0.38930026 0.37754072 0.3674962  0.35885732 0.35138326
 0.34488379 0.33920662 0.33422842 0.32984823 0.32598264 0.32256218
 0.3195285  0.31683227 0.31443153 0.3122904  0.310378   0.30866766
 0.30713624 0.3057636  0.30453211 0.30342633 0.30243268 0.30153917
 0.30073524 0.30001149 0.29935961 0.2987722  0.29824268 0.29776516
 0.2973344  0.2969457  0.29659487 0.29627814 0.29599213 0.29573381
 0.29550047]",0.65,yes,1.04
108,151823.18+154115.8,"Spectra(plate='5491', mjd='56034', fiber='0510')","Spectra(plate='2766', mjd='54242', fiber='0610')",6.5136313,8.361535,5.3525257,5.450911,0.78,0.44,0.171,0.3542,"[1.79692476 0.9433481  0.6597686  0.51868486 0.43459549 0.37899914
 0.33968019 0.31053022 0.28815514 0.27051802 0.25632227 0.24470318
 0.23506182 0.22697015 0.22011409 0.21425793 0.20922128 0.20486375
 0.20107442 0.19776452 0.19486212 0.19230838 0.19005466 0.18806046
 0.18629176 0.1847198  0.18332012 0.1820718  0.18095683 0.17995966
 0.17906682 0.17826654 0.17754855 0.17690386 0.17632454 0.17580361
 0.1753349  0.17491294 0.17453288 0.17419041 0.17388168 0.17360328
 0.17335214 0.17312552 0.17292098 0.17273632 0.17256957 0.17241896
 0.17228292]","[3.72205117 1.9539994  1.36660841 1.0743753  0.9001972  0.78503798
 0.70359487 0.64321524 0.59686871 0.56033615 0.53093187 0.50686472
 0.48689413 0.47013349 0.45593223 0.4438021  0.43336946 0.42434351
 0.41649451 0.40963855 0.40362668 0.398337   0.39366878 0.3895381
 0.38587451 0.38261844 0.37971923 0.37713351 0.37482402 0.37275856
 0.37090916 0.36925151 0.36776431 0.36642893 0.36522896 0.36414993
 0.36317907 0.36230504 0.36151781 0.36080844 0.36016896 0.35959229
 0.35907209 0.35860269 0.35817901 0.35779651 0.35745112 0.35713916
 0.35685737]",2.07,yes,1.11
109,005011.77+184731.7,"Spectra(plate='6199', mjd='56220', fiber='0935')","Spectra(plate='7619', mjd='56900', fiber='0367')",11.474381,14.798868,2.3041484,2.3291545,0.78,1.86,0.7987,0.8439,"[8.39300472 4.4061528  3.08162095 2.42265261 2.02989132 1.77021409
 1.58656473 1.45041222 1.34590355 1.2635248  1.19721988 1.14294989
 1.0979174  1.06012315 1.02810015 1.00074742 0.97722244 0.95686946
 0.93917042 0.92371064 0.91015424 0.89822631 0.88769975 0.87838532
 0.87012414 0.8627819  0.85624434 0.85041371 0.84520595 0.84054844
 0.83637817 0.83264025 0.82928672 0.82627552 0.82356965 0.82113651
 0.81894726 0.81697639 0.81520123 0.81360163 0.81215966 0.8108593
 0.80968628 0.8086278  0.80767243 0.80680992 0.80603108 0.80532764
 0.80469221]","[8.86798133 4.65550563 3.25601592 2.55975527 2.14476686 1.87039398
 1.67635154 1.53249389 1.42207087 1.33503014 1.2649729  1.20763167
 1.1600507  1.1201176  1.08628236 1.05738168 1.03252537 1.01102058
 0.99231992 0.97598524 0.96166165 0.9490587  0.93793642 0.92809487
 0.91936617 0.91160842 0.90470089 0.89854029 0.89303782 0.88811673
 0.88371045 0.879761   0.87621768 0.87303607 0.87017707 0.86760623
 0.8652931  0.86321069 0.86133507 0.85964495 0.85812137 0.85674742
 0.85550801 0.85438963 0.8533802  0.85246888 0.85164596 0.85090271
 0.85023132]",1.06,yes,1.07
