objectName,spec1,spec2,I01,I02,I1,I2
1,51959-051-305,51959-051-305,10,7,3,3
2,LBQS1,LBQS2,23,18,8,8
3,304,304,10,7.5,1.5,1.5
4,901,901,22,16.5,10.5,10.5
5,J123830.71+480003.4,J123830.71+480003.4,20.63,23.66,12.7,12.7
