spectra index,chi_sq
2,27.57440891614366
3,31.638136523164587
6,25.40382684359755
17,19.649532198906538
22,14.557347426185167
23,66.79821681174116
26,20.719433380449463
28,20.761037550858585
31,24.363356203124226
35,28.5370574743876
39,22.453328407893547
49,13.464085098933541
50,11.645622932709173
55,21.277096330591682
59,16.762854832375012
66,15.662758462333013
68,11.450791595639615
70,21.215320118644456
71,14.48239895843268
73,11.6919731639994
74,29.098740754700145
83,10.910482469984988
85,14.616350515712337
91,6.834621050998786
97,22.243726565602028
99,27.96105791662405
100,13.778751324706684
