spectra index,chi_sq
1,7.365226695064077
2,20.771200256296808
3,13.268493923902628
4,9.785500144174431
5,6.375118550730865
6,3.2515132579031008
7,7.958801171655311
8,24.61412349447613
9,2.878257077562133
10,7.425305641833209
11,13.227513282294698
12,5.479500316063059
13,4.25399029786343
14,3.941012345462377
15,10.86311171179671
16,2.2220106985104384
17,10.059647003434938
18,2.2030623881018396
19,9.305175362359451
20,4.002597760209571
21,3.1650002114343154
22,7.698699980246539
23,10.819700562347984
24,14.255881915044036
25,4.87238950076975
26,10.330896375074202
27,7.399683314693455
28,10.451781138263913
29,3.682184203327755
30,7.330824596604332
31,13.044425823643204
32,7.876969198753736
33,3.726231967968429
34,2.555315558825021
35,50.12401029194977
36,4.1690583583006084
37,5.685911654071089
38,14.232204078460343
39,6.668927367341172
40,23.833917649255845
41,1.794558005093565
42,5.456986971871315
43,3.4414310244773607
44,2.878763663916941
45,9.269452247561249
46,7.192667958057888
47,13.639698085830965
48,7.147032797095167
49,11.21673851780802
50,5.953886234372483
51,12.25430172384584
52,11.274875244973156
53,11.163537694407069
54,10.625328485075295
55,15.515375579458674
56,7.212144946870878
57,3.520465994206821
58,4.42895761084956
59,9.287874745933648
60,5.673224009418625
61,15.54290139671121
62,2.920860040468825
63,7.916388862911824
64,3.077141938562542
65,1.6247414783960132
66,2.6007828244784417
67,16.668591200785873
68,3.7330859552487046
69,12.910199707149557
70,27.54253075227156
71,1.2320073212384912
72,4.9706529088930695
73,5.19990277704775
74,4.574469288474058
75,21.57238660604888
76,30.292682334410113
77,2.4501775640564145
78,2.839969232239159
79,8.734565036931642
80,39.50264330279128
81,2.928974525778112
82,6.108180654907394
83,4.61741989719768
84,8.480668999630664
85,2.6720428275504475
86,16.061746362100006
87,5.7534538627333625
88,9.925473540666175
89,3.752786100752474
90,3.7132995860261357
91,10.701172882691463
92,7.013756512096702
93,5.251539793481636
94,7.791021810561645
95,2.217110932046951
96,14.086131838752967
97,2.015566272024816
98,4.713824844180413
99,14.392997659400294
100,19.966138658971335
