spec-11395-58488-0418-dered.dr16,	2.3577,	14.26299,	11395,	58488,	418
spec-7083-56722-0348-dered.dr16,	2.37,	18.96968,	7083,	56722,	348
spec-6727-56369-0773-dered.dr16,	2.4,	26.10978,	6727,	56369,	773
spec-5179-55957-0836-dered.dr16,	2.495,	18.2289,	5179,	55957,	836
spec-5144-55829-0475-dered.dr16,	2.548,	20.90533,	5144,	55829,	475
spec-5483-56017-0061-dered.dr16,	2.809,	19.04989,	5483,	56017,	61
spec-6754-56414-0561-dered.dr16,	2.81,	12.84301,	6754,	56414,	561
spec-8059-57895-0912-dered.dr16,	2.995,	16.08408,	8059,	57895,	912
spec-5374-55947-0608-dered.dr16,	3.07,	19.99345,	5374,	55947,	608
spec-6412-56358-0454-dered.dr16,	3.094,	10.00906,	6412,	56358,	454
spec-4663-55893-0854-dered.dr16,	3.106,	13.52017,	4663,	55893,	854
spec-6402-56334-0966-dered.dr16,	3.128,	18.40741,	6402,	56334,	966
spec-6456-56339-0894-dered.dr16,	3.194,	18.74569,	6456,	56339,	894
spec-6405-56342-0814-dered.dr16,	3.195,	21.08894,	6405,	56342,	814
spec-5288-55865-0958-dered.dr16,	3.204,	16.79357,	5288,	55865,	958
spec-5868-56045-0372-dered.dr16,	3.403,	17.29355,	5868,	56045,	372
spec-7622-56987-0113-dered.dr16,	3.45,	20.37095,	7622,	56987,	113
spec-6122-56246-0696-dered.dr16,	3.623,	17.13663,	6122,	56246,	696
spec-8396-57837-0736-dered.dr16,	3.851,	14.32041,	8396,	57837,	736
spec-6447-56362-0854-dered.dr16,	4.121,	11.52635,	6447,	56362,	854
spec-5421-55980-0918-dered.dr16,	4.479,	11.01013,	5421,	55980,	918
spec-6433-56339-0278-dered.dr16,	2.605,	10.12773,	6433,	56339,	278
spec-5712-56602-0074-dered.dr16,	1.94,	19.64569,	5712,	56602,	74
spec-6045-56072-0455-dered.dr16,	2.208,	29.57194,	6045,	56072,	455
spec-6142-56219-0893-dered.dr16,	2.716,	19.12621,	6142,	56219,	893
spec-6983-56447-0896-dered.dr16,	3.05,	13.24734,	6983,	56447,	896
spec-6389-56270-0061-dered.dr16,	2.752,	12.88835,	6389,	56270,	61
spec-10728-58248-0740-dered.dr16,	2.035,	12.45915,	10728,	58248,	740
spec-5372-55978-0742-dered.dr16,	2.382,	10.71974,	5372,	55978,	742
spec-4485-55836-0092-dered.dr16,	2.861,	13.08521,	4485,	55836,	92
