SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR
spec-015034-59192-4382235955.fits,0,0
spec-015005-59193-4399272891.fits,0,0
spec-015152-59208-4545193917.fits,0,0
spec-015013-59221-4401489193.fits,0,0
spec-015144-59222-4544989510.fits,0,0
spec-015146-59226-4545122230.fits,0,0
spec-015147-59227-4492079571.fits,0,0
spec-015147-59227-4492079705.fits,0,0
spec-015161-59227-4570532345.fits,0,0
spec-015161-59227-4570534700.fits,0,0
spec-015161-59227-4570538356.fits,0,0
spec-015161-59227-4570954608.fits,0,0
spec-015047-59230-4375962885.fits,0,0
spec-015149-59231-4545152096.fits,0,0
spec-015149-59231-4545166551.fits,0,0
spec-015054-59232-4554484635.fits,0,0
spec-015159-59232-4592645893.fits,0,0
spec-015159-59232-4592654591.fits,0,0
spec-015159-59232-4592659804.fits,0,0
spec-015168-59253-4570367474.fits,0,0
spec-015168-59253-4592508328.fits,0,0
spec-015153-59254-4570368134.fits,0,0
spec-015155-59256-4592534394.fits,0,0
spec-015254-59276-4491894434.fits,0,0
spec-015255-59279-4544936070.fits,0,0
spec-015256-59280-4545040864.fits,0,0
spec-015019-59281-4554388877.fits,0,0
spec-015257-59288-4545077771.fits,0,0
spec-015258-59291-4545148430.fits,0,0
spec-015261-59306-4592579951.fits,0,0
spec-015268-59310-4592657499.fits,0,0
spec-015174-59312-4360799186.fits,0,0
spec-015174-59312-4360830522.fits,0,0
spec-015158-59314-4592611576.fits,0,0
spec-015263-59315-4592601445.fits,0,0
spec-015263-59315-4592687264.fits,0,0
spec-015265-59316-4592667288.fits,0,0
spec-015265-59316-4592682589.fits,0,0
spec-015265-59316-4592692253.fits,0,0
spec-015270-59317-4592979311.fits,0,0
spec-015156-59318-4570398377.fits,0,0
spec-015156-59318-4570401106.fits,0,0
spec-015200-59324-4589582826.fits,0,0
spec-015269-59340-4592937314.fits,0,0
spec-015269-59340-4592942791.fits,0,0
spec-015324-59343-4603626164.fits,0,0
spec-015266-59345-4592703500.fits,0,0
spec-015235-59346-4359803495.fits,0,0
spec-015325-59347-4603653107.fits,0,0
spec-015325-59347-4603782181.fits,0,0
spec-015325-59347-4603782182.fits,0,0
spec-015325-59347-4603788772.fits,0,0
spec-015325-59347-4603790146.fits,0,0
spec-015325-59347-4603790454.fits,0,0
spec-015236-59351-4351553170.fits,0,0
spec-015253-59352-4593055743.fits,0,0
spec-015253-59352-4593057247.fits,0,0
spec-015253-59352-4593060679.fits,0,0
spec-015253-59352-4593062445.fits,0,0
spec-015253-59352-4593063235.fits,0,0
spec-015253-59352-4593080996.fits,0,0
