#wavelengths flux error
3.566974365234375000e+03 -8.994090000000000000e+06 0.000000000000000000e+00
3.567794921875000000e+03 -9.396553750000000000e+05 0.000000000000000000e+00
3.568617675781250000e+03 4.214070000000000000e+06 0.000000000000000000e+00
3.569438476562500000e+03 -3.290666750000000000e+06 0.000000000000000000e+00
3.570261718750000000e+03 1.922966875000000000e+06 0.000000000000000000e+00
3.571083007812500000e+03 -6.923502500000000000e+05 0.000000000000000000e+00
3.571906494140625000e+03 -6.027865625000000000e+05 0.000000000000000000e+00
3.572728271484375000e+03 1.052005250000000000e+06 0.000000000000000000e+00
3.573550048828125000e+03 -8.727608750000000000e+05 0.000000000000000000e+00
3.574374023437500000e+03 5.189652500000000000e+05 0.000000000000000000e+00
3.575196289062500000e+03 -2.707723437500000000e+05 0.000000000000000000e+00
3.576020751953125000e+03 8.005637500000000000e+04 0.000000000000000000e+00
3.576843505859375000e+03 8.402134375000000000e+04 0.000000000000000000e+00
3.577668212890625000e+03 -1.438541875000000000e+05 0.000000000000000000e+00
3.578491455078125000e+03 1.315416406250000000e+05 0.000000000000000000e+00
3.579314453125000000e+03 -1.043482109375000000e+05 0.000000000000000000e+00
3.580139892578125000e+03 6.176368359375000000e+04 0.000000000000000000e+00
3.580963623046875000e+03 -1.025060449218750000e+04 0.000000000000000000e+00
3.581789306640625000e+03 -2.227141601562500000e+04 0.000000000000000000e+00
3.582613281250000000e+03 2.547491406250000000e+04 0.000000000000000000e+00
3.583439453125000000e+03 -1.763571093750000000e+04 0.000000000000000000e+00
3.584263916015625000e+03 1.053465625000000000e+04 0.000000000000000000e+00
3.585088378906250000e+03 -4.137571777343750000e+03 0.000000000000000000e+00
3.585915039062500000e+03 4.883703613281250000e+01 0.000000000000000000e+00
3.586739990234375000e+03 1.721656982421875000e+03 0.000000000000000000e+00
3.587567138671875000e+03 -1.745579833984375000e+03 0.000000000000000000e+00
3.588392333984375000e+03 1.233715209960937500e+03 0.000000000000000000e+00
3.589219970703125000e+03 -4.582579345703125000e+02 0.000000000000000000e+00
3.590045654296875000e+03 1.567051391601562500e+02 0.000000000000000000e+00
3.590871582031250000e+03 4.814789199829101562e+01 0.000000000000000000e+00
3.591699462890625000e+03 -2.437902069091796875e+01 0.000000000000000000e+00
3.592525878906250000e+03 1.123146743774414062e+02 0.000000000000000000e+00
3.593354248046875000e+03 -9.427532196044921875e+00 0.000000000000000000e+00
3.594180908203125000e+03 5.047436904907226562e+01 0.000000000000000000e+00
3.595009765625000000e+03 3.680834197998046875e+01 0.000000000000000000e+00
3.595836669921875000e+03 3.065383148193359375e+01 0.000000000000000000e+00
3.596663818359375000e+03 1.802897071838378906e+01 0.000000000000000000e+00
3.597493408203125000e+03 2.020798110961914062e+01 0.000000000000000000e+00
3.598320800781250000e+03 4.452534103393554688e+01 0.000000000000000000e+00
3.599150634765625000e+03 2.899192237854003906e+01 0.000000000000000000e+00
3.599978759765625000e+03 3.177715492248535156e+01 0.000000000000000000e+00
3.600808837890625000e+03 2.768383979797363281e+01 0.000000000000000000e+00
3.601637207031250000e+03 2.310547447204589844e+01 0.000000000000000000e+00
3.602467773437500000e+03 2.777270698547363281e+01 0.000000000000000000e+00
3.603296386718750000e+03 3.252035140991210938e+01 0.000000000000000000e+00
3.604125244140625000e+03 2.050518035888671875e+01 0.000000000000000000e+00
3.604956542968750000e+03 2.365787506103515625e+01 0.000000000000000000e+00
3.605785888671875000e+03 3.155484390258789062e+01 0.000000000000000000e+00
3.606617187500000000e+03 3.455971908569335938e+01 0.000000000000000000e+00
3.607447021484375000e+03 3.299032974243164062e+01 0.000000000000000000e+00
3.608278808593750000e+03 3.490909957885742188e+01 0.000000000000000000e+00
3.609108886718750000e+03 4.400385284423828125e+01 0.000000000000000000e+00
3.609939208984375000e+03 3.796087265014648438e+01 0.000000000000000000e+00
3.610771728515625000e+03 4.242535781860351562e+01 0.000000000000000000e+00
3.611602294921875000e+03 3.569182586669921875e+01 0.000000000000000000e+00
3.612435058593750000e+03 2.915580368041992188e+01 0.000000000000000000e+00
3.613266113281250000e+03 3.590881347656250000e+01 0.000000000000000000e+00
3.614099365234375000e+03 3.075792884826660156e+01 0.000000000000000000e+00
3.614930664062500000e+03 3.419617843627929688e+01 0.000000000000000000e+00
3.615762451171875000e+03 3.056321907043457031e+01 0.000000000000000000e+00
3.616596191406250000e+03 2.832230758666992188e+01 0.000000000000000000e+00
3.617428222656250000e+03 3.312910842895507812e+01 0.000000000000000000e+00
3.618262451171875000e+03 4.128319168090820312e+01 0.000000000000000000e+00
3.619094726562500000e+03 4.539994049072265625e+01 0.000000000000000000e+00
3.619929199218750000e+03 3.947559356689453125e+01 0.000000000000000000e+00
3.620761962890625000e+03 3.902893829345703125e+01 0.000000000000000000e+00
3.621594970703125000e+03 3.370965957641601562e+01 0.000000000000000000e+00
3.622430175781250000e+03 2.847006225585937500e+01 0.000000000000000000e+00
3.623263427734375000e+03 3.009273147583007812e+01 0.000000000000000000e+00
3.624098876953125000e+03 2.755115699768066406e+01 0.000000000000000000e+00
3.624932617187500000e+03 3.028342628479003906e+01 0.000000000000000000e+00
3.625768554687500000e+03 2.511248016357421875e+01 0.000000000000000000e+00
3.626602783203125000e+03 2.911226081848144531e+01 0.000000000000000000e+00
3.627437011718750000e+03 3.013517951965332031e+01 0.000000000000000000e+00
3.628273437500000000e+03 2.302854919433593750e+01 0.000000000000000000e+00
3.629108154296875000e+03 3.876533508300781250e+01 0.000000000000000000e+00
3.629945068359375000e+03 3.384803771972656250e+01 0.000000000000000000e+00
3.630780029296875000e+03 2.835345458984375000e+01 0.000000000000000000e+00
3.631617431640625000e+03 2.895680046081542969e+01 0.000000000000000000e+00
3.632452880859375000e+03 3.707369232177734375e+01 0.000000000000000000e+00
3.633288330078125000e+03 4.528336715698242188e+01 0.000000000000000000e+00
3.634126220703125000e+03 3.747734451293945312e+01 0.000000000000000000e+00
3.634962158203125000e+03 2.860003471374511719e+01 0.000000000000000000e+00
3.635800537109375000e+03 2.915931320190429688e+01 0.000000000000000000e+00
3.636636962890625000e+03 2.524652481079101562e+01 0.000000000000000000e+00
3.637475585937500000e+03 2.177401542663574219e+01 0.000000000000000000e+00
3.638312255859375000e+03 3.028905487060546875e+01 0.000000000000000000e+00
